 angular_freq	sdprior	gsk	gck
   3.19755003E-02   1.00000000      0.974283159      0.999642015    
   6.39510006E-02  0.250000000      0.967818439      0.922106981    
   9.59265009E-02  0.111111112      0.910452425      0.875667155    
  0.127902001       6.25000000E-02  0.774747014      0.526251793    
  0.159877509       3.99999991E-02  0.347667307      0.467648596    
  0.191853017       2.77777724E-02  0.541208029      0.602753043    
  0.223828495       2.04081628E-02  0.388593405      0.235997319    
  0.255804002       1.56250000E-02   6.44747466E-02  0.160479814    
  0.287779510       1.23456791E-02  0.278212309       5.45965172E-02
  0.319755018       9.99999978E-03   9.44088250E-02   8.70747641E-02
  0.351730525       8.26446153E-03  0.293686986       3.59909423E-02
  0.383706003       6.94444450E-03   8.34457502E-02   7.62686655E-02
  0.415681511       5.91715984E-03   6.39886782E-02   5.73812798E-02
  0.447657019       5.10204071E-03   4.34855483E-02   2.40309518E-02
  0.479632497       4.44444455E-03   3.07799056E-02   8.70897025E-02
  0.511608005       3.90625000E-03   6.45693988E-02   4.90295552E-02
  0.543583512       3.46020772E-03   1.31540298E-02   1.47188036E-02
  0.575559020       3.08641978E-03   1.45878056E-02   1.17511703E-02
  0.607534528       2.77008303E-03   6.17262125E-02   1.41781205E-02
  0.639510036       2.49999994E-03   8.00127815E-03   6.31625531E-03
  0.671485543       2.26757326E-03   3.57018458E-03   8.06068536E-03
  0.703460991       2.06611562E-03   5.77294221E-03   1.74186155E-02
  0.735436499       1.89035921E-03   1.19441189E-02   8.94378126E-03
  0.767412007       1.73611112E-03   6.56965934E-03   5.47188986E-03
  0.799387515       1.59999996E-03   1.10598058E-02   6.97750319E-03
  0.831363022       1.47928996E-03   5.98483393E-03   1.39827458E-02
  0.863338530       1.37174211E-03   1.31529500E-03   8.37580860E-03
  0.895314038       1.27551018E-03   1.59358955E-03   3.37320194E-03
  0.927289486       1.18906063E-03   4.51714545E-03   1.40351069E-03
  0.959264994       1.11111114E-03   3.77704226E-03   3.11794016E-03
  0.991240501       1.04058278E-03   1.57842576E-03   3.00358003E-03
   1.02321601       9.76562500E-04   3.59276938E-03   1.68106856E-03
   1.05519152       9.18273639E-04   4.02290747E-03   6.57110382E-03
   1.08716702       8.65051930E-04   2.55441270E-03   1.81249587E-03
   1.11914253       8.16326530E-04   1.84606353E-03   2.71691498E-03
   1.15111804       7.71604944E-04   2.06839782E-03   1.05004385E-02
   1.18309355       7.30460219E-04   6.75511779E-04   3.87026207E-03
   1.21506906       6.92520756E-04   4.84000833E-04   1.25686703E-02
   1.24704456       6.57462224E-04   1.13020418E-03   1.39317906E-03
   1.27902007       6.24999986E-04   1.99895049E-03   5.93669887E-04
   1.31099558       5.94883866E-04   1.15932501E-03   1.24204753E-03
   1.34297097       5.66893432E-04   1.14893587E-03   2.26420094E-03
   1.37494648       5.40832873E-04   1.29173906E-03   1.10583659E-03
   1.40692198       5.16528904E-04   4.54180501E-03   9.19184007E-04
   1.43889749       4.93827160E-04   1.55196269E-03   1.94466731E-03
   1.47087300       4.72589803E-04   9.93946916E-04   6.57727651E-04
   1.50284851       4.52693523E-04   9.42063343E-04   7.39515061E-04
   1.53482401       4.34027781E-04   2.56541907E-03   1.09574583E-03
   1.56679952       4.16493131E-04   1.40783633E-03   1.02453388E-03
   1.59877503       3.99999990E-04   3.70459026E-03   1.80241931E-03
   1.63075054       3.84467508E-04   5.03173505E-04   1.54834252E-03
   1.66272604       3.69822490E-04   1.69561303E-03   1.00404746E-03
