,xrttime,obsids,countrates
0,2018-09-01 18:47:04,00035776002,0.049591
1,2018-09-02 07:32:41,00035776003,0.049468
2,2018-09-03 23:23:23,00035776004,0.064621
3,2018-09-04 00:58:40,00035776005,0.054141
4,2018-09-09 05:24:49,00035776008,0.091898
5,2018-09-13 14:31:55,00035776010,0.052204
6,2018-09-14 22:21:58,00035776011,0.058621
7,2018-09-14 16:14:15,00035776012,0.03485
8,2018-09-17 23:25:43,00035776014,0.077494
9,2018-09-23 19:48:28,00035776015,0.036535
10,2018-09-24 19:46:56,00035776016,0.075229
11,2018-09-29 00:22:15,00035776017,0.053729
12,2018-09-29 20:53:49,00035776018,0.067511
13,2018-09-30 17:54:01,00035776019,0.049722
14,2018-10-01 07:51:07,00035776020,0.046922
15,2018-10-02 14:27:38,00035776021,0.049318
16,2018-10-04 03:09:13,00035776023,0.060223
17,2018-10-05 07:45:19,00035776024,0.062041
18,2018-10-06 21:52:05,00035776025,0.023213
19,2018-10-08 01:04:17,00035776026,0.074202
20,2018-10-08 21:40:07,00035776027,0.057128
21,2018-10-11 18:08:15,00035776029,0.063322
22,2018-10-15 21:08:54,00035776031,0.027146
23,2018-10-18 05:08:42,00035776032,0.043693
24,2018-10-19 22:06:23,00035776033,0.050485
25,2018-10-21 20:32:28,00035776034,0.056566
26,2018-10-22 07:27:36,00035776035,0.047583
27,2018-10-26 21:29:50,00035776036,0.042584
28,2018-10-27 08:41:00,00035776037,0.027642
29,2018-10-29 00:28:14,00035776038,0.054197
30,2018-10-29 22:46:30,00035776039,0.034593
31,2018-10-31 22:50:53,00035776040,0.039884
32,2018-11-01 14:45:46,00035776041,0.039366
33,2018-11-02 16:30:27,00035776042,0.059345
34,2018-11-03 17:48:10,00035776043,0.036258
35,2018-11-04 11:08:39,00035776044,0.040658
36,2018-11-05 20:30:30,00035776045,0.031638
37,2018-11-06 15:46:23,00035776046,0.037101
38,2018-11-07 22:14:17,00035776047,0.045208
39,2018-11-11 18:42:08,00035776049,0.046922
40,2018-11-12 12:04:31,00035776050,0.03968
41,2018-11-14 10:21:38,00035776051,0.047986
42,2018-11-15 10:03:34,00035776052,0.047777
43,2018-11-17 10:10:40,00035776054,0.047434
44,2018-11-19 03:21:03,00035776055,0.037101
45,2018-11-22 17:30:34,00035776056,0.053178
46,2018-11-23 04:33:34,00035776057,0.029422
47,2018-11-24 06:24:41,00035776058,0.035685
48,2013-03-01 16:22:30,00049654001,0.093844
