source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02462a274,55261.03134200,9.623,0.028,3.036,8.614,0.028,2.147,5.950,0.016,1.458,3.707,0.036,0.991,1.0,105,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02470a273,55261.29595000,9.587,0.022,3.214,8.560,0.020,2.292,5.965,0.018,1.240,3.786,0.044,0.868,1.0,89,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02478b273,55261.56055790,9.570,0.023,3.388,8.548,0.018,2.427,5.946,0.017,1.533,3.770,0.022,0.839,1.0,87,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02481a250,55261.62677360,9.588,0.022,3.211,8.584,0.021,2.145,5.991,0.019,1.040,3.766,0.042,0.836,1.0,89,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02482a273,55261.69286190,9.527,0.024,4.080,8.542,0.021,2.499,5.985,0.017,1.063,3.722,0.022,0.913,1.0,93,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02485a249,55261.75907760,9.584,0.022,3.248,8.574,0.027,2.188,5.980,0.015,1.097,3.761,0.032,0.834,1.0,97,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02486a274,55261.82529330,9.580,0.029,3.277,8.547,0.018,2.434,5.978,0.015,1.105,3.771,0.038,0.841,1.0,102,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02489a249,55261.89138160,9.576,0.023,3.322,8.529,0.017,2.702,5.951,0.018,1.436,3.779,0.022,0.854,1.0,105,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02498b273,55262.22220520,9.781,0.084,4.586,8.607,0.020,2.128,5.984,0.015,1.070,3.734,0.024,0.871,1.0,93,0000,0.023001,32.401994
2762p802_ac51-022419,280.5374793,79.7714254,18h42m09.00s,79d46m17.13s,1,0,hh00,02501a250,55262.28842090,9.603,0.024,3.109,8.609,0.021,2.131,5.971,0.017,1.167,3.765,0.022,0.835,1.0,89,0000,0.023001,32.401994
