ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
280.5374643,79.7714180,18h42m08.99s,79d46m17.10s,0.0260,0.0270,-0.0109,9.688,0.016,66.8,1.407,8.662,0.016,69.9,5.045,1,0,0000,AA,10,56919.86010677,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.007529,159.103758
280.5374677,79.7714176,18h42m08.99s,79d46m17.10s,0.0252,0.0235,-0.0081,9.733,0.014,77.1,24.590,8.707,0.013,85.9,12.340,1,0,0000,AA,0,57280.31776750,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.00972,150.328882
280.5374436,79.7714226,18h42m08.99s,79d46m17.12s,0.0263,0.0263,-0.0087,9.948,0.018,61.5,2.098,8.860,0.014,77.9,3.349,1,0,0000,AA,10,57644.55089697,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.014085,311.757959
280.5374375,79.7714208,18h42m08.99s,79d46m17.11s,0.0258,0.0239,-0.0053,9.666,0.014,76.5,1.952,8.680,0.014,76.7,0.784,1,0,0000,AA,10,56919.46548632,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.01474,281.322486
280.5374514,79.7714162,18h42m08.99s,79d46m17.10s,0.0271,0.0294,-0.0110,10.086,0.018,59.2,2.866,9.157,0.015,70.8,4.790,1,0,0000,AA,5,59472.57422971,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.01474,201.894302
280.5374383,79.7714232,18h42m08.99s,79d46m17.12s,0.0276,0.0273,-0.0068,10.087,0.018,60.7,3.100,8.962,0.015,73.3,2.196,1,0,0000,AA,10,58011.66378872,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.017922,309.707519
280.5374812,79.7714164,18h42m09.00s,79d46m17.10s,0.0265,0.0285,-0.0026,10.085,0.017,63.2,2.735,9.047,0.015,73.3,2.460,1,0,0000,AA,10,58377.52263418,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.018696,133.719599
280.5374693,79.7714250,18h42m08.99s,79d46m17.13s,0.0275,0.0282,-0.0122,10.094,0.015,73.1,2.527,9.024,0.015,71.5,1.225,1,0,0000,AA,10,58375.16688362,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.018947,18.277901
280.5374821,79.7714242,18h42m09.00s,79d46m17.13s,0.0271,0.0310,-0.0115,10.074,0.016,69.7,2.032,8.998,0.015,70.9,1.529,1,0,0000,AA,10,58011.92559546,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.020618,43.057271
280.5374747,79.7714147,18h42m08.99s,79d46m17.09s,0.0309,0.0266,-0.0126,10.108,0.019,56.4,3.730,9.104,0.013,82.4,3.899,1,0,0000,AA,5,59472.31280538,2846180201351009712,9.640,0.023,8.603,0.020,5.996,0.015,3.756,0.021,717506029,13.597,0.0306,12.596,0.0295,11.715,0.0283,0.021294,153.778766
