source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06402a280,55391.35483050,10.915,0.024,34.760,11.009,0.024,15.890,10.397,0.188,1.080,7.977,,0.950,1.0,111,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,12093b023,55579.51793510,10.917,0.029,34.750,10.941,0.026,16.380,,,,,,,0.5,80,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06410a280,55391.61943790,10.955,0.024,34.580,11.008,0.025,15.890,,,,,,,1.0,83,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06414a280,55391.75174170,10.940,0.020,34.620,11.046,0.027,15.910,10.480,0.232,1.100,7.311,,0.924,1.0,77,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06418a280,55391.88404540,10.947,0.022,34.600,11.050,0.027,15.930,10.036,0.155,1.216,7.410,,0.926,1.0,79,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06422a280,55392.01634920,10.958,0.022,34.580,11.004,0.025,15.900,10.383,0.192,1.078,7.409,,0.921,1.0,90,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06427a201,55392.14865300,10.929,0.022,34.670,11.034,0.028,15.880,9.971,0.140,1.300,7.694,,0.953,1.0,105,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06430a281,55392.28095660,10.987,0.026,34.620,11.103,0.029,16.310,10.379,0.193,1.077,7.450,0.350,1.134,1.0,114,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06438a281,55392.54556480,10.902,0.023,34.880,10.992,0.026,15.940,10.399,0.189,1.080,7.959,,0.968,1.0,91,0000,0.212278,129.997088
2557p620_ac51-031418,255.9023463,62.0256221,17h03m36.56s,62d01m32.24s,1,0,0000,06442a281,55392.67786860,10.901,0.023,34.880,11.032,0.025,15.880,10.499,0.210,1.107,7.646,,0.920,1.0,79,0000,0.212278,129.997088
