ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
255.9022512,62.0256592,17h03m36.54s,62d01m32.37s,0.0367,0.0384,0.0032,11.079,0.017,65.5,67.040,11.166,0.023,47.9,20.330,1,0,0000,AA,10,57770.18429308,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.003074,144.869239
255.9022495,62.0256561,17h03m36.54s,62d01m32.36s,0.0418,0.0499,0.0082,11.009,0.021,51.1,59.330,11.145,0.026,41.0,18.810,1,0,0000,AA,5,59030.17045216,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.014085,183.441507
255.9022537,62.0256640,17h03m36.54s,62d01m32.39s,0.0398,0.0439,0.0087,11.123,0.019,58.2,67.240,11.230,0.027,40.0,15.030,1,0,0000,AA,10,58299.71414742,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.015672,23.455796
255.9022584,62.0256635,17h03m36.54s,62d01m32.39s,0.0375,0.0415,0.0055,11.149,0.017,65.3,75.200,11.121,0.028,38.5,16.170,1,0,0000,AA,10,59393.81727394,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.018947,48.386239
255.9022585,62.0256565,17h03m36.54s,62d01m32.36s,0.0362,0.0358,-0.0053,11.038,0.018,60.1,55.980,11.178,0.023,47.2,19.580,1,0,0000,AA,10,57043.57484392,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.019195,131.277326
255.9022405,62.0256637,17h03m36.54s,62d01m32.39s,0.0382,0.0391,0.0010,11.047,0.019,58.3,59.990,11.203,0.024,45.9,13.620,1,0,0000,AA,5,57770.83932236,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.020846,309.702841
255.9022576,62.0256546,17h03m36.54s,62d01m32.36s,0.0403,0.0447,-0.0070,11.056,0.019,57.1,45.970,11.232,0.027,40.2,17.910,1,0,0000,AA,5,57772.28015765,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.023205,146.567953
255.9022645,62.0256607,17h03m36.54s,62d01m32.38s,0.0380,0.0436,-0.0067,11.101,0.018,60.8,59.130,11.209,0.026,41.1,16.630,1,0,0000,AA,5,57937.61456725,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.024589,84.123977
255.9022379,62.0256549,17h03m36.54s,62d01m32.36s,0.0370,0.0387,-0.0076,11.048,0.017,62.6,57.540,11.149,0.025,43.6,14.470,1,0,0000,AA,10,57043.44343091,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.027491,228.058777
255.9022459,62.0256674,17h03m36.54s,62d01m32.40s,0.0479,0.0446,-0.0071,11.060,0.021,51.7,46.840,11.126,0.026,42.2,13.930,1,0,0000,AA,10,58504.98860078,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.027491,345.431503
255.9022437,62.0256528,17h03m36.54s,62d01m32.35s,0.0391,0.0467,0.0094,11.090,0.018,61.7,64.830,11.309,0.031,35.3,17.630,1,0,0000,AA,10,59031.08601103,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.028002,202.31529
255.9022669,62.0256615,17h03m36.54s,62d01m32.38s,0.0350,0.0349,0.0020,11.037,0.017,62.6,68.630,11.167,0.023,47.4,16.640,1,0,0000,AA,10,57044.36319480,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.028996,79.285304
255.9022322,62.0256610,17h03m36.54s,62d01m32.38s,0.0361,0.0396,-0.0042,11.093,0.017,64.7,66.450,11.114,0.022,49.5,17.190,1,0,0000,AA,5,57405.63800862,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.030271,276.829613
255.9022341,62.0256646,17h03m36.54s,62d01m32.39s,0.0424,0.0431,0.0078,11.105,0.019,57.8,63.130,11.224,0.027,40.3,17.700,1,0,0000,AA,10,59234.78161769,2557162001351031418,10.949,0.022,11.015,0.020,10.305,0.038,8.735,0.183,982134932,12.755,0.0490,12.185,0.0590,12.052,0.0640,0.031495,301.664706
