source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10546a060,55528.36910630,9.089,0.031,4.374,7.994,0.023,2.915,,,,,,,1.0,59,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10545a035,55528.30289050,9.133,0.023,4.692,7.997,0.025,2.915,,,,,,,1.0,54,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10553a036,55528.56749900,9.037,0.023,4.379,8.027,0.018,3.033,,,,,,,1.0,49,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10554a059,55528.63358750,9.019,0.022,4.488,8.037,0.020,3.108,,,,,,,0.5,41,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10557a028,55528.69967600,9.056,0.024,4.325,8.016,0.019,2.966,,,,,,,1.0,33,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10561a030,55528.83198020,9.050,0.021,4.335,7.979,0.019,2.942,,,,,,,1.0,20,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10565a031,55528.96428440,9.014,0.020,4.528,8.056,0.027,3.314,,,,,,,1.0,17,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05049b246,55346.60139810,9.024,0.023,4.450,7.952,0.019,3.124,5.172,0.017,2.715,3.144,0.022,0.903,1.0,44,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05057b246,55346.86600570,9.061,0.021,4.321,7.981,0.022,2.935,5.204,0.015,2.602,3.135,0.033,0.889,1.0,59,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05061b246,55346.99830960,9.071,0.022,4.325,7.941,0.021,3.250,5.229,0.015,2.752,3.153,0.034,0.931,1.0,44,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05069b246,55347.26291720,9.058,0.020,4.323,7.972,0.024,2.974,5.215,0.016,2.642,3.098,0.014,0.981,1.0,18,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05072a221,55347.32900540,9.084,0.032,4.354,8.010,0.022,2.940,5.235,0.016,2.819,3.147,0.019,0.912,1.0,16,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05072a222,55347.32913270,9.070,0.027,4.324,7.970,0.023,2.983,5.204,0.019,2.601,3.172,0.032,1.037,1.0,17,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05073b247,55347.39522100,9.058,0.020,4.323,8.011,0.022,2.945,5.199,0.018,2.596,3.121,0.020,0.894,1.0,19,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05077b247,55347.52752480,9.045,0.021,4.349,8.005,0.019,2.927,5.211,0.017,2.625,3.161,0.026,0.969,1.0,34,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05080a221,55347.59361310,9.033,0.025,4.399,7.995,0.018,2.915,5.220,0.013,2.674,3.126,0.023,0.889,1.0,43,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05084a221,55347.72591680,9.092,0.023,4.387,7.981,0.019,2.936,5.209,0.016,2.615,3.141,0.030,0.897,1.0,57,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05085b247,55347.79213240,9.071,0.029,4.325,7.953,0.027,3.110,5.173,0.016,2.706,3.121,0.022,0.895,1.0,60,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05088a221,55347.85822070,9.118,0.026,4.553,8.026,0.023,3.020,5.169,0.018,2.739,3.125,0.026,0.890,0.5,60,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05089b247,55347.92443630,9.079,0.023,4.340,7.927,0.019,3.457,5.161,0.016,2.840,3.177,0.045,1.071,1.0,54,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05092a221,55347.99052460,9.044,0.026,4.352,7.993,0.019,2.915,5.185,0.025,2.624,3.128,0.020,0.888,1.0,45,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05100a221,55348.25513210,9.056,0.024,4.325,7.975,0.017,2.958,5.137,0.016,3.270,3.132,0.019,0.887,1.0,18,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05104a221,55348.38743600,9.149,0.024,4.873,7.983,0.014,2.930,5.181,0.014,2.647,3.125,0.018,0.890,1.0,18,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,05213b242,55352.02572550,9.086,0.024,4.361,8.018,0.018,2.977,5.230,0.017,2.764,3.141,0.035,0.898,1.0,41,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10529a035,55527.77380080,9.037,0.033,4.379,7.959,0.018,3.056,,,,,,,1.0,25,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10530a059,55527.84001660,9.103,0.027,4.447,8.018,0.019,2.975,,,,,,,1.0,20,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10534a059,55527.97219350,9.094,0.030,4.396,7.988,0.020,2.920,,,,,,,0.5,19,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10538b059,55528.10449780,9.058,0.025,4.322,8.095,0.024,3.952,,,,,,,0.5,31,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10541a036,55528.17071350,9.039,0.025,4.371,7.983,0.018,2.931,,,,,,,1.0,39,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10542a059,55528.23680200,9.031,0.020,4.407,8.007,0.022,2.933,,,,,,,1.0,48,0000,0.042255,294.118236
0201m591_ac51-048569,20.9407193,-58.8057752,01h23m45.77s,-58d48m20.79s,1,0,0000,10550b059,55528.50128320,9.056,0.021,4.324,8.003,0.020,2.923,,,,,,,0.5,57,0000,0.042255,294.118236
