ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
31.5666271,-0.2914387,02h06m15.99s,-00d17m29.18s,0.0382,0.0363,-0.0046,10.895,0.018,61.4,44.050,10.561,0.026,42.1,10.510,1,0,0000,AA,5,57589.79899454,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.0115,294.145819
31.5666253,-0.2914388,02h06m15.99s,-00d17m29.18s,0.0332,0.0334,-0.0027,10.920,0.018,61.7,53.770,10.414,0.019,56.8,7.956,1,0,0000,AA,10,57037.44478178,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.017387,284.322898
31.5666251,-0.2914402,02h06m15.99s,-00d17m29.18s,0.0347,0.0306,-0.0110,10.830,0.016,68.4,42.030,10.452,0.018,61.0,8.682,1,0,0000,AA,10,57037.90460007,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.017656,267.662664
31.5666304,-0.2914347,02h06m15.99s,-00d17m29.16s,0.0363,0.0335,-0.0114,10.962,0.016,67.8,42.740,10.462,0.021,52.6,8.207,1,0,0000,AA,10,57589.53693347,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.019195,4.315972
31.5666282,-0.2914347,02h06m15.99s,-00d17m29.16s,0.0391,0.0426,-0.0077,11.055,0.020,54.2,36.170,10.653,0.021,50.5,7.729,1,0,0000,AA,10,58685.62793977,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.020155,341.241575
31.5666238,-0.2914405,02h06m15.99s,-00d17m29.19s,0.0348,0.0300,-0.0056,10.798,0.016,69.9,39.470,10.211,0.017,64.3,5.854,1,0,0000,AA,5,56674.80959299,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.022376,265.389291
31.5666277,-0.2914470,02h06m15.99s,-00d17m29.21s,0.0379,0.0333,-0.0119,10.910,0.019,56.7,38.080,10.430,0.019,58.6,8.904,1,0,0000,AA,10,58121.09694369,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.02644,198.188826
31.5666341,-0.2914473,02h06m15.99s,-00d17m29.21s,0.0351,0.0337,-0.0062,10.905,0.018,60.9,31.960,10.413,0.018,61.5,7.413,1,0,0000,AA,10,57037.64177400,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.030115,150.679841
31.5666231,-0.2914457,02h06m15.99s,-00d17m29.20s,0.0319,0.0282,-0.0029,10.403,0.015,73.0,27.560,9.810,0.016,66.3,6.081,1,0,0000,AA,10,59213.18509177,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.032236,230.439968
31.5666221,-0.2914482,02h06m15.99s,-00d17m29.21s,0.0423,0.0397,-0.0115,10.956,0.019,57.0,31.500,10.484,0.024,45.8,3.825,1,0,0000,AA,10,57760.73310188,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.041007,223.93213
31.5666185,-0.2914418,02h06m15.99s,-00d17m29.19s,0.0356,0.0332,-0.0104,10.880,0.018,59.2,31.300,10.346,0.017,62.2,10.020,1,0,0000,AA,10,57398.34075140,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.041918,261.10403
31.5666332,-0.2914513,02h06m15.99s,-00d17m29.22s,0.0393,0.0350,-0.0075,11.007,0.019,56.6,39.710,10.622,0.020,54.2,7.587,1,0,0000,AA,5,58845.72627257,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.042255,164.188823
31.5666189,-0.2914439,02h06m15.99s,-00d17m29.20s,0.0327,0.0298,-0.0089,10.888,0.015,72.3,41.550,10.371,0.017,63.4,6.708,1,0,0000,AA,10,57037.70748053,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.042366,250.640774
31.5666203,-0.2914502,02h06m15.99s,-00d17m29.22s,0.0400,0.0363,-0.0130,10.850,0.022,49.3,30.090,10.451,0.020,55.5,8.429,1,0,0000,AA,10,57590.51972692,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.050691,223.56034
31.5666180,-0.2914306,02h06m15.99s,-00d17m29.15s,0.0369,0.0387,-0.0136,10.889,0.021,52.2,29.180,10.456,0.021,51.7,10.850,1,0,0000,AA,5,58321.13173075,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.054896,308.073142
31.5666146,-0.2914390,02h06m15.99s,-00d17m29.18s,0.0373,0.0347,-0.0146,10.906,0.018,61.7,38.360,10.458,0.022,49.9,10.810,1,0,0000,AA,5,58321.58976473,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.05558,273.715337
31.5666195,-0.2914522,02h06m15.99s,-00d17m29.23s,0.0343,0.0310,-0.0083,10.879,0.018,61.8,34.030,10.420,0.018,59.4,9.538,1,0,0000,AA,10,58120.83513595,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.057911,220.716755
31.5666289,-0.2914565,02h06m15.99s,-00d17m29.24s,0.0317,0.0320,-0.0095,10.905,0.016,67.6,39.600,10.417,0.017,65.3,10.210,1,0,0000,AA,10,57037.57606748,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.05952,183.814026
31.5666171,-0.2914504,02h06m15.99s,-00d17m29.22s,0.0327,0.0348,-0.0108,10.864,0.018,58.8,42.210,10.326,0.017,62.6,8.940,1,0,0000,AA,5,59416.97335957,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.059678,231.123824
31.5666276,-0.2914565,02h06m15.99s,-00d17m29.24s,0.0373,0.0328,-0.0119,10.926,0.017,64.8,41.900,10.438,0.019,57.9,4.773,1,0,0000,AA,10,57757.52366016,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.059994,188.275787
31.5666143,-0.2914340,02h06m15.99s,-00d17m29.16s,0.0370,0.0313,-0.0110,10.827,0.016,69.7,41.640,10.172,0.018,59.6,4.361,1,0,0000,AA,10,56675.13901662,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.060543,290.915384
31.5666236,-0.2914559,02h06m15.99s,-00d17m29.24s,0.0430,0.0422,-0.0149,10.933,0.018,60.4,24.350,10.544,0.030,36.6,3.469,1,0,0000,AA,10,57404.56913034,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.061702,201.925304
31.5666127,-0.2914389,02h06m15.99s,-00d17m29.18s,0.0372,0.0364,-0.0009,10.936,0.018,60.4,43.280,10.495,0.021,51.5,7.406,1,0,0000,AA,5,58321.00082750,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.062387,273.638233
31.5666126,-0.2914357,02h06m15.99s,-00d17m29.17s,0.0365,0.0329,-0.0076,10.944,0.016,67.2,48.720,10.384,0.019,57.7,6.979,1,0,0000,AA,10,58121.22784727,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.064545,283.881353
31.5666252,-0.2914215,02h06m15.99s,-00d17m29.12s,0.0326,0.0290,-0.0078,10.385,0.017,62.4,17.680,9.789,0.015,71.1,5.301,1,0,0000,AA,10,59212.98886326,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.068796,345.454977
31.5666214,-0.2914571,02h06m15.99s,-00d17m29.25s,0.0319,0.0283,-0.0047,10.422,0.016,66.9,20.900,9.875,0.017,65.1,9.150,1,0,0000,AA,10,59212.92353892,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.068933,206.698622
31.5666201,-0.2914233,02h06m15.99s,-00d17m29.12s,0.0356,0.0336,0.0066,10.949,0.019,58.5,42.380,10.547,0.020,55.2,8.462,1,0,0000,AA,5,59577.04086264,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.069886,329.340254
31.5666108,-0.2914363,02h06m15.99s,-00d17m29.17s,0.0354,0.0370,-0.0144,10.962,0.019,57.3,41.570,10.407,0.019,57.7,10.400,1,0,0000,AA,5,57397.94740301,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.070358,280.907799
31.5666107,-0.2914455,02h06m15.99s,-00d17m29.20s,0.0353,0.0331,0.0063,10.937,0.017,62.9,39.810,10.439,0.019,58.5,8.568,1,0,0000,AA,10,57757.39275635,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.072213,254.093626
31.5666167,-0.2914248,02h06m15.99s,-00d17m29.13s,0.0387,0.0343,-0.0123,11.031,0.017,65.0,43.890,10.645,0.019,57.4,10.050,1,0,0000,AA,10,58846.05327661,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.072734,318.814442
31.5666251,-0.2914602,02h06m15.99s,-00d17m29.26s,0.0425,0.0445,-0.0145,11.030,0.020,53.7,36.360,10.722,0.030,35.6,3.109,1,0,0000,AA,10,58689.16092469,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.074847,193.634943
31.5666084,-0.2914461,02h06m15.99s,-00d17m29.21s,0.0317,0.0315,0.0112,10.395,0.017,62.3,23.030,9.824,0.017,63.6,4.399,1,0,0000,AA,10,59212.72743836,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.080795,254.229733
31.5666159,-0.2914592,02h06m15.99s,-00d17m29.25s,0.0384,0.0337,-0.0098,10.877,0.018,61.8,35.320,10.462,0.019,58.0,5.034,1,0,0000,AA,10,57757.26172520,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.08573,216.292276
31.5666336,-0.2914161,02h06m15.99s,-00d17m29.10s,0.0332,0.0338,-0.0031,10.478,0.018,60.6,26.960,10.050,0.018,62.0,5.365,1,0,0000,AA,10,59052.35892024,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.086988,8.565822
31.5666073,-0.2914484,02h06m15.99s,-00d17m29.21s,0.0365,0.0333,0.0091,10.957,0.017,64.3,44.450,10.503,0.020,55.6,10.810,1,0,0000,AA,10,58481.61034120,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.087151,249.693065
31.5666056,-0.2914449,02h06m15.99s,-00d17m29.20s,0.0313,0.0306,-0.0053,10.403,0.018,61.0,17.600,9.806,0.016,67.1,4.395,1,0,0000,AA,10,59212.85808713,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.08961,258.644774
31.5666279,-0.2914653,02h06m15.99s,-00d17m29.28s,0.0352,0.0336,-0.0118,10.905,0.016,67.9,43.000,10.392,0.019,57.3,10.870,1,0,0000,AA,10,57398.53748928,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.091384,184.744838
31.5666067,-0.2914298,02h06m15.99s,-00d17m29.15s,0.0354,0.0371,-0.0127,10.991,0.019,56.4,40.210,10.508,0.019,57.8,9.076,1,0,0000,AA,10,59577.04073528,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.091539,293.642549
31.5666046,-0.2914369,02h06m15.99s,-00d17m29.17s,0.0378,0.0338,-0.0101,10.924,0.016,69.8,46.010,10.472,0.021,51.7,5.177,1,0,0000,AA,10,57757.85117450,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.092105,276.958468
31.5666087,-0.2914563,02h06m15.99s,-00d17m29.24s,0.0534,0.0553,-0.0089,11.028,0.023,48.1,16.520,10.674,0.042,26.1,1.210,1,0,0000,AA,10,57760.20910417,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.096561,232.574322
31.5666117,-0.2914201,02h06m15.99s,-00d17m29.11s,0.0408,0.0362,0.0063,10.364,0.022,50.1,26.950,10.037,0.018,58.9,12.140,1,0,0000,AA,10,59052.62047190,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.097341,317.398791
31.5666382,-0.2914139,02h06m15.99s,-00d17m29.09s,0.0369,0.0365,0.0113,10.947,0.019,57.5,32.400,10.321,0.018,59.7,8.006,1,0,0000,AA,10,56864.16159911,317100001351015146,10.169,0.022,9.380,0.020,6.969,0.016,4.983,0.031,97055740,13.219,0.0734,12.366,0.0887,11.620,0.0486,0.098499,17.441268
