cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210016,06712a163,55401.56361500,9.682,0.032,2.976,8.841,0.023,1.723,6.130,0.021,0.873,4.145,0.035,2.882,21244.2734,628.1000,18347.0820,382.8230,55965.0664,1107.8120,3484.5100,111.4220,87.840,157.668,88.637,158.860,84.583,161.616,43.929,81.027,1.0,40,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210015,06709b189,55401.49752690,9.689,0.024,2.978,8.888,0.023,1.836,6.103,0.015,0.842,4.149,0.055,2.886,21109.8691,467.8990,17573.2695,368.2740,57392.4922,793.8810,3470.3149,176.7200,533.867,594.844,533.930,594.023,534.727,592.648,266.580,297.115,1.0,20,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210018,06716a163,55401.69591880,9.694,0.019,2.985,8.847,0.020,1.713,6.135,0.016,0.900,4.114,0.034,2.890,21001.0391,358.3030,18247.9629,339.0100,55736.2578,796.9120,3584.0391,110.6700,252.131,229.465,252.326,229.909,249.526,231.581,125.921,116.485,1.0,82,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210019,06717b189,55401.76213440,9.713,0.023,3.045,8.839,0.030,1.727,6.095,0.015,0.874,4.140,0.032,2.879,20647.2891,440.4950,18375.6680,511.8460,57792.9727,787.6410,3499.4570,102.8240,864.798,722.737,863.433,720.501,866.926,716.973,431.959,360.310,1.0,102,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210020,06720a163,55401.82822260,9.674,0.025,2.983,8.804,0.022,1.951,6.130,0.014,0.870,4.134,0.033,2.877,21392.8379,487.9550,18982.8672,388.1980,55999.2344,732.2030,3520.0391,106.6540,417.349,305.613,416.898,305.316,415.446,305.885,208.408,154.104,1.0,111,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210021,06724a164,55401.96052650,9.730,0.024,3.145,8.889,0.021,1.842,6.118,0.017,0.831,4.075,0.033,2.998,20331.0664,457.1160,17559.9062,345.4020,56587.8594,866.2350,3714.9690,113.0540,580.988,372.137,579.824,371.116,579.689,370.621,290.129,186.962,1.0,70,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210022,06728a164,55402.09283020,9.667,0.021,3.000,8.839,0.020,1.728,6.099,0.022,0.857,4.157,0.051,2.897,21539.3359,411.3490,18382.6133,339.9530,57613.1406,1177.2469,3444.0410,162.9150,742.592,437.466,740.702,435.737,741.882,434.172,370.847,219.226,1.0,29,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210023,06732a164,55402.22513400,9.702,0.023,3.004,8.832,0.027,1.749,6.091,0.016,0.902,4.133,0.040,2.877,20844.9160,432.8950,18492.8203,463.3130,58030.1367,841.9750,3520.8149,128.2210,908.341,496.002,905.660,493.556,908.150,490.927,453.652,248.137,1.0,10,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210024,12078a117,55579.03290440,9.714,0.024,3.051,8.906,0.024,1.993,,,,,,,20622.5020,457.2840,17276.3398,384.7780,,,,,853.526,819.150,852.674,817.000,,,,,1.0,26,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210025,12082b117,55579.16508150,9.776,0.029,3.641,8.989,0.026,3.368,,,,,,,19473.0332,520.6220,16012.8555,388.1030,,,,,677.120,214.138,674.668,212.696,,,,,1.0,69,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
