ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
37.5229988,-8.9981143,0.0324,0.0290,-0.0113,179.6945230,-60.4773788,32.0125755,-22.5067604,859.926,525.066,857.928,522.719,6735501042000015,67355a042-000015,42,67355a,15,10.154,0.018,61.5,112.600,9.321,0.016,69.5,55.330,79.520,1,0,0.00000,0.00000,0000,0000,3,AA,0,0,0.0,60.184,00,0000,0000,57400.17467978,0,,0,,18.378,3.730,0.000,45.283,4.557,0.000,17508.0000,284.5700,13434.0000,193.3000,7.50,7.50,10.159,0.009,2,0.260,9.362,0.010,2,0.326,10.922,0.012,0,10.208,0.012,0,10.418,0.009,2,9.688,0.010,2,10.198,0.009,2,9.467,0.010,2,10.096,0.008,2,9.369,0.012,2,10.043,0.008,3,9.322,0.015,3,10.010,0.008,3,9.294,0.015,3,9.988,0.009,3,9.273,0.016,3,9.971,0.009,3,9.258,0.016,3,367009101351026021,0.103739,103.2,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.078101,155.2,1,0.48,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833485126934060,0.6015841878282060,-0.1564019584791260,100202322,8946043696261
37.5230196,-8.9981433,0.0283,0.0255,-0.0010,179.6945948,-60.4773824,32.0125856,-22.5067946,667.287,780.024,667.536,778.683,6735801111000011,67358a111-000011,111,67358a,11,10.064,0.016,67.9,8.275,9.305,0.014,75.4,3.708,5.917,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,101.143,00,0000,0000,57400.30583833,0,,0,,19.928,4.503,0.000,44.958,4.812,0.000,19022.0000,280.3500,13625.0000,180.6600,7.50,7.50,10.011,0.009,2,0.260,9.342,0.010,2,0.326,10.693,0.012,0,10.118,0.013,2,10.271,0.009,2,9.668,0.010,2,10.106,0.009,2,9.484,0.010,2,10.031,0.009,3,9.407,0.010,3,9.991,0.009,3,9.368,0.011,3,9.963,0.009,3,9.344,0.012,3,9.942,0.010,3,9.329,0.012,3,9.927,0.011,3,9.319,0.013,3,367009101351026021,0.085047,18.5,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.053124,-50.9,1,0.36,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833482315168731,0.6015844239898230,-0.1564024583957040,100202322,8946043696261
37.5230071,-8.9981485,0.0280,0.0314,0.0077,179.6945863,-60.4773951,32.0125712,-22.5067953,492.448,113.490,490.947,112.936,6736201110000009,67362a110-000009,110,67362a,9,10.114,0.018,59.5,7.256,9.304,0.016,68.3,3.882,5.396,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,92.411,00,0000,0000,57400.43686951,0,,0,,17.366,3.257,0.000,45.505,4.239,0.000,18164.0000,305.3700,13641.0000,199.6700,7.50,7.50,10.052,0.013,2,0.260,9.517,0.010,2,0.326,10.732,0.018,0,10.343,0.013,2,10.312,0.013,2,9.843,0.010,2,10.150,0.013,2,9.637,0.010,2,10.077,0.012,2,9.547,0.010,2,10.036,0.013,2,9.500,0.010,2,10.008,0.013,2,9.472,0.011,2,9.987,0.013,3,9.453,0.011,3,9.971,0.013,3,9.438,0.012,3,367009101351026021,0.122394,35.7,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.052298,3.5,1,0.38,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833483515043210,0.6015842444440650,-0.1564025480359130,100202322,8946043696261
37.5230181,-8.9981420,0.0292,0.0238,0.0009,179.6945908,-60.4773827,32.0125846,-22.5067929,134.572,618.388,137.253,619.405,6737001111000011,67370a111-000011,111,67370a,11,10.070,0.014,75.4,7.729,9.303,0.014,77.1,2.403,4.892,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,17.466,00,0000,0000,57400.69918677,0,,0,,19.851,4.213,0.000,44.830,4.241,0.000,18911.0000,250.9200,13650.0000,177.0500,7.50,7.50,10.038,0.008,0,0.260,9.298,0.009,2,0.326,10.737,0.011,0,10.106,0.010,0,10.297,0.008,0,9.624,0.009,2,10.118,0.008,2,9.429,0.008,2,10.034,0.008,3,9.350,0.008,3,9.989,0.008,3,9.312,0.009,3,9.959,0.008,3,9.289,0.010,3,9.937,0.008,3,9.272,0.010,3,9.921,0.008,3,9.259,0.011,3,367009101351026021,0.082564,23.1,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.046034,-51.3,1,0.36,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833482500807890,0.6015844056432320,-0.1564024359856510,100202322,8946043696261
37.5230151,-8.9981319,0.0273,0.0298,0.0020,179.6945714,-60.4773783,32.0125853,-22.5067824,577.002,742.368,577.618,741.440,6737301087000010,67373a087-000010,87,67373a,10,10.080,0.016,68.5,9.204,9.323,0.015,72.0,5.512,7.257,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,10.518,00,0000,0000,57400.76476609,0,,0,,17.930,3.729,0.000,45.393,5.333,0.000,18738.0000,273.6400,13411.0000,186.1500,7.50,7.50,10.047,0.009,2,0.260,9.338,0.013,2,0.326,10.734,0.012,0,10.103,0.015,2,10.307,0.009,2,9.664,0.013,2,10.137,0.008,2,9.484,0.013,2,10.057,0.008,2,9.403,0.013,2,10.014,0.008,2,9.362,0.014,2,9.986,0.009,3,9.337,0.015,3,9.967,0.009,3,9.321,0.016,3,9.952,0.009,3,9.308,0.017,3,367009101351026021,0.058474,47.4,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.026353,-106.7,1,0.40,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833483034459460,0.6015843814197530,-0.1564022618767780,100202322,8946043696261
37.5230414,-8.9981286,0.0276,0.0255,0.0027,179.6946010,-60.4773565,32.0126130,-22.5067882,398.288,90.150,397.206,90.044,6737701086000050,67377a086-000050,86,67377a,50,10.063,0.017,64.3,6.130,9.303,0.013,81.3,2.788,4.320,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,-3.456,00,0000,0000,57400.89579737,0,,0,,18.065,3.749,0.000,44.960,4.565,0.000,19032.0000,296.0000,13654.0000,168.0000,7.50,7.50,10.050,0.009,2,0.260,9.429,0.009,2,0.326,10.721,0.011,2,10.252,0.011,2,10.310,0.009,2,9.755,0.009,2,10.144,0.008,2,9.549,0.008,2,10.065,0.008,2,9.462,0.008,2,10.021,0.008,2,9.418,0.009,2,9.991,0.008,2,9.390,0.009,2,9.968,0.008,2,9.371,0.010,2,9.950,0.009,3,9.357,0.010,3,367009101351026021,0.057600,-61.2,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.120341,-99.3,1,0.34,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833480344500600,0.6015847464801460,-0.1564022049897190,100202322,8946043696261
37.5230277,-8.9981380,0.0286,0.0252,-0.0014,179.6945974,-60.4773729,32.0125957,-22.5067924,395.411,1005.327,398.234,1005.172,6737701087000026,67377a087-000026,87,67377a,26,10.079,0.018,60.9,9.372,9.313,0.014,75.8,2.584,5.552,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,-2.695,00,0000,0000,57400.89592473,0,,0,,18.010,3.423,0.000,45.341,4.318,0.000,18768.0000,308.1700,13530.0000,178.5000,7.50,7.50,10.041,0.009,2,0.260,9.314,0.011,0,0.326,10.698,0.011,2,10.092,0.013,0,10.300,0.009,2,9.640,0.011,0,10.139,0.008,2,9.457,0.010,0,10.063,0.008,2,9.379,0.010,2,10.019,0.008,2,9.343,0.012,2,9.990,0.008,2,9.323,0.014,2,9.967,0.008,3,9.310,0.014,3,9.949,0.008,3,9.300,0.015,3,367009101351026021,0.061586,-1.7,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.071512,-78.4,1,0.34,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833481579442541,0.6015845435449970,-0.1564023670316420,100202322,8946043696261
37.5230302,-8.9981320,0.0300,0.0252,-0.0049,179.6945915,-60.4773671,32.0126005,-22.5067876,217.398,342.702,218.429,343.371,6738101086000013,67381a086-000013,86,67381a,13,10.075,0.014,75.9,7.871,9.334,0.015,74.5,2.229,4.939,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,15.422,00,0000,0000,57401.02695597,0,,0,,17.331,3.583,0.000,45.482,4.342,0.000,18825.0000,248.0200,13273.0000,178.0900,7.50,7.50,10.084,0.009,0,0.260,9.351,0.012,2,0.326,10.774,0.011,0,10.143,0.014,2,10.343,0.009,0,9.677,0.012,2,10.166,0.008,1,9.483,0.012,3,10.082,0.008,3,9.399,0.012,3,10.035,0.008,3,9.358,0.014,3,10.003,0.008,3,9.333,0.014,3,9.979,0.008,3,9.316,0.015,3,9.961,0.008,3,9.305,0.015,3,367009101351026021,0.041359,-14.9,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.079264,-95.2,1,0.36,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833481446850350,0.6015845877007761,-0.1564022636006280,100202322,8946043696261
37.5230749,-8.9981303,0.0283,0.0249,0.0061,179.6946478,-60.4773327,32.0126460,-22.5068011,314.071,372.227,314.658,372.489,6736602110000010,67366b110-000010,110,67366b,10,10.039,0.014,75.1,6.328,9.307,0.014,78.6,3.334,4.672,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,50.693,00,0000,0000,57400.56802817,0,,0,,17.517,3.321,0.000,45.173,4.858,0.000,19470.0000,259.4100,13603.0000,172.9600,7.50,7.50,10.034,0.008,0,0.260,9.390,0.013,2,0.326,10.726,0.011,0,10.197,0.014,2,10.293,0.008,0,9.716,0.013,2,10.114,0.008,0,9.517,0.012,2,10.031,0.008,0,9.434,0.013,2,9.985,0.008,3,9.392,0.014,3,9.955,0.008,3,9.367,0.016,3,9.933,0.008,3,9.349,0.020,3,9.917,0.008,3,9.335,0.026,3,367009101351026021,0.172950,-78.7,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.238249,-93.2,1,0.29,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833476790317130,0.6015852016656550,-0.1564022342951740,100202322,8946043696262
37.5230594,-8.9981421,0.0305,0.0242,-0.0091,179.6946454,-60.4773520,32.0126261,-22.5068069,35.647,596.749,38.835,598.212,6738501047000012,67385a047-000012,47,67385a,12,10.065,0.015,72.9,10.830,9.314,0.013,82.2,3.931,7.116,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,54.846,00,0000,0000,57401.15811457,0,,0,,17.520,3.184,0.000,45.034,4.286,0.000,18996.0000,260.6300,13520.0000,164.4900,7.50,7.50,10.089,0.009,2,0.260,9.348,0.008,0,0.326,10.781,0.011,2,10.157,0.010,0,10.349,0.009,2,9.674,0.008,0,10.171,0.008,2,9.473,0.008,2,10.086,0.008,2,9.386,0.008,2,10.039,0.008,2,9.342,0.008,2,10.008,0.008,2,9.315,0.009,2,9.985,0.008,2,9.296,0.009,2,9.970,0.008,3,9.281,0.010,3,367009101351026021,0.137599,-56.3,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.185074,-80.9,1,0.27,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833478162294260,0.6015849701306670,-0.1564024377095010,100202322,8946043696262
