source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01010a129,55212.97788650,10.329,0.030,20.620,9.908,0.033,7.670,6.573,0.020,4.867,3.878,0.024,1.086,1.0,18,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06692a150,55400.90056810,10.295,0.024,20.440,9.844,0.025,7.446,6.658,0.020,4.543,3.925,0.029,1.056,1.0,94,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01018a128,55213.24249600,10.309,0.024,20.500,9.900,0.020,7.605,6.629,0.017,4.471,3.901,0.029,1.045,1.0,97,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01021a105,55213.30871200,10.330,0.024,20.630,9.882,0.022,7.498,6.575,0.018,4.838,3.891,0.027,1.057,1.0,117,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01022a129,55213.37492810,10.301,0.027,20.460,9.885,0.024,7.515,6.594,0.021,4.634,3.895,0.038,1.050,1.0,102,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01025a105,55213.44101680,10.314,0.026,20.520,9.908,0.024,7.671,6.589,0.021,4.680,3.895,0.031,1.051,1.0,80,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01029a105,55213.57344880,10.333,0.026,20.650,9.927,0.021,7.857,6.605,0.023,4.549,3.910,0.036,1.042,1.0,40,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01033a105,55213.70575360,10.295,0.025,20.440,9.933,0.024,7.930,6.605,0.020,4.550,3.839,0.044,1.284,1.0,18,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06673b175,55400.30526470,10.229,0.023,20.570,9.868,0.026,7.452,6.642,0.028,4.479,3.898,0.031,1.047,1.0,5,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06677b174,55400.43744120,10.256,0.031,20.430,9.891,0.024,7.544,6.668,0.019,4.604,3.953,0.025,1.136,1.0,13,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06677b175,55400.43756850,10.226,0.027,20.600,9.911,0.026,7.698,6.631,0.023,4.469,3.904,0.036,1.043,1.0,13,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06681b174,55400.56974490,10.349,0.029,20.800,9.834,0.023,7.475,6.656,0.021,4.529,3.916,0.029,1.046,1.0,45,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06685b174,55400.70204870,10.311,0.026,20.510,9.922,0.025,7.804,6.648,0.023,4.496,3.898,0.034,1.047,1.0,88,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06688a150,55400.76826430,10.272,0.025,20.410,9.889,0.024,7.536,6.661,0.022,4.560,3.958,0.038,1.154,1.0,108,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06689b174,55400.83435250,10.341,0.030,20.730,9.870,0.029,7.457,6.682,0.018,4.727,3.941,0.026,1.093,1.0,115,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,01014a129,55213.11019130,10.351,0.025,20.820,9.909,0.023,7.681,6.620,0.018,4.484,3.857,0.023,1.172,1.0,55,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06693b174,55400.96665630,10.318,0.025,20.550,9.918,0.018,7.758,6.654,0.018,4.519,3.950,0.025,1.122,1.0,73,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12085a108,55579.23295270,10.268,0.028,20.410,9.788,0.021,7.845,,,,,,,1.0,95,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06700a150,55401.16517570,10.262,0.022,20.420,9.854,0.022,7.436,6.640,0.020,4.475,3.897,0.034,1.048,1.0,25,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06704a149,55401.29735210,10.250,0.024,20.450,9.859,0.028,7.438,6.622,0.021,4.480,3.944,0.026,1.102,1.0,8,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06704a150,55401.29747940,10.218,0.025,20.670,9.859,0.025,7.438,6.622,0.019,4.480,3.877,0.039,1.088,1.0,7,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,06708a149,55401.42965590,10.238,0.023,20.510,9.928,0.023,7.874,6.664,0.020,4.580,3.873,0.035,1.101,1.0,12,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12054a132,55578.24098810,10.228,0.020,20.580,9.739,0.027,8.715,,,,,,,1.0,97,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12058a131,55578.37316520,10.246,0.026,20.470,9.785,0.020,7.886,,,,,,,1.0,101,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12062b131,55578.50546960,10.274,0.021,20.410,9.772,0.024,8.066,,,,,,,1.0,59,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12065a107,55578.57155810,10.194,0.021,20.940,9.789,0.020,7.834,,,,,,,1.0,39,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12066a132,55578.63777390,10.320,0.025,20.560,9.765,0.025,8.191,,,,,,,1.0,25,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12069a107,55578.70386250,10.243,0.022,20.480,9.807,0.022,7.641,,,,,,,1.0,17,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12070a131,55578.76995100,10.229,0.022,20.570,9.763,0.020,8.228,,,,,,,1.0,8,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12073a108,55578.83616690,10.270,0.025,20.410,9.827,0.020,7.502,,,,,,,1.0,2,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12077a107,55578.96834390,10.291,0.027,20.430,9.752,0.021,8.431,,,,,,,1.0,16,0000,0.104773,203.920604
0332p000_ac51-002590,33.6398282,-0.7667166,02h14m33.56s,-00d46m00.18s,1,0,0000,12081a107,55579.10064830,10.225,0.022,20.610,9.753,0.022,8.407,,,,,,,1.0,52,0000,0.104773,203.920604
