ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
345.8150665,8.8738817,0.0241,0.0227,0.0058,83.0983710,-45.4667257,350.4720376,13.7591078,538.220,405.766,537.635,405.008,6616101144000011,66161a144-000011,144,66161a,11,8.593,0.014,75.6,11.510,7.718,0.013,85.4,4.137,7.604,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,36.129,00,0000,0102,57361.03733078,0,,0,,22.590,3.799,0.000,50.481,5.025,0.000,73728.0000,975.6900,58781.0000,688.0100,7.50,7.50,8.605,0.007,0,0.260,8.023,0.008,2,0.326,9.302,0.009,0,8.857,0.010,2,8.864,0.007,0,8.349,0.008,2,8.679,0.007,0,8.126,0.007,2,8.586,0.007,0,8.022,0.007,2,8.531,0.007,2,7.966,0.007,2,8.495,0.007,2,7.931,0.007,2,8.467,0.007,2,7.906,0.007,2,8.444,0.007,3,7.886,0.008,3,3462109001351015573,0.129282,-11.4,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.085782,-174.0,1,1.11,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050689611980,-0.2421192447201190,0.1542600084098330,200022010,13237369723237
345.8150917,8.8738777,0.0271,0.0217,-0.0066,83.0983967,-45.4667433,350.4720595,13.7590943,986.274,896.650,985.238,894.013,6613801168000007,66138a168-000007,168,66138a,7,8.546,0.018,60.1,14.910,7.690,0.012,86.9,8.521,11.180,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,117.884,00,0000,0000,57360.31608609,0,,0,,21.352,4.257,0.000,51.229,5.233,0.000,77018.0000,1280.9000,60340.0000,694.5700,7.50,7.50,8.588,0.007,0,0.260,7.816,0.007,2,0.326,9.292,0.009,0,8.602,0.008,2,8.848,0.007,0,8.142,0.007,2,8.661,0.007,0,7.949,0.007,2,8.569,0.007,2,7.862,0.007,2,8.515,0.007,3,7.817,0.007,3,8.480,0.007,3,7.788,0.007,3,8.453,0.007,3,7.768,0.008,3,8.431,0.007,3,7.751,0.008,3,3462109001351015573,0.182198,-39.2,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.121396,-125.7,1,1.02,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579051858917300,-0.2421188260505000,0.1542599394323060,200022010,13237369723237
345.8150714,8.8739054,0.0285,0.0222,-0.0095,83.0983962,-45.4667091,350.4720519,13.7591276,349.767,481.119,350.613,481.202,6616501080000012,66165a080-000012,80,66165a,12,8.519,0.015,70.2,14.170,7.755,0.012,90.4,7.726,10.340,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,70.264,00,0102,0000,57361.16848933,0,,0,,21.560,4.160,0.000,51.620,5.609,0.000,78926.0000,1124.6000,56826.0000,628.4000,7.50,7.50,8.816,0.008,2,0.260,7.805,0.007,2,0.326,9.576,0.010,2,8.611,0.008,2,9.075,0.008,2,8.131,0.007,2,8.857,0.007,2,7.924,0.006,2,8.745,0.007,2,7.830,0.007,2,8.681,0.007,2,7.780,0.007,2,8.638,0.007,2,7.750,0.007,2,8.606,0.007,3,7.727,0.007,3,8.579,0.007,3,7.710,0.007,3,3462109001351015573,0.059718,-46.1,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.172658,-171.2,1,1.16,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050278043810,-0.2421191471625270,0.1542604171016640,200022010,13237369723237
345.8150653,8.8738774,0.0298,0.0294,-0.0074,83.0983661,-45.4667285,350.4720347,13.7591043,725.429,333.536,723.421,331.934,6615701144000007,66157a144-000007,144,66157a,7,8.604,0.019,58.3,13.480,7.747,0.015,72.8,4.278,8.413,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,17.543,00,0000,0000,57360.90617223,0,,0,,24.255,4.827,0.000,52.322,5.468,0.000,72976.0000,1251.8000,57244.0000,786.4000,7.50,7.50,8.603,0.014,2,0.260,7.794,0.009,2,0.326,9.293,0.019,2,8.585,0.012,2,8.863,0.014,2,8.120,0.009,2,8.680,0.013,2,7.930,0.008,2,8.588,0.012,2,7.844,0.008,2,8.534,0.011,2,7.796,0.008,2,8.499,0.011,3,7.765,0.008,3,8.472,0.011,3,7.744,0.008,3,8.449,0.011,3,7.727,0.008,3,3462109001351015573,0.143793,-8.5,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.069993,-176.2,1,1.10,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050751143580,-0.2421192676194280,0.1542599342589910,200022010,13237369723237
345.8150806,8.8739026,0.0248,0.0207,-0.0013,83.0984045,-45.4667167,350.4720593,13.7591215,255.052,286.139,255.634,286.647,6615401168000011,66154a168-000011,168,66154a,11,8.562,0.013,81.9,19.640,7.725,0.012,89.0,12.280,15.310,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,17.140,00,0000,0000,57360.84059294,0,,0,,21.412,3.626,0.000,50.067,4.184,0.000,75879.0000,926.0100,58424.0000,656.7900,7.50,7.50,8.598,0.007,0,0.260,7.722,0.007,2,0.326,9.301,0.009,0,8.540,0.009,2,8.857,0.007,0,8.048,0.007,2,8.667,0.007,2,7.842,0.007,2,8.573,0.007,2,7.750,0.007,2,8.519,0.007,2,7.703,0.007,2,8.483,0.007,3,7.675,0.007,3,8.456,0.007,3,7.655,0.007,3,8.433,0.007,3,7.639,0.007,3,3462109001351015573,0.091597,-55.8,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.171072,-159.8,1,1.08,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050739902431,-0.2421189951987820,0.1542603688173980,200022010,13237369723237
345.8150816,8.8738933,0.0293,0.0251,0.0086,83.0983980,-45.4667248,350.4720564,13.7591125,803.651,57.239,800.020,55.260,6614201167000006,66142a167-000006,167,66142a,6,8.589,0.019,58.5,13.070,7.741,0.014,78.2,7.331,9.897,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,95.523,00,0000,0000,57360.44711731,0,,0,,27.227,5.260,0.000,51.781,5.263,0.000,74000.0000,1265.8000,57545.0000,735.8300,7.50,7.50,8.640,0.010,0,0.260,7.810,0.007,2,0.326,9.365,0.013,0,8.636,0.008,2,8.899,0.010,0,8.136,0.007,2,8.700,0.009,2,7.931,0.007,2,8.603,0.009,2,7.841,0.007,2,8.548,0.008,2,7.795,0.007,2,8.511,0.008,2,7.765,0.007,2,8.483,0.008,2,7.744,0.007,2,8.461,0.008,3,7.727,0.007,3,3462109001351015573,0.116231,-43.0,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.141663,-153.8,1,1.06,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579051024914330,-0.2421189846160110,0.1542602084446560,200022010,13237369723237
345.8150802,8.8738903,0.0277,0.0255,-0.0115,83.0983939,-45.4667265,350.4720539,13.7591103,801.244,972.930,801.552,971.121,6614201169000006,66142a169-000006,169,66142a,6,8.546,0.018,58.8,11.920,7.734,0.014,80.0,3.963,7.638,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,95.657,00,0000,0000,57360.44724468,0,,0,,23.263,5.179,0.000,49.873,5.156,0.000,76982.0000,1309.7000,57919.0000,723.7400,7.50,7.50,8.566,0.008,2,0.260,7.712,0.007,2,0.326,9.248,0.009,2,8.492,0.008,2,8.825,0.008,2,8.038,0.007,2,8.651,0.007,2,7.857,0.007,2,8.564,0.007,2,7.777,0.007,2,8.512,0.007,2,7.734,0.008,2,8.478,0.007,2,7.707,0.008,2,8.452,0.007,2,7.688,0.008,2,8.430,0.007,3,7.672,0.008,3,3462109001351015573,0.121228,-37.8,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.129774,-153.6,1,1.05,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579051044061240,-0.2421190100013450,0.1542601567115130,200022010,13237369723237
345.8150720,8.8738815,0.0263,0.0225,0.0036,83.0983772,-45.4667290,350.4720426,13.7591055,909.444,250.261,905.918,247.868,6615301144000007,66153a144-000007,144,66153a,7,8.554,0.016,67.8,13.800,7.722,0.012,88.9,9.538,11.300,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,26.337,00,0000,0000,57360.77501374,0,,0,,26.153,5.181,0.000,51.313,5.100,0.000,76408.0000,1126.5000,58555.0000,658.6500,7.50,7.50,8.573,0.007,2,0.260,7.771,0.008,2,0.326,9.287,0.009,0,8.566,0.011,2,8.833,0.007,2,8.097,0.008,2,8.642,0.007,2,7.902,0.008,2,8.551,0.007,2,7.814,0.007,2,8.497,0.007,2,7.767,0.007,2,8.462,0.006,2,7.738,0.007,2,8.435,0.006,3,7.718,0.007,3,8.412,0.007,3,7.701,0.007,3,3462109001351015573,0.135209,-19.5,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.089257,-161.4,1,1.11,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050927250230,-0.2421191528997860,0.1542600049609560,200022010,13237369723237
345.8150590,8.8739252,0.0229,0.0223,0.0083,83.0983982,-45.4666859,350.4720484,13.7591507,621.044,138.658,618.868,137.533,6614602168000008,66146b168-000008,168,66146b,8,8.454,0.017,63.1,13.460,7.734,0.011,97.4,8.026,10.300,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,56.636,00,0000,0000,57360.57827586,0,,0,,20.213,4.637,0.000,50.235,5.212,0.000,83807.0000,1328.1000,57900.0000,594.5800,7.50,7.50,8.635,0.016,2,0.260,7.790,0.007,2,0.326,9.310,0.022,2,8.588,0.008,2,8.894,0.016,2,8.116,0.007,2,8.712,0.014,2,7.916,0.006,2,8.620,0.013,2,7.826,0.006,2,8.566,0.012,2,7.778,0.006,2,8.529,0.012,2,7.747,0.006,2,8.500,0.012,2,7.726,0.006,2,8.476,0.012,3,7.709,0.007,3,3462109001351015573,0.029899,178.0,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.242573,175.8,1,1.21,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579049237214911,-0.2421193414097010,0.1542607585403890,200022010,13237369723252
345.8150572,8.8738922,0.0273,0.0251,-0.0034,83.0983690,-45.4667118,350.4720332,13.7591211,440.452,211.236,439.656,210.936,6615001168000010,66150a168-000010,168,66150a,10,8.557,0.015,71.3,12.630,7.758,0.014,78.5,5.217,8.761,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,34.766,00,0000,0000,57360.70943444,0,,0,,21.574,4.426,0.000,50.378,4.982,0.000,76222.0000,1069.4000,56640.0000,721.2100,7.50,7.50,8.581,0.010,2,0.260,7.718,0.007,2,0.326,9.280,0.013,0,8.528,0.008,2,8.841,0.010,2,8.044,0.007,2,8.655,0.009,2,7.846,0.007,2,8.564,0.008,2,7.758,0.006,2,8.511,0.008,2,7.712,0.006,2,8.475,0.008,3,7.683,0.006,3,8.448,0.008,3,7.662,0.007,3,8.425,0.008,3,7.645,0.007,3,3462109001351015573,0.089233,4.8,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.125473,168.9,1,1.13,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050022537580,-0.2421193932755220,0.1542601894758370,200022010,13237369723254
