source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04801b207,55338.39423210,7.680,0.024,9.241,6.699,0.017,4.370,3.469,0.018,8.550,0.530,0.019,2.765,1.0,-1,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10301a074,55520.23920670,7.517,0.021,8.861,6.547,0.018,4.779,,,,,,,0.5,66,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04809b207,55338.65884040,7.680,0.022,9.243,6.737,0.020,4.780,3.480,0.014,8.622,0.543,0.030,2.958,1.0,59,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04813b207,55338.79114430,7.727,0.022,9.767,6.738,0.024,4.788,3.466,0.014,8.535,0.440,0.007,2.789,1.0,78,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04816a182,55338.85723270,7.621,0.026,8.816,6.697,0.024,4.357,3.432,0.015,8.684,0.530,0.027,2.755,1.0,79,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04816a183,55338.85736000,7.546,0.025,8.734,6.686,0.016,4.274,3.464,0.013,8.530,0.601,0.024,4.458,1.0,78,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04817b207,55338.92344830,7.660,0.021,9.071,6.726,0.019,4.640,3.466,0.015,8.536,0.468,0.012,2.489,1.0,63,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04820a182,55338.98953660,7.616,0.030,8.796,6.744,0.023,4.875,3.481,0.016,8.636,0.544,0.016,2.982,1.0,47,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04820a183,55338.98966400,7.619,0.026,8.808,6.685,0.023,4.266,3.430,0.017,8.717,0.516,0.026,2.596,1.0,47,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04821b207,55339.05575230,7.647,0.022,8.973,6.655,0.025,4.132,3.439,0.013,8.614,0.525,0.029,2.696,1.0,32,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04824a182,55339.12184050,7.591,0.022,8.718,6.692,0.017,4.317,3.474,0.012,8.574,0.533,0.019,2.795,1.0,20,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04824a183,55339.12196790,7.536,0.023,8.765,6.638,0.021,4.111,3.459,0.010,8.525,0.484,0.028,2.439,1.0,20,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04825b207,55339.18805610,7.649,0.020,8.982,6.691,0.015,4.312,3.417,0.015,8.917,0.482,0.033,2.440,1.0,9,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04828a182,55339.25414440,7.678,0.027,9.228,6.712,0.022,4.491,3.450,0.016,8.543,0.533,0.020,2.801,1.0,2,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04828a183,55339.25427180,7.633,0.024,8.879,6.680,0.019,4.239,3.453,0.018,8.533,0.501,0.020,2.478,1.0,2,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04832a182,55339.38644830,7.672,0.028,9.167,6.688,0.021,4.286,3.460,0.016,8.525,0.463,0.015,2.521,1.0,-2,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04836a182,55339.51875230,7.622,0.024,8.823,6.714,0.027,4.516,3.448,0.016,8.550,0.476,0.015,2.453,1.0,27,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10282a098,55519.64402860,7.409,0.022,10.270,6.490,0.018,5.965,,,,,,,0.5,23,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10286a098,55519.77620550,7.469,0.027,9.286,6.496,0.020,5.809,,,,,,,1.0,5,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10286a099,55519.77633290,7.476,0.025,9.211,6.567,0.024,4.505,,,,,,,1.0,4,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10290a098,55519.90850980,7.462,0.022,9.381,6.633,0.024,4.113,,,,,,,0.5,-4,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10294a098,55520.04081400,7.424,0.022,9.984,6.583,0.022,4.346,,,,,,,0.5,21,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10297a074,55520.10690240,7.387,0.024,10.780,6.494,0.015,5.856,,,,,,,1.0,37,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,10298b099,55520.17311820,7.410,0.031,10.250,6.551,0.020,4.719,,,,,,,0.5,52,0000,1.482083,70.415224
3498m425_ac51-034262,349.5984450,-42.3704220,23h18m23.63s,-42d22m13.52s,1,0,0000,04805b207,55338.52653660,7.704,0.022,9.497,6.703,0.022,4.403,3.480,0.012,8.627,0.535,0.028,2.834,1.0,29,0000,1.482083,70.415224
