source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11274a111,55552.44736370,12.776,0.034,2.512,11.324,0.034,1.939,,,,,,,0.5,71,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11270a110,55552.31505930,12.935,0.038,1.911,11.271,0.027,1.658,,,,,,,1.0,95,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11281a087,55552.64575670,12.832,0.036,1.968,11.270,0.039,1.658,,,,,,,1.0,9,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11282a110,55552.71184520,12.796,0.029,2.272,11.194,0.027,1.919,,,,,,,1.0,-5,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11285a087,55552.77806110,12.757,0.036,2.779,11.303,0.030,1.786,,,,,,,1.0,-12,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11286a111,55552.84414970,12.842,0.030,1.914,11.318,0.029,1.888,,,,,,,1.0,-21,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11289a086,55552.91023820,13.013,0.045,2.514,7.757,0.165,46140.000,,,,,,,1.0,-16,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11293a087,55553.04254270,12.810,0.031,2.138,11.285,0.030,1.698,,,,,,,1.0,23,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11297a087,55553.17484710,12.930,0.038,1.893,11.254,0.026,1.644,,,,,,,0.5,64,0000,0.214095,257.570607
0162m228_ac51-041994,15.7082972,-22.3659028,01h02m49.99s,-22d21m57.25s,1,0,0000,11301a086,55553.30702420,12.805,0.037,2.181,11.263,0.032,1.648,,,,,,,1.0,95,0000,0.214095,257.570607
