ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
333.2684241,-41.7326000,22h13m04.42s,-41d43m57.36s,0.0935,0.0912,-0.0294,12.999,0.034,32.2,4.102,12.681,0.056,19.3,1.472,1,0,DD00,AA,5,58613.34935170,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.531917,151.623105
333.2683233,-41.7326237,22h13m04.40s,-41d43m57.45s,0.0966,0.0924,-0.0464,12.979,0.036,30.5,1.537,12.676,0.051,21.1,1.406,1,0,DD00,AA,10,58049.41376881,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.553612,181.863203
333.2682834,-41.7326288,22h13m04.39s,-41d43m57.46s,0.0876,0.0789,-0.0191,12.822,0.034,31.9,3.048,12.672,0.059,18.4,1.179,1,0,DD00,AA,10,59345.14850528,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.585225,192.352232
333.2684046,-41.7326250,22h13m04.42s,-41d43m57.45s,0.1165,0.0990,-0.0324,13.274,0.042,26.1,2.682,12.696,0.052,20.8,2.223,1,0,Dd00,AA,0,59873.38793742,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.592899,160.243371
333.2682238,-41.7326177,22h13m04.37s,-41d43m57.42s,0.1058,0.0944,-0.0406,13.112,0.035,30.8,15.280,12.986,0.066,16.3,2.883,1,0,DD00,AA,0,57150.63014545,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.603433,208.217072
333.2683125,-41.7326445,22h13m04.39s,-41d43m57.52s,0.0963,0.0883,-0.0261,12.988,0.035,31.5,1.321,12.580,0.052,20.9,1.559,1,0,Dd00,AA,10,59509.27770767,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.629957,184.280022
333.2684108,-41.7326397,22h13m04.42s,-41d43m57.50s,0.0859,0.0824,-0.0285,12.821,0.030,36.2,3.093,12.728,0.089,12.2,1.344,1,0,DD00,AA,10,57153.97734997,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.648337,160.43888
333.2684523,-41.7326253,22h13m04.43s,-41d43m57.45s,0.0797,0.0946,-0.0284,12.759,0.034,31.7,5.328,12.684,0.063,17.4,1.577,1,0,DD00,AA,10,57154.17434168,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.648475,149.557888
333.2683439,-41.7326516,22h13m04.40s,-41d43m57.55s,0.1238,0.1155,-0.0313,12.954,0.044,24.9,2.038,12.638,0.062,17.4,0.708,1,0,DD00,AA,10,57689.20301190,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.654825,176.730815
333.2683416,-41.7326522,22h13m04.40s,-41d43m57.55s,0.0741,0.0781,-0.0229,12.819,0.032,33.8,4.365,12.579,0.052,20.8,1.297,1,0,DD00,AA,10,59508.16681182,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.656662,177.279834
333.2682435,-41.7326425,22h13m04.38s,-41d43m57.51s,0.0996,0.1021,-0.0250,13.168,0.039,27.7,4.271,12.603,0.072,15.1,1.605,1,0,DD00,AA,10,57330.14198612,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.663054,200.516402
333.2683596,-41.7326601,22h13m04.41s,-41d43m57.58s,0.0799,0.0945,-0.0328,12.820,0.035,31.4,3.927,12.799,0.077,14.1,0.719,1,0,DD00,AA,10,58777.62758598,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.688963,173.372062
333.2684020,-41.7326544,22h13m04.42s,-41d43m57.56s,0.0830,0.0842,-0.0219,12.946,0.033,33.1,1.778,12.538,0.067,16.3,1.834,1,0,Dd00,AA,10,57154.04305632,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.691447,163.754886
333.2685098,-41.7326105,22h13m04.44s,-41d43m57.40s,0.0940,0.0952,-0.0034,13.054,0.037,29.2,2.996,12.684,0.054,20.0,2.244,1,0,DD00,AA,0,59344.49487969,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.699401,136.318636
333.2684150,-41.7326542,22h13m04.42s,-41d43m57.56s,0.0902,0.0885,-0.0343,12.782,0.035,31.2,2.787,12.520,0.069,15.8,0.889,1,0,DD00,AA,10,57689.07210797,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.701337,160.998095
333.2683209,-41.7326654,22h13m04.40s,-41d43m57.60s,0.0851,0.0826,-0.0329,12.927,0.033,32.7,2.719,12.637,0.055,19.6,0.836,1,0,DD00,AA,10,58049.28286478,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.703864,181.990463
333.2682814,-41.7326626,22h13m04.39s,-41d43m57.59s,0.0971,0.0913,-0.0343,12.909,0.033,32.9,1.797,12.431,0.073,15.0,1.219,1,0,Dd00,AA,10,57689.00652867,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.705547,190.664388
333.2683544,-41.7326657,22h13m04.41s,-41d43m57.60s,0.0854,0.1036,-0.0558,12.940,0.035,31.2,4.029,12.656,0.085,12.7,1.051,1,0,Dd00,AA,10,58777.36539748,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.707566,174.684275
333.2683404,-41.7326676,22h13m04.40s,-41d43m57.60s,0.0936,0.0839,-0.0260,12.907,0.032,34.4,1.490,12.578,0.070,15.6,1.533,1,0,Dd00,AA,10,58777.56213439,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.711912,177.750763
333.2683981,-41.7326614,22h13m04.42s,-41d43m57.58s,0.0895,0.0820,-0.0285,12.908,0.035,31.1,2.907,12.613,0.056,19.3,1.575,1,0,Dd00,AA,10,58049.74115477,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.712913,165.130023
333.2683672,-41.7326676,22h13m04.41s,-41d43m57.60s,0.0923,0.0827,-0.0239,12.902,0.031,34.7,2.775,12.631,0.068,15.9,0.973,1,0,DD00,AA,5,59141.71181877,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.718345,172.002856
333.2684708,-41.7326429,22h13m04.43s,-41d43m57.51s,0.0881,0.0856,-0.0204,12.918,0.033,33.2,2.109,12.686,0.059,18.3,1.924,1,0,DD00,AA,10,57882.51101402,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.728362,148.712492
333.2683416,-41.7326728,22h13m04.40s,-41d43m57.62s,0.0964,0.0895,-0.0351,12.852,0.038,28.6,3.360,12.770,0.062,17.4,2.260,1,0,DD00,AA,10,58777.03826675,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.730744,177.55579
333.2683182,-41.7326735,22h13m04.40s,-41d43m57.62s,0.0929,0.0850,-0.0294,12.953,0.035,31.4,1.759,12.689,0.054,20.1,1.372,1,0,DD00,AA,10,59142.03882225,3337042501351060936,12.477,0.023,12.459,0.023,11.488,0.195,8.879,,1307443140,14.572,0.0620,13.843,0.0761,13.385,0.0559,0.733287,182.477757
