ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
34.2186521,-0.3932196,0.1207,0.1076,-0.0380,163.9606134,-56.3015879,31.8260303,-13.2960330,69.824,229.317,71.258,230.682,5107702170000245,51077b170-000245,170,51077b,245,13.627,0.042,25.9,0.797,12.765,0.066,16.6,0.818,0.767,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,115.741,00,0000,0000,56865.80641954,0,,0,,21.552,3.100,0.000,52.635,4.253,0.000,712.8000,27.5510,563.0900,34.0060,7.50,7.50,13.617,0.051,3,0.257,12.773,0.314,3,0.322,14.288,0.059,0,13.571,0.436,2,13.874,0.051,3,13.095,0.314,3,13.714,0.053,3,12.888,0.267,3,13.625,0.060,3,12.781,0.250,3,13.547,0.067,3,12.698,0.241,3,13.480,0.073,3,12.637,0.238,3,13.437,0.080,3,12.617,0.244,3,13.412,0.088,3,12.615,0.259,3,347100001351013102,0.155801,-44.3,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.404584,-26.5,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268780759694500,0.5623393528567150,-0.0068629228286210,100201003,8938079463440
34.2186222,-0.3931886,0.1115,0.1098,-0.0437,163.9605370,-56.3015802,31.8260122,-13.2959938,948.103,972.346,947.579,969.911,5109702171000178,51097b171-000178,171,51097b,178,13.650,0.045,24.3,0.781,12.652,0.069,15.6,0.707,0.710,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,17.383,00,0000,0000,56866.46437302,0,,0,,20.637,3.079,0.000,52.660,4.917,0.000,698.0900,28.7480,625.1800,39.9820,7.50,7.50,13.710,0.054,1,0.257,12.743,0.130,3,0.322,14.331,0.058,0,13.494,0.155,2,13.967,0.054,1,13.065,0.130,3,13.864,0.061,3,12.879,0.141,3,13.824,0.073,3,12.767,0.151,3,13.764,0.094,3,12.674,0.157,3,13.688,0.106,3,12.584,0.161,3,13.622,0.113,3,12.519,0.168,3,13.577,0.120,3,12.494,0.184,3,347100001351013102,0.001080,-90.0,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.260899,-16.2,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268783724983810,0.5623389234355080,-0.0068623817892937,100201003,8938079463441
34.2186148,-0.3931644,0.1232,0.1163,-0.0346,163.9605007,-56.3015649,31.8260134,-13.2959685,595.936,495.713,595.376,494.693,5108902171000187,51089b171-000187,171,51089b,187,13.595,0.051,21.1,0.825,12.943,0.080,13.6,1.298,0.995,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,26.729,00,0000,0000,56866.20116618,0,,0,,21.402,3.666,0.000,52.871,4.542,0.000,734.4900,34.8240,478.0600,35.1830,7.50,7.50,13.660,0.100,1,0.257,12.841,0.281,3,0.322,14.269,0.127,0,13.644,0.409,0,13.917,0.100,1,13.163,0.281,3,13.799,0.101,1,12.979,0.254,3,13.748,0.110,1,12.912,0.275,3,13.688,0.123,3,12.871,0.335,3,13.626,0.130,3,12.834,0.392,3,13.608,0.140,3,12.865,0.444,3,13.632,0.160,3,12.230,,32,347100001351013102,0.090792,163.6,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.169811,-15.7,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268784475235590,0.5623388182704580,-0.0068619594295594,100201003,8938079463441
34.2185870,-0.3931934,0.1110,0.1048,-0.0352,163.9604906,-56.3016047,31.8259765,-13.2959864,421.075,709.132,422.475,708.853,5108502171000182,51085b171-000182,171,51085b,182,13.657,0.042,26.0,0.664,12.769,0.062,17.4,0.668,0.632,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,49.622,00,0000,0000,56866.06962644,0,,0,,21.652,3.729,0.000,52.821,4.995,0.000,693.6000,26.6580,561.2500,32.2970,7.50,7.50,13.615,0.074,1,0.257,12.722,0.107,3,0.322,14.277,0.068,0,13.496,0.127,2,13.872,0.074,1,13.044,0.107,3,13.725,0.086,3,12.862,0.110,3,13.656,0.117,3,12.770,0.121,3,13.593,0.129,3,12.707,0.138,3,13.508,0.129,3,12.663,0.164,3,13.414,0.127,3,12.666,0.204,3,13.333,0.127,3,12.715,0.264,3,347100001351013102,0.126820,82.2,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.273229,11.4,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268787174990710,0.5623384151144990,-0.0068624655631252,100201003,8938079463441
34.2186203,-0.3931793,0.0999,0.1063,-0.0358,163.9605244,-56.3015738,31.8260136,-13.2959844,829.902,886.605,829.643,884.608,5110801146000169,51108a146-000169,146,51108a,169,13.611,0.043,25.1,0.659,12.728,0.065,16.7,0.740,0.664,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,111.661,00,0000,0000,56866.79328606,0,,0,,21.464,3.856,0.000,52.689,4.708,0.000,723.8600,28.8950,582.7400,34.8700,7.50,7.50,13.758,0.060,1,0.257,12.787,0.152,3,0.322,14.340,0.059,1,13.525,0.167,1,14.015,0.060,1,13.109,0.152,3,13.927,0.076,3,12.984,0.208,3,13.889,0.098,3,12.965,0.261,3,13.852,0.128,3,12.972,0.339,3,13.853,0.156,3,12.963,0.400,3,13.918,0.184,3,12.930,0.416,3,14.014,0.219,3,12.857,0.411,3,347100001351013102,0.033972,170.2,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.226856,-16.9,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268783920672930,0.5623388966415630,-0.0068622194774952,100201003,8938079463441
34.2185973,-0.3931935,0.1276,0.1250,-0.0540,163.9605057,-56.3015987,31.8259864,-13.2959899,775.563,281.540,773.002,279.734,5109302170000185,51093b170-000185,170,51093b,185,13.690,0.053,20.3,0.775,12.820,0.060,18.2,1.108,0.905,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,9.414,00,0000,0000,56866.33270587,0,,0,,21.622,4.093,0.000,52.902,5.105,0.000,672.9700,33.1410,535.6900,29.3660,7.50,7.50,13.743,0.080,3,0.257,12.758,0.119,3,0.322,14.389,0.081,3,13.563,0.132,1,14.000,0.080,3,13.080,0.119,3,13.851,0.088,3,12.864,0.122,3,13.755,0.097,3,12.739,0.138,3,13.629,0.109,3,12.648,0.169,3,13.496,0.117,3,12.608,0.213,3,13.410,0.122,3,12.610,0.246,3,13.369,0.129,3,12.632,0.275,3,347100001351013102,0.090298,78.7,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.268733,3.6,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268786163981880,0.5623385637548420,-0.0068624673084133,100201003,8938079463441
34.2185651,-0.3932638,0.1276,0.1184,-0.0481,163.9605327,-56.3016746,31.8259308,-13.2960452,478.372,410.869,478.213,410.322,5110001146000192,51100a146-000192,146,51100a,192,13.679,0.045,23.9,0.629,12.946,0.086,12.6,1.165,0.839,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,31.809,00,0000,0001,56866.53007921,0,,0,,22.241,4.402,0.000,51.889,4.101,0.000,679.4700,28.3980,476.9900,37.7870,7.50,7.50,13.651,0.055,3,0.257,12.976,0.204,3,0.322,14.299,0.061,2,13.798,0.279,2,13.908,0.055,3,13.298,0.204,3,13.738,0.059,3,13.056,0.192,3,13.635,0.067,3,12.893,0.230,3,13.538,0.075,3,12.760,0.252,3,13.445,0.084,3,12.671,0.255,3,13.377,0.091,3,12.617,0.262,3,13.327,0.099,3,12.560,0.269,3,347100001351013102,0.339263,37.1,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.537939,14.3,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268789254669709,0.5623380943168320,-0.0068636942459809,100201003,8938079463442
34.2186391,-0.3932054,0.1060,0.1119,-0.0275,163.9605794,-56.3015840,31.8260227,-13.2960153,246.370,926.096,249.694,926.591,5108102171000167,51081b171-000167,171,51081b,167,13.663,0.044,24.9,1.075,12.760,0.065,16.7,0.311,0.678,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,89.772,00,0000,0000,56865.93808664,0,,0,,21.045,3.967,0.000,53.342,4.355,0.000,689.8500,27.7040,565.9800,33.8270,7.50,7.50,13.559,0.060,3,0.257,12.726,0.151,3,0.322,14.200,0.061,2,13.478,0.168,2,13.816,0.060,3,13.048,0.151,3,13.679,0.072,3,12.879,0.161,3,13.606,0.088,3,12.804,0.196,3,13.551,0.114,3,12.768,0.224,3,13.503,0.134,3,12.758,0.247,3,13.458,0.141,3,12.794,0.279,3,13.418,0.150,3,12.887,0.336,3,347100001351013102,0.086555,-45.7,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.338502,-23.2,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268782049666130,0.5623391662004960,-0.0068626749977036,100201003,8938079463443
34.2185738,-0.3931672,0.1190,0.1236,-0.0202,163.9604437,-56.3015911,31.8259728,-13.2959573,950.520,55.901,945.903,53.352,5109702170000215,51097b170-000215,170,51097b,215,13.759,0.047,23.3,1.385,12.740,0.059,18.4,0.593,0.940,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,17.767,00,0000,0000,56866.46424571,0,,0,,20.984,3.872,0.000,53.072,3.859,0.000,631.2500,27.0620,576.2700,31.3050,7.50,7.50,13.658,0.061,3,0.257,12.668,0.158,1,0.322,14.360,0.061,0,13.495,0.159,0,13.915,0.061,3,12.990,0.158,1,13.742,0.073,3,12.757,0.149,3,13.659,0.087,3,12.631,0.155,3,13.595,0.096,3,12.558,0.160,3,13.537,0.103,3,12.519,0.175,3,13.507,0.113,3,12.494,0.213,3,13.517,0.131,3,12.463,0.251,3,347100001351013102,0.189521,114.0,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.201035,30.3,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268788496472750,0.5623382263799270,-0.0068620082976279,100201003,8938079463454
34.2186384,-0.3932718,0.2038,0.1914,-0.0664,163.9606483,-56.3016383,31.8259990,-13.2960775,122.402,827.236,126.090,828.196,7333601139000148,73336a139-000148,139,73336a,148,13.693,0.067,16.2,1.208,12.943,0.147,7.4,1.034,1.071,1,0,0.00000,0.00000,0000,0000,3,AB,0,10,1.0,39.474,11,0000,0000,57596.15404159,0,,0,,149.824,9.121,0.000,474.429,15.088,0.000,672.2700,41.3880,479.0800,64.6570,7.50,7.50,13.535,0.165,0,0.260,12.798,0.394,2,0.326,14.264,0.172,0,13.626,0.447,0,13.795,0.165,0,13.124,0.394,2,13.581,0.175,2,12.821,0.385,2,13.452,0.189,2,12.571,0.387,2,13.332,0.200,2,12.401,0.399,2,13.225,0.213,3,12.304,0.437,3,13.143,0.234,3,12.251,0.496,3,13.073,0.256,3,11.472,,32,347100001351013102,0.305353,-11.2,1,13.641,0.025,12.737,0.026,9.785,0.043,7.656,0.157,1331029283,0.565472,-13.4,1,,16.481,0.1074,15.760,0.1470,15.077,0.1198,0.8268782052598890,0.5623391516254250,-0.0068638338690321,100201003,8938079463440
