source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05933b116,55375.82398110,12.131,0.029,3.828,11.108,0.028,2.913,8.463,0.042,1.196,6.060,0.129,1.047,1.0,132,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05932a091,55375.75776550,12.127,0.027,3.913,11.085,0.028,3.346,8.554,0.047,1.067,5.923,0.088,1.141,1.0,112,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05940a091,55376.02237310,12.133,0.024,3.799,11.111,0.027,2.861,8.574,0.053,1.086,6.148,0.123,1.064,1.0,74,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05944a091,55376.15467690,12.125,0.027,3.943,11.132,0.027,2.545,8.539,0.047,1.062,6.101,0.103,1.049,1.0,52,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11334a190,55554.44045850,12.420,0.039,4.361,11.303,0.032,2.358,,,,,,,1.0,90,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11338a190,55554.57276280,12.315,0.033,2.975,11.391,0.034,3.554,,,,,,,1.0,58,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11342a190,55554.70506720,12.407,0.033,4.132,11.363,0.034,3.098,,,,,,,1.0,41,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11345a166,55554.77115580,12.354,0.031,3.361,11.311,0.027,2.434,,,,,,,1.0,31,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11346a189,55554.83724430,12.381,0.036,3.725,11.330,0.034,2.650,,,,,,,1.0,29,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11349a166,55554.90346010,12.431,0.036,4.561,11.270,0.030,2.108,,,,,,,1.0,32,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11350a190,55554.96954870,12.353,0.030,3.354,11.325,0.030,2.581,,,,,,,1.0,41,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11353a165,55555.03563720,12.361,0.033,3.449,11.305,0.033,2.376,,,,,,,1.0,55,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11357a166,55555.16794150,12.350,0.029,3.315,11.345,0.029,2.843,,,,,,,1.0,89,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11361a166,55555.30024600,12.399,0.034,3.999,11.353,0.036,2.954,,,,,,,1.0,131,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11365a165,55555.43242300,12.336,0.041,3.160,11.289,0.031,2.234,,,,,,,1.0,92,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,11365a167,55555.43255030,12.419,0.032,4.340,11.277,0.035,2.147,,,,,,,1.0,92,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05913b116,55375.16246180,12.099,0.024,4.543,11.164,0.027,2.199,8.572,0.046,1.084,6.024,0.140,1.056,1.0,51,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05917b116,55375.29476610,12.137,0.026,3.728,11.148,0.030,2.347,8.604,0.046,1.145,6.153,0.120,1.067,1.0,33,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05921b116,55375.42706980,12.134,0.028,3.775,11.084,0.028,3.375,8.525,0.044,1.067,5.840,0.124,1.290,1.0,34,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05924a090,55375.49315800,12.152,0.032,3.462,11.149,0.029,2.341,8.563,0.047,1.074,6.190,0.110,1.089,1.0,43,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05925b116,55375.55937360,12.181,0.027,3.090,11.093,0.026,3.178,8.510,0.046,1.082,5.995,0.096,1.071,1.0,57,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05928a091,55375.62546180,12.154,0.025,3.439,11.133,0.025,2.528,,,,,,,1.0,73,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05929b116,55375.69167730,12.165,0.027,3.280,11.134,0.036,2.506,8.557,0.049,1.068,6.291,0.126,1.183,1.0,91,0000,0.104094,103.398853
3566p242_ac51-045661,356.8697309,24.4626933,23h47m28.74s,24d27m45.70s,1,0,0000,05936a091,55375.89006930,12.143,0.032,3.622,11.120,0.026,2.710,8.494,0.043,1.109,5.958,0.095,1.100,1.0,112,0000,0.104094,103.398853
