cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970008,02249a080,55253.93213390,14.507,0.073,1.18,13.484,0.087,1.1,11.131,0.399,1.03,7.490,,0.825,249.5,16.78,255,20.42,559.2,205.8,33.34,63.31,695.105,28.181,691.834,26.613,690.532,27.376,347.176,16.813,1.0,3,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970009,02249a081,55253.93226120,14.490,0.072,1.19,13.603,0.099,0.984,11.291,0.463,1.06,7.732,0.464,0.8,253.5,16.83,228.4,20.76,482.7,205.9,128,54.72,691.129,943.814,691.832,942.378,695.502,938.621,345.212,469.721,1.0,4,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970010,02250a105,55253.99834960,14.486,0.073,1.19,13.448,0.089,1.16,10.657,0.260,1.03,7.101,,0.787,254.5,17.01,263.5,21.52,865.4,207,83.71,72.62,112.688,393.756,114.363,394.828,111.670,396.247,56.254,197.730,1.0,18,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970011,02253a081,55254.06456540,14.595,0.078,1.23,13.588,0.102,0.99,11.063,0.396,1.02,7.455,,0.836,230.2,16.52,231.7,21.67,595.4,217.2,25.85,69.71,525.703,763.572,526.551,762.791,528.244,760.649,262.516,380.572,1.0,38,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970012,02257a081,55254.19686940,14.512,0.070,1.18,13.465,0.087,1.13,10.935,0.370,1.01,7.280,,0.788,248.5,15.91,259.3,20.72,670,228,79.52,57.28,360.184,587.908,361.248,587.844,361.014,587.267,179.823,293.704,1.0,80,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970013,02261a081,55254.32917350,14.415,0.065,1.31,13.530,0.096,1.03,10.691,0.258,1.03,7.308,,0.788,271.6,16.21,244.4,21.61,838.8,199.7,78.3,55.46,198.002,419.272,199.297,419.951,197.222,420.884,98.846,210.333,1.0,113,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970014,02265a080,55254.46147760,14.593,0.074,1.22,13.692,0.119,0.993,10.099,0.147,1.52,7.637,0.401,0.81,230.6,15.63,210.4,23.02,1447,195.6,139.7,51.56,37.967,245.149,39.402,246.588,35.550,249.083,19.001,124.287,1.0,72,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970015,08009b199,55444.49341650,14.522,0.081,1.17,13.613,0.109,0.982,,,,,,,246.1,18.31,226.4,22.73,,,,,100.017,715.438,103.175,716.480,,,,,1.0,20,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970016,08013b199,55444.62572060,14.694,0.106,1.44,13.569,0.102,1,,,,,,,210.1,20.59,235.7,22.18,,,,,261.921,868.540,264.794,868.864,,,,,1.0,61,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970017,08017b198,55444.75789730,14.574,0.083,1.2,13.771,0.126,1.05,,,,,,,234.6,17.94,195.7,22.8,,,,,424.759,127.943,423.520,127.604,,,,,1.0,102,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970018,08021b198,55444.89020150,14.510,0.083,1.18,13.625,0.188,0.98,,,,,,,249,19.05,223.9,38.76,,,,,583.290,295.560,581.813,294.532,,,,,1.0,94,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970019,08024a174,55444.95641730,14.432,0.076,1.27,13.768,0.115,1.05,,,,,,,267.3,18.78,196.3,20.7,,,,,165.817,832.847,169.094,833.579,,,,,1.0,72,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970020,08025b198,55445.02250570,14.630,0.084,1.28,13.568,0.106,1,,,,,,,222.8,17.31,235.9,23.07,,,,,743.081,458.935,741.315,457.207,,,,,1.0,52,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970021,08028a174,55445.08872140,14.728,0.096,1.54,13.671,0.115,0.985,,,,,,,203.6,18,214.7,22.8,,,,,324.417,920.620,327.152,920.688,,,,,1.0,32,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970022,08030a122,55445.15480980,14.456,0.080,1.22,13.622,0.107,0.98,,,,,,,261.7,19.33,224.4,22.14,,,,,904.665,549.801,902.298,547.378,,,,,1.0,20,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970023,08032a173,55445.22089820,14.614,0.087,1.26,13.705,0.112,0.999,,,,,,,226.2,18.04,208,21.41,,,,,488.718,166.840,487.271,166.222,,,,,1.0,13,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970024,08036a173,55445.35320230,14.372,0.074,1.45,13.570,0.105,0.999,,,,,,,282.6,19.23,235.5,22.67,,,,,647.851,342.686,646.176,341.375,,,,,1.0,0,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970025,08040a174,55445.48550650,14.527,0.078,1.17,13.705,0.131,0.999,,,,,,,245,17.6,207.9,25.18,,,,,807.653,502.299,805.676,500.291,,,,,1.0,19,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970026,08044a174,55445.61781060,14.582,0.082,1.21,13.605,0.114,0.984,,,,,,,232.9,17.64,228.1,23.85,,,,,971.144,657.393,968.875,654.698,,,,,1.0,58,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970001,02109a077,55249.30072970,14.438,0.069,1.26,13.819,0.127,1.11,11.067,0.449,1.03,7.434,0.411,0.85,266.1,16.96,187.3,21.87,593.2,245.4,168.4,63.72,743.342,844.096,743.279,842.403,746.711,838.866,371.286,420.368,1.0,110,0011,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
