ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
152.9707790,54.7018004,10h11m52.99s,54d42m06.48s,0.2905,0.3122,-0.0302,14.963,0.106,10.3,1.232,13.948,0.152,7.1,1.152,1,0,0000,AB,10,57332.73039267,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.003074,304.69264
152.9707868,54.7018049,10h11m52.99s,54d42m06.50s,0.2901,0.3230,0.1145,15.152,0.107,10.1,1.182,14.900,0.437,2.5,0.349,1,0,0000,AC,10,58060.76977038,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.022586,38.725748
152.9707838,54.7017883,10h11m52.99s,54d42m06.44s,0.1361,0.1497,0.0370,14.251,0.056,19.5,1.241,13.598,0.097,11.2,1.701,1,0,0000,AA,10,59887.95285388,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.04281,169.370826
152.9707732,54.7017871,10h11m52.99s,54d42m06.43s,0.2767,0.2995,0.0482,15.059,0.095,11.4,0.494,15.046,0.431,2.5,0.451,1,0,0000,AC,10,58061.35896315,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.0485,196.940406
152.9707795,54.7018146,10h11m52.99s,54d42m06.53s,0.1995,0.2120,0.0128,14.513,0.069,15.7,1.173,13.881,0.160,6.8,0.451,1,0,0000,AB,10,59677.89505444,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.052611,358.866336
152.9707577,54.7018076,10h11m52.98s,54d42m06.51s,0.3336,0.3681,0.0633,14.992,0.113,9.6,0.698,14.702,0.234,4.6,0.472,1,0,0000,BB,10,56967.54233836,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.053854,300.532253
152.9707649,54.7018124,10h11m52.98s,54d42m06.52s,0.2841,0.3211,-0.0758,15.123,0.102,10.6,1.089,14.673,0.235,4.6,1.025,1,0,0000,AB,10,57696.30811098,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.054551,324.867866
152.9708034,54.7018115,10h11m52.99s,54d42m06.52s,0.1892,0.2118,-0.0529,14.620,0.072,15.1,0.855,13.888,0.141,7.7,0.852,1,0,0000,AB,10,59678.61324078,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.063883,49.618426
152.9707538,54.7018110,10h11m52.98s,54d42m06.52s,0.2099,0.2584,0.0954,14.640,0.079,13.7,0.970,14.209,0.272,4.0,0.611,1,0,0000,AB,10,59314.00483763,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.067339,306.00182
152.9707507,54.7017901,10h11m52.98s,54d42m06.44s,0.1775,0.2044,-0.0475,14.497,0.066,16.5,1.000,13.945,0.124,8.7,0.583,1,0,0000,AB,10,59678.28674613,1531154501351046001,14.081,0.027,12.949,0.026,9.727,0.044,7.270,0.100,562580109,16.577,0.1203,15.717,0.0995,14.600,0.0801,0.070626,239.683297
