cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530003,05294a152,55354.69408520,13.662,0.046,2.028,13.246,0.077,1.067,11.049,0.455,1.113,7.736,,1.094,543.7030,22.9780,317.3550,22.6170,602.9770,252.9530,-4.0450,63.7470,530.072,548.753,529.960,547.950,530.490,546.797,264.684,274.308,1.0,30,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530002,05290a152,55354.56178150,13.642,0.045,2.104,13.439,0.108,1.098,11.174,0.484,1.118,7.649,0.449,1.104,553.5940,23.0470,265.6910,26.3100,537.2850,239.3710,138.1500,57.0760,708.281,501.176,706.879,499.595,708.207,497.857,353.710,250.734,1.0,49,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530005,05301a127,55354.89247730,13.664,0.050,2.019,13.269,0.076,1.044,10.618,,1.140,7.126,,1.060,542.3650,24.7410,310.7800,21.6240,423.5980,236.7670,106.7270,58.4420,836.882,169.821,833.285,167.669,833.557,167.036,417.939,86.825,1.0,15,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530006,05302a152,55354.95869280,13.681,0.049,1.977,13.305,0.092,1.024,11.190,0.497,1.118,7.324,,1.039,534.2530,24.2390,300.7060,25.3560,529.6350,242.5420,56.6290,64.8790,169.625,642.256,172.048,643.015,170.956,643.011,84.628,320.586,1.0,25,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530007,05305a127,55355.02478110,13.608,0.043,2.296,13.417,0.106,1.071,10.756,0.334,1.136,7.257,,1.043,571.1030,22.8710,271.2680,26.4500,790.1310,243.4150,83.1080,57.5360,656.715,200.451,654.381,199.091,653.767,199.117,327.971,102.027,1.0,39,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530008,05309a084,55355.15708490,13.680,0.046,1.977,13.127,0.078,1.339,11.019,,1.285,7.827,,1.248,534.3670,22.6360,354.1580,25.4020,136.0700,242.1070,-68.2690,58.6410,481.833,255.074,480.785,254.492,479.440,255.020,240.619,129.090,1.0,77,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530009,05313a127,55355.28938870,13.672,0.042,1.996,13.357,0.076,1.027,10.507,0.276,1.221,7.734,0.528,1.087,538.3000,20.7640,286.6640,19.9820,993.5110,252.7280,127.7810,62.2000,299.621,290.178,299.792,290.410,297.588,291.551,149.616,146.486,1.0,120,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530010,05317a071,55355.42169240,13.662,0.046,2.027,13.265,0.077,1.047,10.472,0.254,1.240,7.295,,1.039,543.5870,22.9850,311.8200,22.0810,1025.9180,239.9710,58.4990,66.4500,127.019,343.501,128.413,344.511,125.518,346.112,63.425,172.874,1.0,90,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530011,11013b148,55543.82172590,13.747,0.054,1.958,13.311,0.086,1.022,,,,,,,502.3980,24.9220,299.0740,23.7130,,,,,79.952,157.402,80.773,158.630,,,,,1.0,123,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
1731104501351005553,1731p045_ac51-005553,173.1214269,3.9580996,1,0,0000,1,1731104510055530012,11017b154,55543.95403030,13.809,0.051,2.135,13.294,0.085,1.028,,,,,,,474.8110,22.2600,303.6020,23.6750,,,,,264.861,426.541,265.780,426.906,,,,,0.5,80,0000,1033,-0.9904341647061090,0.1194799037605420,0.0690269366282745,220002232,15404904430307
