ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
173.1214872,3.9580967,0.1016,0.1000,-0.0295,260.3588742,60.1320614,172.1202678,0.9055957,404.224,518.621,404.923,518.442,4429601125000149,44296a125-000149,125,44296a,149,13.307,0.037,29.7,0.888,12.839,0.086,12.6,0.656,0.747,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,39.911,00,0000,0000,56642.55929407,0,,0,,25.448,3.743,0.000,67.896,5.216,0.000,961.5000,32.3940,532.9800,42.1550,7.50,7.50,13.281,0.071,0,0.257,12.774,0.146,2,0.322,13.957,0.071,0,13.577,0.180,2,13.538,0.071,0,13.096,0.146,2,13.368,0.075,2,12.922,0.154,2,13.284,0.076,2,12.871,0.174,2,13.245,0.078,2,12.877,0.215,2,13.237,0.084,2,12.904,0.294,2,13.245,0.093,2,12.943,0.380,2,13.241,0.103,2,12.985,0.441,2,1731104501351005553,0.216814,-87.2,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.105110,-14.2,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904342939188370,0.1194788618127720,0.0690268861344521,220002232,15404904430176
173.1214867,3.9581010,0.0895,0.1125,0.0455,260.3588682,60.1320645,172.1202656,0.9055994,500.006,65.720,498.274,65.161,4429702149000143,44297b149-000143,149,44297b,143,13.307,0.042,25.7,1.102,12.778,0.059,18.5,0.832,0.912,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,59.624,00,0000,0000,56642.62512784,0,,0,,25.566,4.129,0.000,67.601,5.635,0.000,961.6900,37.4480,563.7700,30.5290,7.50,7.50,13.308,0.056,3,0.257,12.758,0.099,3,0.322,13.978,0.058,2,13.534,0.097,2,13.565,0.056,3,13.080,0.099,3,13.400,0.065,3,12.905,0.111,3,13.308,0.079,3,12.832,0.124,3,13.239,0.107,3,12.789,0.139,3,13.200,0.132,3,12.749,0.157,3,13.184,0.144,3,12.730,0.182,3,13.184,0.159,3,12.743,0.209,3,1731104501351005553,0.214826,-91.3,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.089688,-15.6,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904342877330620,0.1194788698355120,0.0690269610046025,220002232,15404904430176
173.1214570,3.9580807,0.0942,0.0965,0.0300,260.3588453,60.1320304,172.1202464,0.9055691,671.315,1005.772,672.652,1004.438,4430102150000217,44301b150-000217,150,44301b,217,13.332,0.045,24.3,1.971,12.817,0.060,18.1,1.350,1.596,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,102.125,00,0000,0000,56642.75705005,0,,0,,23.311,3.647,0.000,67.719,4.855,0.000,939.7800,38.6620,544.1000,30.1090,7.50,7.50,13.437,0.057,3,0.257,12.755,0.124,3,0.322,14.123,0.074,2,13.507,0.118,0,13.694,0.057,3,13.077,0.124,3,13.532,0.057,3,12.928,0.151,3,13.444,0.061,3,12.889,0.201,3,13.383,0.066,3,12.906,0.246,3,13.345,0.074,3,12.936,0.295,3,13.338,0.084,3,12.962,0.340,3,13.355,0.099,3,12.987,0.383,3,1731104501351005553,0.127732,-57.8,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.179602,27.4,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904342500798150,0.1194793861687860,0.0690266075478426,220002232,15404904430304
173.1214214,3.9580502,0.1079,0.1084,0.0215,260.3588254,60.1319847,172.1202258,0.9055270,757.156,558.866,755.959,557.085,4430401125000182,44304a125-000182,125,44304a,182,13.395,0.038,28.6,2.614,12.994,0.094,11.6,0.833,1.727,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,122.355,00,0000,0000,56642.82288385,0,,0,,25.241,3.793,0.000,67.626,6.243,0.000,886.6000,31.0480,462.3600,39.8500,7.50,7.50,13.253,0.066,2,0.257,13.033,0.392,2,0.322,13.943,0.083,0,13.742,0.454,2,13.510,0.066,2,13.355,0.392,2,13.329,0.064,2,13.200,0.370,2,13.226,0.065,2,13.126,0.375,2,13.153,0.069,2,13.098,0.409,2,13.107,0.074,2,13.121,0.467,2,13.083,0.081,2,12.426,,32,13.065,0.088,3,12.423,,32,1731104501351005553,0.178934,6.3,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.341766,38.0,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904342123226320,0.1194800059631470,0.0690260764921033,220002232,15404904430304
173.1214108,3.9580710,0.1093,0.1068,-0.0227,260.3587833,60.1319949,172.1202079,0.9055420,582.600,542.269,582.369,541.291,4430001125000171,44300a125-000171,125,44300a,171,13.353,0.040,27.1,1.190,12.772,0.079,13.8,1.037,1.056,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,80.839,00,0000,0000,56642.69108896,0,,0,,24.917,3.825,0.000,68.586,6.226,0.000,921.5200,34.0480,567.0800,41.1070,7.50,7.50,13.292,0.068,2,0.257,12.593,0.116,2,0.322,13.990,0.072,2,13.379,0.136,2,13.549,0.068,2,12.915,0.116,2,13.360,0.066,2,12.725,0.126,2,13.259,0.067,2,12.653,0.145,2,13.190,0.072,2,12.621,0.167,2,13.140,0.079,3,12.601,0.192,3,13.095,0.105,3,12.611,0.225,3,13.050,0.141,3,12.678,0.278,3,1731104501351005553,0.118085,29.3,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.315526,52.0,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904341653400980,0.1194801861971760,0.0690264386547080,220002232,15404904430307
173.1214323,3.9580901,0.1056,0.1010,0.0440,260.3587945,60.1320230,172.1202201,0.9055680,317.263,955.089,320.345,955.242,4429302150000160,44293b150-000160,150,44293b,160,13.369,0.040,27.1,1.898,12.776,0.059,18.4,0.830,1.280,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,24.502,00,0000,0000,56642.49346025,0,,0,,25.855,4.263,0.000,68.497,4.748,0.000,908.3200,33.5100,564.8100,30.7010,7.50,7.50,13.246,0.060,3,0.257,12.718,0.106,1,0.322,13.894,0.062,1,13.503,0.108,1,13.503,0.060,3,13.040,0.106,1,13.355,0.065,3,12.851,0.114,3,13.279,0.067,3,12.759,0.123,3,13.221,0.072,3,12.713,0.138,3,13.187,0.081,3,12.696,0.157,3,13.183,0.092,3,12.705,0.185,3,13.186,0.103,3,12.773,0.236,3,1731104501351005553,0.039316,-29.6,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.212445,53.7,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904341873295270,0.1194798117850470,0.0690267712174763,220002232,15404904430307
173.1214861,3.9581205,0.0897,0.1052,-0.0264,260.3588436,60.1320797,172.1202574,0.9056171,146.755,10.390,146.725,11.425,4428902149000138,44289b149-000138,149,44289b,138,13.387,0.040,27.2,1.624,12.793,0.059,18.3,0.711,1.115,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,9.449,00,0000,0000,56642.36153806,0,,0,,26.556,4.238,0.000,67.261,4.812,0.000,893.2700,32.8930,555.9100,30.4420,7.50,7.50,13.292,0.060,0,0.257,12.870,0.121,0,0.322,13.965,0.056,0,13.617,0.114,0,13.549,0.060,0,13.192,0.121,0,13.394,0.074,2,13.044,0.136,0,13.321,0.085,2,12.993,0.152,2,13.265,0.091,2,12.956,0.166,2,13.227,0.097,2,12.909,0.179,2,13.201,0.107,3,12.882,0.195,3,13.181,0.124,3,12.885,0.217,3,1731104501351005553,0.225532,-109.5,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.027247,-53.5,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904342631583360,0.1194788773937310,0.0690273005320238,220002232,15404904430176
173.1215165,3.9581017,0.0902,0.0997,0.0180,260.3589149,60.1320830,172.1202927,0.9056118,143.098,924.242,147.029,925.178,4428902150000162,44289b150-000162,150,44289b,162,13.400,0.037,29.1,1.030,12.751,0.069,15.7,0.696,0.812,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,8.702,00,0000,0000,56642.36166537,0,,0,,26.535,4.687,0.000,68.148,5.676,0.000,882.6000,30.3330,577.9400,36.7310,7.50,7.50,13.222,0.047,2,0.257,12.768,0.098,2,0.322,13.898,0.047,0,13.528,0.119,2,13.479,0.047,2,13.090,0.098,2,13.303,0.057,2,12.933,0.103,2,13.208,0.062,2,12.874,0.119,2,13.161,0.067,3,12.826,0.140,3,13.146,0.075,3,12.794,0.162,3,13.122,0.084,3,12.789,0.192,3,13.084,0.095,3,12.809,0.226,3,1731104501351005553,0.321879,-91.3,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.155626,-57.4,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904343490376050,0.1194783546015830,0.0690269731927665,220002232,15404904430176
173.1214704,3.9580586,0.0829,0.0938,0.0246,260.3588935,60.1320209,172.1202674,0.9055540,497.114,981.970,499.289,981.417,4429702150000161,44297b150-000161,150,44297b,161,13.331,0.035,31.0,1.518,12.733,0.073,14.9,0.601,1.028,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,59.395,00,0000,0010,56642.62525515,0,,0,,25.422,4.380,0.000,67.572,5.271,0.000,940.6000,30.3720,587.9100,39.5340,7.50,7.50,13.297,0.048,0,0.257,12.873,0.125,2,0.322,13.928,0.050,0,13.634,0.135,2,13.554,0.048,0,13.195,0.125,2,13.422,0.051,0,13.033,0.138,2,13.364,0.057,2,12.975,0.157,2,13.338,0.066,2,12.948,0.179,2,13.328,0.076,2,12.940,0.205,2,13.330,0.086,3,12.944,0.234,3,13.349,0.099,3,12.953,0.267,3,1731104501351005553,0.214924,-46.6,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.241514,8.2,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904343044560020,0.1194791577205490,0.0690262227500794,220002232,15404904430304
173.1214072,3.9580583,0.1043,0.1276,0.0287,260.3587929,60.1319826,172.1202096,0.9055289,846.752,117.383,843.115,115.265,4430502149000159,44305b149-000159,149,44305b,159,13.398,0.042,26.1,1.126,12.857,0.074,14.7,0.450,0.764,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,103.548,00,0000,0000,56642.88871762,0,,0,,28.051,5.251,0.000,67.348,4.984,0.000,884.8200,33.9030,524.3200,35.7750,7.50,7.50,13.395,0.080,2,0.257,12.866,0.134,2,0.322,14.041,0.098,2,13.662,0.153,2,13.652,0.080,2,13.188,0.134,2,13.523,0.080,3,12.989,0.143,3,13.484,0.086,3,12.892,0.159,3,13.464,0.093,3,12.826,0.177,3,13.447,0.103,3,12.773,0.218,3,13.448,0.118,3,12.752,0.301,3,13.472,0.139,3,12.767,0.387,3,1731104501351005553,0.164655,25.4,1,13.719,0.026,13.326,0.035,11.022,0.149,8.474,0.389,869923022,0.354988,47.4,1,,15.676,0.0938,14.891,0.1010,14.421,0.1122,-0.9904341730229620,0.1194802502604270,0.0690262175265803,220002232,15404904430304
