source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11357b136,55555.19468220,14.534,0.081,1.238,13.718,0.162,1.006,,,,,,,1.0,33,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05733a097,55369.18243460,14.503,0.076,1.215,13.477,0.094,0.959,,,,,,,1.0,87,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11376a111,55555.78986090,14.381,0.072,1.296,13.875,0.193,1.190,,,,,,,0.5,119,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05741a097,55369.44704220,14.320,0.063,1.465,13.479,0.106,0.958,11.016,0.461,0.887,7.161,,0.647,1.0,84,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11345b136,55554.79789640,14.462,0.084,1.209,13.681,0.115,0.977,,,,,,,0.5,122,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11349b135,55554.93007340,14.513,0.075,1.221,13.646,0.115,0.955,,,,,,,1.0,91,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11353b135,55555.06237780,14.409,0.070,1.250,13.732,0.181,1.019,,,,,,,1.0,53,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05737a146,55369.31473840,14.648,0.082,1.448,13.544,0.102,0.934,10.683,0.362,0.874,7.368,,0.660,1.0,126,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11360a110,55555.26077080,14.464,0.078,1.208,13.557,0.102,0.933,,,,,,,0.5,24,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11361b135,55555.32685930,14.681,0.098,1.539,13.763,0.140,1.050,,,,,,,0.5,17,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11364a111,55555.39307520,14.555,0.079,1.263,13.709,0.118,0.999,,,,,,,0.5,18,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,11372a110,55555.65755660,14.540,0.114,1.245,13.541,0.105,0.934,,,,,,,0.5,77,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05722a170,55368.85173880,14.415,0.075,1.241,13.362,0.103,1.098,,,,,,,1.0,19,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05718a170,55368.71943500,14.517,0.077,1.224,13.376,0.101,1.073,,,,,,,1.0,30,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05714a170,55368.58713120,14.386,0.066,1.286,13.413,0.120,1.020,10.533,,1.252,7.132,,0.673,1.0,47,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05711a088,55368.45482750,14.458,0.074,1.210,13.580,0.113,0.934,10.377,0.250,0.958,7.812,,0.643,1.0,82,0000,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05643a085,55366.20579010,14.411,0.072,1.246,,,,,,,,,,1.0,96,1111,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05725a146,55368.91782700,14.499,0.080,1.213,13.773,0.153,1.061,,,,,,,1.0,22,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05731a093,55369.11634640,14.356,0.084,1.353,13.406,0.098,1.029,,,,,,,1.0,67,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05729a147,55369.05025810,14.492,0.073,1.210,13.655,0.131,0.960,,,,,,,1.0,49,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05729a146,55369.05013080,14.406,0.076,1.254,13.503,0.115,0.945,,,,,,,1.0,48,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05726a170,55368.98404260,14.536,0.081,1.241,13.481,0.113,0.956,,,,,,,1.0,34,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05725a147,55368.91795440,14.518,0.080,1.224,13.391,0.114,1.050,,,,,,,1.0,23,0011,0.194827,259.890102
1884p090_ac51-016486,188.4963261,8.7032205,12h33m59.12s,08d42m11.59s,1,0,0000,05638a168,55366.07348630,14.432,0.071,1.225,,,,10.827,0.367,0.871,7.801,,0.702,1.0,55,1111,0.194827,259.890102
