ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
74.7891424,4.9749974,04h59m09.39s,04d58m29.99s,0.0371,0.0384,0.0039,10.776,0.019,57.3,93.080,10.479,0.020,54.2,35.470,1,0,0000,AA,0,59622.57174380,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.045485,101.885586
74.7891674,4.9750051,04h59m09.40s,04d58m30.02s,0.0378,0.0338,-0.0042,10.891,0.018,59.1,84.380,10.697,0.020,53.1,17.300,1,0,0000,AA,10,57077.05521785,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.135377,82.205828
74.7891554,4.9750279,04h59m09.40s,04d58m30.10s,0.0360,0.0330,-0.0091,10.834,0.017,62.5,85.390,10.746,0.020,53.6,21.050,1,0,0000,AA,10,56717.82294862,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.135587,42.20691
74.7891130,4.9750339,04h59m09.39s,04d58m30.12s,0.0353,0.0324,-0.0091,10.890,0.015,71.8,71.540,10.738,0.020,55.5,21.400,1,0,0000,AA,10,56908.43279971,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.13642,333.453944
74.7891566,4.9749729,04h59m09.40s,04d58m29.90s,0.0418,0.0435,-0.0161,11.006,0.022,49.2,80.450,10.898,0.027,39.8,32.490,1,0,0000,AA,0,59622.44109494,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.136455,135.641571
74.7891553,4.9750299,04h59m09.40s,04d58m30.11s,0.0345,0.0339,-0.0133,10.917,0.017,65.4,94.080,10.751,0.019,56.1,31.070,1,0,0000,AA,5,57076.20128840,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.140782,40.129751
74.7891015,4.9750282,04h59m09.38s,04d58m30.10s,0.0400,0.0425,-0.0136,10.782,0.021,52.2,66.710,10.685,0.022,49.1,15.360,1,0,0000,AA,10,57637.75496922,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.144066,314.804979
74.7891600,4.9750319,04h59m09.40s,04d58m30.11s,0.0378,0.0326,0.0065,10.675,0.018,59.7,67.440,10.274,0.022,48.6,12.190,1,0,0000,AA,10,59619.63303469,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.157354,43.13396
74.7891348,4.9750441,04h59m09.39s,04d58m30.16s,0.0381,0.0371,0.0093,10.599,0.020,55.5,52.750,10.290,0.019,58.1,14.880,1,0,0000,AA,10,58733.38228626,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.159679,6.188601
74.7891595,4.9750333,04h59m09.40s,04d58m30.12s,0.0379,0.0349,-0.0043,10.582,0.019,58.0,53.170,10.279,0.021,50.6,9.041,1,0,0000,AA,10,59619.76368359,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.159886,41.429961
74.7891058,4.9750398,04h59m09.39s,04d58m30.14s,0.0406,0.0391,0.0102,10.866,0.020,54.9,64.140,10.686,0.026,42.2,16.690,1,0,0000,AA,5,57802.90966755,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.167503,328.794638
74.7891049,4.9750419,04h59m09.39s,04d58m30.15s,0.0355,0.0371,-0.0091,10.697,0.017,64.1,56.440,10.345,0.022,50.0,13.020,1,0,0000,AA,5,59622.24512155,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.175652,329.171734
74.7891299,4.9750525,04h59m09.39s,04d58m30.19s,0.0338,0.0338,-0.0084,10.673,0.018,60.6,55.580,10.314,0.020,54.1,13.760,1,0,0000,AA,10,59619.82900808,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.188994,359.891276
74.7891612,4.9750471,04h59m09.40s,04d58m30.17s,0.0362,0.0373,-0.0061,10.906,0.019,57.9,83.240,10.738,0.022,50.4,21.370,1,0,0000,AA,10,57273.77551640,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.203159,33.421808
74.7891839,4.9750277,04h59m09.40s,04d58m30.10s,0.0362,0.0343,0.0034,10.748,0.019,58.6,56.670,10.527,0.018,58.8,17.970,1,0,0000,AA,10,59255.55147252,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.217509,62.712685
