cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160021,09029b116,55478.21349400,10.208,0.021,2.194,9.410,0.021,5.041,,,,,,,13085.1113,249.5180,10863.4873,205.2050,,,,,989.340,542.598,986.396,539.822,,,,,1.0,63,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160022,09032a091,55478.27958240,10.216,0.023,2.212,9.249,0.020,2.062,,,,,,,12991.7959,272.7340,12599.4580,231.7470,,,,,545.329,212.381,543.719,211.517,,,,,1.0,53,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160019,09026a039,55478.08119010,10.235,0.026,2.301,9.215,0.018,2.059,,,,,,,12759.1309,306.0160,13006.0361,214.2180,,,,,816.007,285.314,813.030,283.267,,,,,1.0,79,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160018,09024a092,55478.01510180,10.229,0.025,2.263,9.261,0.022,2.120,,,,,,,12840.3535,296.7200,12466.0029,248.4900,,,,,196.051,615.643,198.212,616.288,,,,,1.0,90,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160017,09021b117,55477.94901350,10.166,0.023,2.278,9.214,0.020,2.062,,,,,,,13602.6680,292.5110,13016.0400,238.2040,,,,,636.538,947.588,637.597,946.392,,,,,1.0,105,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160016,09021b116,55477.94888610,10.231,0.026,2.277,9.213,0.022,2.064,,,,,,,12807.3291,303.0660,13023.1436,258.1280,,,,,641.354,33.117,638.415,31.800,,,,,1.0,105,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160015,09020a091,55477.88279780,10.219,0.022,2.220,9.251,0.020,2.070,,,,,,,12959.7588,267.8490,12575.2480,231.2070,,,,,23.837,359.945,25.871,361.424,,,,,1.0,121,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160014,09017b116,55477.81670940,10.199,0.024,2.185,9.288,0.023,2.363,,,,,,,13193.0146,287.9810,12159.3428,253.4830,,,,,466.763,688.435,467.646,687.903,,,,,1.0,128,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160013,09013b116,55477.68440540,10.233,0.021,2.289,9.215,0.023,2.056,,,,,,,12782.8535,250.2680,12996.5908,269.6600,,,,,292.861,410.141,293.579,410.391,,,,,1.0,95,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
1102143901351039016,1102p439_ac51-039016,109.5025069,44.0908778,1,0,0000,1,1102143910390160012,09009b116,55477.55210150,10.249,0.023,2.401,9.224,0.020,2.033,,,,,,,12596.3965,271.4250,12890.9160,240.8290,,,,,118.925,153.930,119.498,154.973,,,,,1.0,67,0000,1038,-0.2397820888227090,0.6770295875981190,0.6957984531432500,223033002,16282369424997
