source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06902a181,55407.87994130,16.586,,0.959,15.480,0.501,1.081,11.458,,0.914,7.860,,0.956,1.0,10,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06905a157,55407.94602960,16.948,0.480,0.977,15.728,,1.009,11.368,,0.916,7.896,,0.980,1.0,17,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06905a158,55407.94615690,16.620,,0.971,15.682,,0.980,10.504,,0.986,7.281,,1.050,1.0,18,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06906a181,55408.01224520,16.424,,0.954,15.143,,0.959,11.243,,0.903,7.566,,0.969,1.0,32,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06909a091,55408.07833330,16.557,,0.969,15.712,,0.975,10.968,0.354,1.100,7.461,,0.994,1.0,49,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06913a118,55408.21063710,16.816,,0.994,15.326,0.392,1.142,11.271,0.480,0.991,7.797,,1.134,1.0,92,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06917a157,55408.34294090,17.077,,1.038,15.202,,0.951,11.117,,0.895,7.534,,0.970,1.0,114,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,01437b125,55227.10407980,16.412,0.353,1.152,15.096,,0.946,11.048,,0.900,7.873,,1.028,1.0,37,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,01441b124,55227.23638400,17.048,,1.053,15.684,,1.004,11.300,,0.975,7.810,,0.997,1.0,21,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,01445b124,55227.36868830,16.532,,0.960,15.124,,0.953,11.347,,0.941,7.598,,0.976,1.0,10,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,01448a045,55227.43490420,16.628,0.448,1.050,14.952,,1.003,11.065,,0.895,7.350,,1.021,1.0,16,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06901a158,55407.81385310,16.894,0.500,0.985,15.424,,0.942,11.223,,0.952,7.905,,0.955,1.0,9,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06898a181,55407.74763750,16.590,,0.963,15.297,,0.943,10.776,,0.923,7.427,,1.033,1.0,18,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06897a158,55407.68154930,16.524,0.334,1.092,15.162,,0.970,,,,7.645,,0.954,1.0,26,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06894a181,55407.61533370,16.755,0.426,1.013,15.669,,1.011,11.235,,0.900,7.850,,0.957,0.5,34,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06890a181,55407.48302990,16.599,0.341,1.061,15.722,,1.085,11.152,,0.896,7.609,,0.974,1.0,69,0000,0.019919,49.382887
2253p015_ac51-044194,225.2169242,1.9151136,15h00m52.06s,01d54m54.41s,1,0,0000,06886a181,55407.35072620,16.642,0.423,1.045,15.343,,0.945,11.075,,0.895,7.907,,0.995,1.0,111,0000,0.019919,49.382887
