ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
242.4674606,49.0337805,0.0366,0.0426,-0.0110,76.6995091,46.2547534,217.5578128,67.5241641,403.762,506.785,404.419,506.584,4566502043000062,45665b043-000062,43,45665b,62,11.522,0.018,62.0,14.080,10.986,0.021,51.6,4.853,8.891,1,0,0.00000,0.00000,0000,0000,3,AA,0,0,0.0,92.685,00,0000,0000,56687.67901270,0,,0,,13.546,3.693,0.000,37.475,5.044,0.000,5003.1001,80.7380,2963.0000,57.3810,7.50,7.50,11.482,0.012,2,0.257,10.952,0.026,2,0.322,12.193,0.015,0,11.783,0.030,0,11.739,0.012,2,11.274,0.026,2,11.553,0.012,2,11.053,0.025,2,11.467,0.012,2,10.954,0.027,2,11.421,0.014,3,10.907,0.030,3,11.391,0.015,19,10.884,0.035,3,11.367,0.016,19,10.872,0.045,3,11.341,0.018,19,10.860,0.055,3,2429148401351059600,0.609078,170.6,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.220306,162.9,1,0.54,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030590507100930,-0.5813646589091970,0.7550962489339290,213212230,15284476912192
242.4674549,49.0337774,0.0355,0.0386,-0.0115,76.6995057,46.2547577,217.5578082,67.5241595,298.887,482.783,300.065,483.082,4567201018000062,45672a018-000062,18,45672a,62,11.464,0.017,65.6,4.604,10.927,0.022,49.9,0.839,2.639,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,127.855,00,0000,0000,56687.87664139,0,,0,,12.485,3.343,0.000,37.580,4.233,0.000,5277.7002,80.4840,3129.8999,62.7680,7.50,7.50,11.422,0.012,0,0.257,10.943,0.019,0,0.322,12.112,0.014,0,11.743,0.023,0,11.679,0.012,0,11.265,0.019,0,11.496,0.011,1,11.067,0.020,3,11.406,0.011,1,10.983,0.022,3,11.356,0.012,1,10.940,0.025,3,11.322,0.013,3,10.911,0.030,3,11.294,0.014,3,10.887,0.035,3,11.264,0.015,3,10.867,0.046,3,2429148401351059600,0.600464,169.1,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.214195,158.6,1,0.54,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030591274315910,-0.5813646649875230,0.7550962134618000,213212230,15284476912192
242.4675322,49.0337035,0.0421,0.0444,0.0169,76.6993865,46.2547226,217.5580174,67.5241191,674.661,85.379,672.010,83.913,4569201018000067,45692a018-000067,18,45692a,67,11.494,0.021,51.9,15.610,10.975,0.023,47.1,5.254,10.300,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,67.167,00,0000,0000,56688.53536095,0,,0,,11.480,3.766,0.000,36.813,3.995,0.000,5135.3999,99.0010,2994.8000,63.5820,7.50,7.50,11.503,0.014,2,0.257,10.916,0.026,2,0.322,12.205,0.016,2,11.730,0.034,2,11.760,0.014,2,11.238,0.026,2,11.570,0.019,2,11.030,0.024,2,11.481,0.026,3,10.939,0.025,3,11.432,0.029,3,10.898,0.027,3,11.399,0.030,3,10.878,0.030,3,11.369,0.030,3,10.864,0.033,3,11.337,0.031,3,10.851,0.035,3,2429148401351059600,0.330946,-167.9,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.123768,-57.4,1,0.58,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030587932855380,-0.5813659374797890,0.7550953678513460,213212230,15284476912193
242.4675510,49.0338174,0.0371,0.0405,-0.0089,76.6995445,46.2546881,217.5579023,67.5242249,253.634,898.842,256.688,899.396,4565702043000058,45657b043-000058,43,45657b,58,11.555,0.019,57.7,43.440,11.108,0.022,49.6,19.980,30.510,1,0,0.00000,0.00000,0000,0000,3,AA,0,0,0.0,58.114,00,0000,0000,56687.41555627,0,,0,,12.664,3.676,0.000,37.660,4.603,0.000,4852.6001,84.0410,2646.7000,53.3390,7.50,7.50,11.501,0.018,2,0.257,11.011,0.021,2,0.322,12.231,0.018,0,11.850,0.025,0,11.758,0.018,2,11.333,0.021,2,11.557,0.020,2,11.110,0.023,2,11.466,0.020,3,11.014,0.025,3,11.419,0.020,3,10.974,0.028,3,11.388,0.021,3,10.955,0.033,3,11.363,0.021,19,10.942,0.039,3,11.341,0.022,19,10.927,0.043,3,2429148401351059600,0.742411,-171.2,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.374247,-156.6,1,0.80,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030579086519630,-0.5813647058402550,0.7550966711665280,213212230,15284476912194
242.4674630,49.0337633,0.0472,0.0465,-0.0211,76.6994842,46.2547553,217.5578381,67.5241497,28.578,964.547,33.327,965.965,4564502044000069,45645b044-000069,44,45645b,69,11.541,0.026,42.2,5.666,10.964,0.022,48.5,1.834,3.392,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,97.500,00,0000,0000,56687.02029874,0,,0,,12.284,4.723,0.000,38.112,3.829,0.000,4914.3999,116.4700,3020.5000,62.2460,7.50,7.50,11.466,0.020,2,0.257,10.919,0.022,2,0.322,12.141,0.022,2,11.711,0.024,2,11.723,0.020,2,11.241,0.022,2,11.548,0.021,2,11.045,0.026,2,11.466,0.021,3,10.960,0.030,3,11.421,0.023,3,10.918,0.038,3,11.390,0.025,3,10.891,0.047,3,11.362,0.026,3,10.866,0.049,3,11.332,0.028,3,10.838,0.052,3,2429148401351059600,0.547086,170.1,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.159961,158.4,1,0.54,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030591311400490,-0.5813648726094720,0.7550960521207950,213212230,15284476912195
242.4675044,49.0337317,0.0363,0.0407,-0.0062,76.6994317,46.2547349,217.5579401,67.5241351,974.955,328.237,971.480,325.536,4570801018000054,45708a018-000054,18,45708a,54,11.488,0.018,60.2,6.830,10.958,0.023,46.8,1.011,3.742,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,89.768,00,0000,0000,56689.06241310,0,,0,,10.365,3.131,0.000,37.466,4.412,0.000,5161.7002,85.7240,3042.1001,64.9620,7.50,7.50,11.447,0.012,2,0.257,10.976,0.048,0,0.322,12.124,0.015,0,11.754,0.067,0,11.704,0.012,2,11.298,0.048,0,11.537,0.012,2,11.119,0.043,0,11.459,0.012,2,11.048,0.044,2,11.415,0.012,2,11.014,0.046,2,11.385,0.013,3,10.992,0.048,3,11.361,0.014,3,10.975,0.051,3,11.332,0.015,3,10.962,0.055,3,2429148401351059600,0.425175,-179.5,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.052131,-132.1,1,0.54,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030589035716140,-0.5813654608793080,0.7550956905336970,213212230,15284476912195
242.4675420,49.0337412,0.0355,0.0389,-0.0133,76.6994381,46.2547089,217.5579847,67.5241553,176.286,616.667,178.723,617.496,4565302043000062,45653b043-000062,43,45653b,62,11.482,0.017,64.2,5.348,10.911,0.022,50.3,1.195,3.168,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,61.558,00,0000,0000,56687.28376132,0,,0,,11.765,3.405,0.000,36.773,4.033,0.000,5189.8999,80.8030,3172.8000,63.0810,7.50,7.50,11.450,0.012,0,0.257,10.928,0.030,0,0.322,12.138,0.015,0,11.720,0.035,0,11.707,0.012,0,11.250,0.030,0,11.523,0.011,0,11.060,0.028,0,11.437,0.012,1,10.985,0.028,3,11.391,0.012,3,10.952,0.030,3,11.360,0.013,3,10.931,0.032,3,11.330,0.014,3,10.912,0.034,3,11.300,0.015,3,10.898,0.037,3,2429148401351059600,0.468538,-168.6,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.144988,-118.5,1,0.66,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030584641804180,-0.5813655487390610,0.7550957992387040,213212230,15284476912195
242.4675216,49.0337625,0.0372,0.0421,-0.0115,76.6994721,46.2547178,217.5579272,67.5241675,522.385,420.331,521.982,419.625,4568401018000060,45684a018-000060,18,45684a,60,11.471,0.017,62.9,15.230,11.007,0.027,40.1,3.354,9.417,1,0,0.00000,0.00000,0000,0000,3,AA,0,0,0.0,62.373,00,0000,0001,56688.27189855,0,,0,,11.907,3.429,0.000,37.124,3.797,0.000,5246.1001,83.4500,2907.5000,72.5640,7.50,7.50,11.449,0.014,0,0.257,11.027,0.035,2,0.322,12.162,0.014,0,11.821,0.047,2,11.706,0.014,0,11.349,0.035,2,11.521,0.016,2,11.141,0.031,2,11.439,0.018,2,11.052,0.032,2,11.394,0.019,2,11.013,0.035,2,11.363,0.019,2,10.995,0.039,2,11.337,0.020,2,10.984,0.042,2,11.313,0.021,3,10.971,0.047,3,2429148401351059600,0.537854,-175.3,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.165972,-151.5,1,0.63,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030585414150190,-0.5813651919159259,0.7550960429666950,213212230,15284476912195
242.4675262,49.0337462,0.0354,0.0403,-0.0155,76.6994482,46.2547181,217.5579546,67.5241547,72.687,581.764,75.609,583.033,4566001018000059,45660a018-000059,18,45660a,59,11.485,0.017,62.8,5.556,10.928,0.020,53.6,1.667,3.431,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,60.974,00,0000,0000,56687.48139001,0,,0,,12.737,3.319,0.000,37.636,4.478,0.000,5174.7002,82.3820,3123.8000,58.3290,7.50,7.50,11.469,0.012,0,0.257,10.914,0.018,2,0.322,12.157,0.015,0,11.718,0.022,0,11.726,0.012,0,11.236,0.018,2,11.552,0.011,1,11.041,0.017,3,11.472,0.011,1,10.957,0.019,3,11.431,0.012,1,10.917,0.021,3,11.400,0.013,1,10.898,0.024,3,11.368,0.014,3,10.886,0.027,3,11.336,0.014,3,10.871,0.031,3,2429148401351059600,0.480517,-173.4,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.125374,-134.0,1,0.63,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030585940391100,-0.5813654067351059,0.7550958564518560,213212230,15284476912195
242.4675217,49.0337330,0.0379,0.0446,-0.0163,76.6994303,46.2547236,217.5579645,67.5241417,31.215,50.858,31.952,52.497,4564502042000054,45645b042-000054,42,45645b,54,11.523,0.020,54.7,5.288,10.947,0.022,49.6,1.566,3.305,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,97.887,00,0000,0000,56687.02017142,0,,0,,13.086,3.787,0.000,37.369,3.832,0.000,4998.0000,91.3670,3069.0000,61.8210,7.50,7.50,11.481,0.013,2,0.257,10.944,0.035,0,0.322,12.151,0.015,2,11.737,0.043,0,11.738,0.013,2,11.266,0.035,0,11.565,0.013,3,11.070,0.032,3,11.484,0.016,3,10.980,0.032,3,11.440,0.018,3,10.928,0.032,3,11.408,0.019,3,10.891,0.033,3,11.379,0.019,3,10.864,0.035,3,11.349,0.020,3,10.840,0.038,3,2429148401351059600,0.432124,-174.1,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.088852,-116.5,1,0.61,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030587201134150,-0.5813655371931860,0.7550957054091210,213212230,15284476912195
