,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,15-150 keV (Swift)   ,8.4e-12,+/- 5.8e-12 ,erg/cm^2^/s          ,1.99e+19,4.22e-08,+/- 2.91E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,1
1,2,u (SDSS PSF) AB      ,18.357,+/- 0.029  ,asinh mag            ,836000000000000.0,0.000171,+/- 4.53E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,2
2,3,u (SDSS Model) AB    ,16.225,+/- 0.010  ,asinh mag            ,836000000000000.0,0.00122,+/- 1.10E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,3
3,4,u (SDSS CModel) AB   ,16.389,           ...,asinh mag            ,836000000000000.0,0.00101,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,4
4,5,u (SDSS Petrosian)AB ,16.209,+/- 0.031  ,asinh mag            ,836000000000000.0,0.00124,+/- 3.53E-05 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    6.37"".         
",2005SDSS4.C...0000:,5
5,6,u (SDSS PSF) AB      ,18.357,+/- 0.029  ,asinh mag            ,836000000000000.0,0.000171,+/- 4.57E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,6
6,7,u (SDSS CModel) AB   ,16.389,           ...,asinh mag            ,836000000000000.0,0.00105,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,7
7,8,u (SDSS Model) AB    ,16.225,+/- 0.010  ,asinh mag            ,836000000000000.0,0.00122,+/- 1.12E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,8
8,9,m_p                  ,15.1,+/- 0.4    ,mag                  ,681000000000000.0,0.00389,+/- 1.73E-03 ,Jy                   ,"Broad-band
",                                        ,1966CGCG3.C...0000Z,9
9,10,B (m_B)              ,15.07,+/- 0.18   ,mag                  ,681000000000000.0,0.00399,+/- 7.20E-04 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,10
10,11,B (Johnson) Burrell  ,14.93,+/- 0.05   ,mag                  ,678000000000000.0,0.00454,+/- 2.09E-04 ,Jy                   ,"Broad-band
",                                        ,2004AJ....127.1943G,11
11,12,g (SDSS PSF) AB      ,16.858,+/- 0.017  ,asinh mag            ,617000000000000.0,0.000656,+/- 1.04E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,12
12,13,g (SDSS Model) AB    ,14.628,+/- 0.002  ,asinh mag            ,617000000000000.0,0.00511,+/- 1.02E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,13
13,14,g (SDSS CModel) AB   ,14.591,           ...,asinh mag            ,617000000000000.0,0.0052899999999999996,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,14
14,15,g (SDSS Petrosian)AB ,14.549000000000001,+/- 0.008  ,asinh mag            ,617000000000000.0,0.0055,+/- 4.26E-05 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    7.28"".         
",2005SDSS4.C...0000:,15
15,16,g (SDSS PSF) AB      ,16.858,+/- 0.017  ,asinh mag            ,617000000000000.0,0.000656,+/- 1.03E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,16
16,17,g (SDSS CModel) AB   ,14.591,           ...,asinh mag            ,617000000000000.0,0.0052899999999999996,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,17
17,18,g (SDSS Model) AB    ,14.628,+/- 0.002  ,asinh mag            ,617000000000000.0,0.00511,+/- 9.42E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,18
18,19,V (Johnson) Burrell  ,14.06,           ...,mag                  ,555000000000000.0,0.00865,    ...      ,Jy                   ,"Broad-band
",                                        ,2004AJ....127.1943G,19
19,20,r (SDSS Model) AB    ,13.869000000000002,+/- 0.002  ,asinh mag            ,477000000000000.0,0.0103,+/- 1.88E-05 ,Jy                   ,"Broad-band
","SDSS Effective Radius =   3.65"" x   1.31"".
",2005SDSS4.C...0000:,20
20,21,r (SDSS CModel) AB   ,13.869000000000002,           ...,asinh mag            ,477000000000000.0,0.0103,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,21
21,22,r (SDSS Petrosian)AB ,13.822000000000001,+/- 0.012  ,asinh mag            ,477000000000000.0,0.0107,+/- 1.16E-04 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    6.63"".         
",2005SDSS4.C...0000:,22
22,23,r (SDSS PSF) AB      ,16.088,+/- 0.013  ,asinh mag            ,477000000000000.0,0.00133,+/- 1.60E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,23
23,24,r (SDSS PSF) AB      ,16.088,+/- 0.013  ,asinh mag            ,477000000000000.0,0.00133,+/- 1.57E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,24
24,25,r (SDSS CModel) AB   ,13.869000000000002,           ...,asinh mag            ,477000000000000.0,0.0103,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,25
25,26,r (SDSS Model) AB    ,13.869000000000002,+/- 0.002  ,asinh mag            ,477000000000000.0,0.0103,+/- 1.90E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,26
26,27,H{alpha} (Burrell)   ,1.917e-13,           ...,ergs/s/cm^2^         ,457000000000000.0,19200000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2004AJ....127.1943G,27
27,28,i (SDSS CModel) AB   ,13.488,           ...,asinh mag            ,389000000000000.0,0.0146,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,28
28,29,i (SDSS Petrosian)AB ,13.472999999999999,+/- 0.007  ,asinh mag            ,389000000000000.0,0.0229,+/- 1.47E-04 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    6.39"".         
",2005SDSS4.C...0000:,29
29,30,i (SDSS Model) AB    ,13.472999999999999,+/- 0.002  ,asinh mag            ,389000000000000.0,0.0148,+/- 2.71E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,30
30,31,i (SDSS PSF) AB      ,15.85,+/- 0.021  ,asinh mag            ,389000000000000.0,0.0016600000000000002,+/- 3.21E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,31
31,32,i (SDSS CModel) AB   ,13.488,           ...,asinh mag            ,389000000000000.0,0.0146,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,32
32,33,i (SDSS PSF) AB      ,15.85,+/- 0.021  ,asinh mag            ,389000000000000.0,0.0016600000000000002,+/- 3.15E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,33
33,34,i (SDSS Model) AB    ,13.472999999999999,+/- 0.002  ,asinh mag            ,389000000000000.0,0.0148,+/- 2.73E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,34
34,35,z (SDSS PSF) AB      ,15.54,+/- 0.013  ,asinh mag            ,325000000000000.0,0.00217,+/- 2.60E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,35
35,36,z (SDSS Model) AB    ,13.155,+/- 0.003  ,asinh mag            ,325000000000000.0,0.0195,+/- 5.41E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,36
36,37,z (SDSS CModel) AB   ,13.198,           ...,asinh mag            ,325000000000000.0,0.0187,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,37
37,38,z (SDSS CModel) AB   ,13.198,           ...,asinh mag            ,325000000000000.0,0.0191,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,38
38,39,z (SDSS Petrosian)AB ,13.265,+/- 0.012  ,asinh mag            ,325000000000000.0,0.0176,+/- 1.92E-04 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    5.42"".         
",2005SDSS4.C...0000:,39
39,40,z (SDSS Model) AB    ,13.155,+/- 0.003  ,asinh mag            ,325000000000000.0,0.0195,+/- 5.39E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,40
40,41,z (SDSS PSF) AB      ,15.54,+/- 0.013  ,asinh mag            ,325000000000000.0,0.00217,+/- 2.69E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2005SDSS4.C...0000:,41
41,42,J (2MASS/FLWO)       ,12.757,+/- 0.006  ,mag                  ,243000000000000.0,0.0126,+/- 6.95E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,42
42,43,J (2MASS/FLWO)       ,13.152999999999999,+/- 0.05   ,mag                  ,243000000000000.0,0.008740000000000001,+/- 4.02E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,43
43,44,J                    ,11.720999999999998,+/- 0.026  ,mag                  ,240000000000000.0,0.0326,+/- 7.91E-04 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,44
44,45,J_14arcsec (2MASS)   ,12.372,+/- 0.009  ,mag                  ,240000000000000.0,0.0179,+/- 1.49E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,45
45,46,J                    ,11.839,+/- 0.020  ,mag                  ,240000000000000.0,0.0293,+/- 5.44E-04 ,Jy                   ,"Broad-band
",  52.6 x   18.9 arcsec integration area.,20032MASX.C.......:,46
46,47,H                    ,11.094000000000001,+/- 0.023  ,mag                  ,182000000000000.0,0.0374,+/- 8.00E-04 ,Jy                   ,"Broad-band
",  52.6 x   18.9 arcsec integration area.,20032MASX.C.......:,47
47,48,H_14arcsec (2MASS)   ,11.616,+/- 0.009  ,mag                  ,182000000000000.0,0.0231,+/- 1.92E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,48
48,49,H                    ,10.972000000000001,+/- 0.022  ,mag                  ,182000000000000.0,0.0418,+/- 8.56E-04 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,49
49,50,H (2MASS/FLWO)       ,12.254000000000001,+/- 0.05   ,mag                  ,180000000000000.0,0.0128,+/- 5.91E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,50
50,51,H (2MASS/FLWO)       ,11.96,+/- 0.011  ,mag                  ,180000000000000.0,0.0168,+/- 1.71E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,51
51,52,K_s (2MASS/FLWO)     ,11.538,+/- 0.005  ,mag                  ,139000000000000.0,0.0162,+/- 7.45E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,52
52,53,K_s (2MASS/FLWO)     ,11.78,+/- 0.035  ,mag                  ,139000000000000.0,0.0129,+/- 4.17E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,53
53,54,K_s                  ,10.627,+/- 0.031  ,mag                  ,138000000000000.0,0.0374,+/- 1.08E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,54
54,55,K_s                  ,10.731,+/- 0.035  ,mag                  ,138000000000000.0,0.034,+/- 1.11E-03 ,Jy                   ,"Broad-band
",  52.6 x   18.9 arcsec integration area.,20032MASX.C.......:,55
55,56,K_s_14arcsec (2MASS) ,11.208,+/- 0.012  ,mag                  ,138000000000000.0,0.0219,+/- 2.44E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,56
56,57,1.4 GHz (VLA)        ,46.7,           ...,milliJy              ,1400000000.0,0.0467,    ...      ,Jy                   ,"Broad-band
",                                        ,2002AJ....124..675C,57
57,58,1.4GHz               ,48.6,+/- 1.9    ,milliJy              ,1400000000.0,0.0486,+/- 1.90E-03 ,Jy                   ,"Broad-band
",                                        ,1998AJ....115.1693C,58
58,59,408 MHz              ,0.1,+/- 0.02   ,Jy                   ,408000000.0,0.1,+/- 2.01E-02 ,Jy                   ,"Broad-band
",                                        ,1985A&AS...59..255F,59
59,60,151 MHz (6C)         ,0.25,+/- 0.050  ,Jy                   ,152000000.0,0.25,+/- 5.00E-02 ,Jy                   ,"Broad-band
",                                        ,1988MNRAS.234..919H,60
