,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,FUV (GALEX) AB       , 15.9938                       ,+/- 0.0211813 ,mag                  ,1950000000000000.0,0.00145,+/- 2.84E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,1
1,2,FUV (GALEX) AB       , 19.9501                       ,+/- 0.169635 ,mag                  ,1950000000000000.0,3.8e-05,+/- 5.94E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,2
2,3,NUV (GALEX) AB       , 15.4987                       ,+/- 0.0102806 ,mag                  ,1290000000000000.0,0.00229,+/- 2.17E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,3
3,4,NUV (GALEX) AB       , 18.9410                       ,+/- 0.0587079 ,mag                  ,1290000000000000.0,9.63e-05,+/- 5.21E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,4
4,5,B (Cousins) (B_26)   , 13.65                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0148,+/- 1.28E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,5
5,6,B (Cousins) (B_T)    , 13.51                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0168,+/- 1.45E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,6
6,7,B (m_B)              , 13.49                         ,+/- 0.21   ,mag                  ,681000000000000.0,0.0171,+/- 3.65E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,7
7,8,B (Cousins) (B_25)   , 13.69                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0142,+/- 1.23E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,8
8,9,B (m_B^0)            , 12.87                         ,           ...,mag                  ,681000000000000.0,0.0303,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,9
9,10,b_J                  , 14.36                         ,+/- 0.12   ,mag                  ,641000000000000.0,0.0071200000000000005,+/- 8.32E-04 ,Jy                   ,"Broad-band
",                                        ,1990MNRAS.243..692M,10
10,11,B_J                  , 13.6486                       ,           ...,mag                  ,641000000000000.0,0.0137,    ...      ,Jy                   ,"Broad-band
",                                        ,2005MNRAS.361...34D,11
11,12,R                    , 13.5639                       ,           ...,mag                  ,468000000000000.0,0.0116,    ...      ,Jy                   ,"Broad-band
",                                        ,2005MNRAS.361...34D,12
12,13,R (Cousins) (R_T)    , 12.70                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.0255,+/- 2.21E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,13
13,14,R (Cousins) (R_25)   , 12.88                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.0216,+/- 1.87E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,14
14,15,R (Cousins) (R_26)   , 12.83                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.0227,+/- 1.96E-03 ,Jy                   ,"Broad-band
",                                        ,1989ESOLV.C...0000L,15
15,16,I_t_ (Kron-Cousins)  , 11.91                         ,+/- 5   %  ,mag                  ,380000000000000.0,0.041,+/- 2.05E-03 ,Jy                   ,"Broad-band
",                                        ,1996ApJS..107...97M,16
16,17,I_t_                 , 11.84                         ,           ...,mag                  ,380000000000000.0,0.0437,    ...      ,Jy                   ,"Broad-band
",                                        ,1997AJ....113...22G,17
17,18,I_corr_              , 11.62                         ,+/- 0.09   ,mag                  ,380000000000000.0,0.0535,+/- 2.10E-02 ,Jy                   ,"Broad-band
",                                        ,1997AJ....113...22G,18
18,19,I                    , 12.9538                       ,           ...,mag                  ,379000000000000.0,0.0168,    ...      ,Jy                   ,"Broad-band
",                                        ,2005MNRAS.361...34D,19
19,20,I                    , 11.93                         ,+/- 0.03   , mag                 ,379000000000000.0,0.0431,+/- 1.19E-03 ,Jy                   ,"Broad-band
",Observed magnitude                      ,2007ApJS..172..599S,20
20,21,I                    , 11.72                         ,           ..., mag                 ,379000000000000.0,0.0523,    ...      ,Jy                   ,"Broad-band
",                                        ,2007ApJS..172..599S,21
21,22,J (2MASS/CTIO)       , 12.913                        ,+/- 0.009  ,mag                  ,243000000000000.0,0.0109,+/- 9.03E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,22
22,23,J (2MASS/CTIO)       , 13.664                        ,+/- 0.111  ,mag                  ,243000000000000.0,0.0054600000000000004,+/- 5.58E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,23
23,24,J_14arcsec (2MASS)   , 12.191                        ,+/- 0.008  ,mag                  ,240000000000000.0,0.0212,+/- 1.57E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,24
24,25,J                    , 11.065                        ,+/- 0.018  ,mag                  ,240000000000000.0,0.0597,+/- 9.98E-04 ,Jy                   ,"Broad-band
",  65.0 x   35.1 arcsec integration area.,20032MASX.C.......:,25
25,26,J                    , 10.941                        ,+/- 0.021  ,mag                  ,240000000000000.0,0.0669,+/- 1.31E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,26
26,27,H                    , 10.357                        ,+/- 0.029  ,mag                  ,182000000000000.0,0.0737,+/- 2.00E-03 ,Jy                   ,"Broad-band
",  65.0 x   35.1 arcsec integration area.,20032MASX.C.......:,27
