,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,B (m_B)              , 15.15                         ,+/- 0.18   ,mag                  ,681000000000000.0,0.00371,+/- 6.69E-04 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,1
1,2,B (m_B^0)            , 14.47                         ,           ...,mag                  ,681000000000000.0,0.006940000000000001,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,2
2,3,m_p                  , 15.4                          ,+/- 0.4    ,mag                  ,681000000000000.0,0.00295,+/- 1.31E-03 ,Jy                   ,"Broad-band
",                                        ,1965CGCG5.C...0000Z,3
3,4,J_pg                 , 15.5                          ,+/- 0.3    , mag                 ,641000000000000.0,0.00249,+/- 6.89E-04 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,4
4,5,F_pg                 , 13.9                          ,+/- 0.3    , mag                 ,468000000000000.0,0.00848,+/- 2.34E-03 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,5
5,6,J (2MASS/CTIO)       , 12.92                         ,+/- 0.009  ,mag                  ,243000000000000.0,0.0108,+/- 8.97E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,6
6,7,J (2MASS/CTIO)       , 13.397                        ,+/- 0.078  ,mag                  ,243000000000000.0,0.00698,+/- 5.01E-04 ,Jy                   ,"Broad-band
",Profile-fit                             ,2006AJ....131.1163S,7
7,8,J                    , 11.611                        ,+/- 0.037  ,mag                  ,240000000000000.0,0.0361,+/- 1.25E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,8
8,9,J_14arcsec (2MASS)   , 12.492                        ,+/- 0.016  ,mag                  ,240000000000000.0,0.016,+/- 2.38E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,9
9,10,J                    , 11.855                        ,+/- 0.037  ,mag                  ,240000000000000.0,0.0288,+/- 1.00E-03 ,Jy                   ,"Broad-band
",  37.0 x   32.6 arcsec integration area.,20032MASX.C.......:,10
