,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (XMM)     , -11.0                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,3.95e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,1
1,2,14-195 keV (Swift)   , 3.7E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,1.4599999999999998e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,2
2,3,15-150 keV (Swift)   , 1.2e-11                       ,+/- 7.2e-12 ,erg/cm^2^/s          ,1.99e+19,6.03e-08,+/- 3.62E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,3
3,4,40-100 keV INTEGRAL  , 0.60E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,3.55e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,4
4,5,15-55 keV (Swift)    , 1.30E-11                      ,+/- 0.22E-11 ,erg/cm^2^/s          ,8.46e+18,1.54e-07,+/- 2.60E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,5
5,6,20-40 keV (INTEGRAL) , 0.50E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,6.900000000000001e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,6
6,7,4-10 keV (XMM)       , 4.5E-12                       ,           ...,erg/cm^2^/s          ,1.69e+18,2.66e-07,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2004-07-04                   ,2010A&A...521A..57T,7
7,8,F_2-10_ keV          , 2.7                           ,+/- 10  %  ,10^-11^ erg/s/cm^2^  ,1.45e+18,1.86e-06,+/- 1.86E-07 ,Jy                   ,"Broad-band
",Energy index 0.93                       ,1989MNRAS.240..833T,8
8,9,2-10 keV             , 27.00E-12                     ,+/- 2.70E-12 ,ergs cm^-2^ s^-1^    ,1.45e+18,1.86e-06,+/- 1.86E-07 ,Jy                   ,"Broad-band
",Flux from 1989MNRAS.240..833T           ,2005ApJ...629...61K,9
9,10,2.0-10 keV (HEAO-1)  , 2.8E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,1.93e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,10
10,11,2.0-10 keV (XMM)     , 0.5E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,3.45e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,11
11,12,2-10 keV             , 1.97E-14                      ,           ...,W/m^2^               ,1.45e+18,1.36e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,12
12,13,2-10 keV             , 1.970E-14                     ,           ...,W/m^2^               ,1.45e+18,1.36e-06,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,13
13,14,2-10 keV (XMM)       , 0.69E-11                      ,           ..., erg/cm^2^/s         ,1.45e+18,4.7600000000000003e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2007MNRAS.382..194N,14
14,15,2-10 keV (XMM)       , 6.950E-12                     ,+/- 0.110E-12 , erg/cm^2^/s         ,1.45e+18,4.79e-07,+/- 7.59E-09 ,Jy                   ,"Broad-band
",                                        ,2009A&A...495..421B,15
15,16,2-10 keV (XMM)       , 0.56E-11                      ,           ...,erg/cm^2^/s          ,1.45e+18,3.86e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...507..159D,16
16,17,2-10 keV (Chandra)   , 0.85E-11                      ,           ...,erg/cm^2^/s          ,1.45e+18,5.86e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2010ApJS..187..581S,17
17,18,2-10 keV (XMM)       , 4.7E-12                       ,           ...,erg/s/cm^2^          ,1.45e+18,3.24e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2010ApJ...713L..11Z,18
18,19,2-10 keV (XMM)       , -11.1                         ,           ...,log(erg/s/cm^2^)     ,1.45e+18,5.48e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,19
19,20,2-8 keV (Chandra)    , 6.72E-12                      ,+/- 0.45E-12 , erg/cm^2^/s         ,1.21e+18,5.55e-07,+/- 3.72E-08 ,Jy                   ,"Broad-band
",                                        ,2007A&A...470...73L,20
20,21,2-8 keV (XMM)        , 5.62E-12                      ,+/- 0.09E-12 , erg/cm^2^/s         ,1.21e+18,4.6399999999999997e-07,+/- 7.44E-09 ,Jy                   ,"Broad-band
",EPIC/pn data                            ,2007A&A...470...73L,21
21,22,2-8 keV (XMM)        , 5.97E-12                      ,+/- 0.09E-12 , erg/cm^2^/s         ,1.21e+18,4.93e-07,+/- 7.44E-09 ,Jy                   ,"Broad-band
",EPIC/MOS1 data                          ,2007A&A...470...73L,22
22,23,2-8 keV (XMM)        , 5.60E-12                      ,+/- 0.09E-12 , erg/cm^2^/s         ,1.21e+18,4.6299999999999995e-07,+/- 7.44E-09 ,Jy                   ,"Broad-band
",EPIC/MOS2 data                          ,2007A&A...470...73L,23
23,24,0.2-2 keV (ROSAT)    , 6.2250E-11                    ,+/- 0.9 %  ,erg/s/cm^2^          ,3.15e+17,1.98e-05,+/- 1.71E-07 ,Jy                   ,"Broad-band
",                                        ,2000WGA...C...0000W,24
24,25,0.5-2 keV (XMM)      , 3.310E-12                     ,+/- 0.110E-12 , erg/cm^2^/s         ,3.02e+17,1.1e-06,+/- 3.64E-08 ,Jy                   ,"Broad-band
",                                        ,2009A&A...495..421B,25
25,26,0.1-2.4 keV (ROSAT)  , 4.63e-11                      ,+/- 2.87e-12 ,erg/cm^2^/s          ,3.02e+17,1.53e-05,+/- 9.50E-07 ,Jy                   ,"Broad-band
",Unabsorbed flux                         ,2010MNRAS.401.1151M,26
26,27,0.3-2 keV (XMM)      , -11.4                         ,           ...,log(erg/s/cm^2^)     ,2.78e+17,1.43e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,27
27,28,1450 A               , 2.4E-14                       ,+/- 1.4E-14 ,ergs/cm^2^/s/A       ,2070000000000000.0,0.0016899999999999999,+/- 9.83E-04 ,Jy                   ,"Broad-band
",                                        ,2005ApJ...629...61K,28
28,29,FUV (GALEX) AB       , 16.47                         ,           ..., mag                 ,1980000000000000.0,0.000938,    ...      ,Jy                   ,"Broad-band
",                                        ,2007ApJS..173..404B,29
29,30,FUV (GALEX) AB       , 16.9074                       ,+/- 0.0496132 ,mag                  ,1950000000000000.0,0.000627,+/- 2.86E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,30
30,31,FUV (GALEX) AB       , 18.8533                       ,+/- 0.136009 ,mag                  ,1950000000000000.0,0.00010400000000000001,+/- 1.31E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,31
31,32,FUV (GALEX) AB       , 16.8695                       ,+/- 0.00853219 ,mag                  ,1950000000000000.0,0.0006490000000000001,+/- 5.10E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,32
32,33,FUV (GALEX) AB       , 18.6230                       ,+/- 0.0201688 ,mag                  ,1950000000000000.0,0.000129,+/- 2.40E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,33
33,34,C IV 1549            , -11.64                        ,+/- 0.01   ,log(erg/s/cm^2^)     ,1940000000000000.0,229000000000.0,+/- 5.28E+09 ,Jy-Hz                ,"Line
",                                        ,2009ApJ...702..767W,34
34,35,UVW2 (XMM-OM)        , 1.97E-15                      ,+/- 0.10E-15 ,erg/cm^2^/s/A        ,1410000000000000.0,0.000296,+/- 1.50E-05 ,Jy                   ,"Broad-band
",                                        ,2007A&A...470...73L,35
35,36,UVM2 (XMM-OM)        , 2.49E-15                      ,+/- 0.07E-15 ,erg/cm^2^/s/A        ,1300000000000000.0,0.00044400000000000006,+/- 1.25E-05 ,Jy                   ,"Broad-band
",                                        ,2007A&A...470...73L,36
36,37,NUV (GALEX) AB       , 16.4637                       ,+/- 0.0247029 ,mag                  ,1290000000000000.0,0.0009429999999999999,+/- 2.15E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,37
37,38,NUV (GALEX) AB       , 18.5295                       ,+/- 0.0659822 ,mag                  ,1290000000000000.0,0.00014099999999999998,+/- 8.55E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,38
38,39,NUV (GALEX) AB       , 16.4714                       ,+/- 0.00461249 ,mag                  ,1290000000000000.0,0.000936,+/- 3.98E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,39
39,40,NUV (GALEX) AB       , 18.7495                       ,+/- 0.0125101 ,mag                  ,1290000000000000.0,0.00011499999999999999,+/- 1.32E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,40
40,41,UVW1 (XMM-OM)        , 2.46E-15                      ,+/- 0.02E-15 ,erg/cm^2^/s/A        ,1030000000000000.0,0.000696,+/- 5.66E-06 ,Jy                   ,"Broad-band
",                                        ,2007A&A...470...73L,41
41,42,U (XMM-OM)           , 2.97E-15                      ,+/- 0.01E-15 ,erg/cm^2^/s/A        ,871000000000000.0,0.00117,+/- 3.95E-06 ,Jy                   ,"Broad-band
",                                        ,2007A&A...470...73L,42
42,43,u (KPNO)             , 15.76                         ,           ...,mag                  ,853000000000000.0,0.0007650000000000001,    ...      ,Jy                   ,"Broad-band
",Host mag; AGN contamination removed     ,2011ApJ...739...57K,43
43,44,u (SDSS CModel) AB   , 15.848                        ,           ...,asinh mag            ,836000000000000.0,0.00173,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,44
44,45,u (SDSS Model) AB    , 15.365                        ,+/- 0.008  ,asinh mag            ,836000000000000.0,0.0026899999999999997,+/- 1.98E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,45
45,46,u (SDSS PSF) AB      , 17.147                        ,+/- 0.013  ,asinh mag            ,836000000000000.0,0.000521,+/- 6.24E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,46
46,47,U (Johnson)          , 5.45                          ,+/- 0.72   ,milliJy              ,819000000000000.0,0.00545,+/- 7.20E-04 ,Jy                   ,"Broad-band
","29.3"" aperture                          ",1983ApJS...52..341M,47
47,48,103a-O (POSS-I O)    , 14.58                         ,           ...,mag                  ,740000000000000.0,0.00561,    ...      ,Jy                   ,"Broad-band
",                                        ,2006ApJ...639...37K,48
48,49,V (MAGNUM)           , 4.75                          ,+/- 0.07   ,milliJy              ,683000000000000.0,0.00475,+/- 7.00E-05 ,Jy                   ,"Broad-band
","8.3"" aperture                           ",2010ApJ...711..461S,49
