ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
150.5840892,45.1575964,b'10h02m20.18s',b'45d09m27.35s',0.1665,0.1858,0.0589,14.376,0.065,16.8,1.048,13.985,0.166,6.5,0.899,1,0,b'0000',b'AB',10,58586.10374432,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.01304,188.90594
150.5840954,45.1575978,b'10h02m20.18s',b'45d09m27.35s',0.2019,0.2241,0.0460,14.582,0.073,14.9,0.495,14.091,0.268,4.0,0.688,1,0,b'0000',b'AB',10,58795.38689464,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.015971,120.017277
150.5840928,45.1575931,b'10h02m20.18s',b'45d09m27.34s',0.2000,0.2280,-0.0483,14.573,0.071,15.2,0.634,14.151,0.218,5.0,0.970,1,0,b'0000',b'AB',10,57142.19655560,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.025898,164.031444
150.5840926,45.1576074,b'10h02m20.18s',b'45d09m27.39s',0.2131,0.2556,0.1017,14.528,0.082,13.3,0.745,13.918,0.198,5.5,0.445,1,0,b'0000',b'AB',10,58588.39277258,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.027491,13.91531
150.5840990,45.1576054,b'10h02m20.18s',b'45d09m27.38s',0.1449,0.1593,-0.0442,14.204,0.057,19.0,1.323,13.427,0.105,10.3,0.743,1,0,b'0000',b'AA',10,58221.17873727,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.029958,49.606473
150.5841019,45.1575980,b'10h02m20.18s',b'45d09m27.35s',0.1462,0.1726,0.0381,14.313,0.061,17.8,0.822,13.705,0.120,9.1,0.602,1,0,b'0000',b'AB',10,58063.91374531,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.031042,103.405734
150.5840729,45.1575975,b'10h02m20.18s',b'45d09m27.35s',0.1943,0.2194,0.0566,14.584,0.076,14.3,1.192,13.937,0.132,8.2,0.661,1,0,b'0000',b'AB',10,56971.35738560,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.044328,258.286965
150.5840752,45.1576081,b'10h02m20.18s',b'45d09m27.39s',0.1324,0.1539,-0.0159,14.084,0.051,21.2,1.119,13.445,0.107,10.2,0.664,1,0,b'0000',b'AA',10,57861.33011797,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.047516,307.816228
150.5841098,45.1575976,b'10h02m20.19s',b'45d09m27.35s',0.1812,0.2119,-0.0666,14.606,0.074,14.6,0.667,13.710,0.110,9.9,0.871,1,0,b'0000',b'AB',10,58953.32371766,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.05097,99.753436
150.5841010,45.1575880,b'10h02m20.18s',b'45d09m27.32s',0.2307,0.2585,-0.0583,14.705,0.081,13.4,1.211,13.869,0.173,6.3,0.587,1,0,b'0000',b'AB',10,59159.92279346,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.051431,147.121534
150.5841034,45.1576144,b'10h02m20.18s',b'45d09m27.41s',0.1852,0.2300,0.0457,14.487,0.075,14.5,0.835,13.909,0.131,8.3,0.476,1,0,b'0000',b'AB',10,57141.60596103,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.062007,33.272466
150.5841031,45.1576147,b'10h02m20.18s',b'45d09m27.41s',0.1637,0.1881,-0.0197,14.418,0.066,16.5,0.755,13.680,0.111,9.8,0.747,1,0,b'0000',b'AB',10,58431.51606788,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.062538,32.145538
150.5841118,45.1576089,b'10h02m20.19s',b'45d09m27.39s',0.1605,0.2214,0.0568,14.459,0.065,16.7,0.897,14.207,0.179,6.1,0.709,1,0,b'0000',b'AB',10,56779.58430813,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.063957,59.93099
150.5841143,45.1576057,b'10h02m20.19s',b'45d09m27.38s',0.1440,0.1803,-0.0248,14.205,0.056,19.2,0.665,13.744,0.123,8.9,0.604,1,0,b'0000',b'AB',10,58221.50586928,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.064983,71.600526
150.5840855,45.1575822,b'10h02m20.18s',b'45d09m27.30s',0.1797,0.1926,0.0142,14.420,0.069,15.7,0.853,13.711,0.124,8.7,0.609,1,0,b'0000',b'AB',10,58221.44092689,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.065056,190.107968
150.5841169,45.1575923,b'10h02m20.19s',b'45d09m27.33s',0.1597,0.1918,-0.0452,14.378,0.059,18.3,0.692,14.045,0.183,5.9,0.386,1,0,b'0000',b'AB',10,57500.72959101,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.073702,112.093706
150.5841081,45.1576165,b'10h02m20.19s',b'45d09m27.42s',0.1460,0.1742,0.0491,14.297,0.062,17.4,0.852,13.492,0.094,11.6,0.636,1,0,b'0000',b'AA',10,58221.63728209,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.075099,37.72331
150.5840598,45.1575905,b'10h02m20.17s',b'45d09m27.33s',0.1858,0.2145,-0.0672,14.571,0.068,16.0,1.089,13.842,0.123,8.9,0.985,1,0,b'0000',b'AB',10,57500.46752900,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.083949,245.958494
150.5841280,45.1576041,b'10h02m20.19s',b'45d09m27.37s',0.1786,0.2393,0.0485,14.283,0.067,16.2,0.524,13.950,0.198,5.5,0.328,1,0,b'0000',b'AB',10,57700.04357821,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.097583,81.300762
150.5841283,45.1575944,b'10h02m20.19s',b'45d09m27.34s',0.1830,0.2602,0.0767,14.486,0.074,14.6,0.474,13.972,0.213,5.1,0.342,1,0,b'0000',b'AB',10,57141.54025455,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.099311,101.714217
150.5841085,45.1575757,b'10h02m20.19s',b'45d09m27.27s',0.1918,0.1928,0.0393,14.412,0.070,15.5,1.573,13.713,0.122,8.9,0.400,1,0,b'0000',b'AB',10,58585.84206469,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.099311,151.770882
150.5841195,45.1575815,b'10h02m20.19s',b'45d09m27.29s',0.1887,0.2183,-0.0848,14.388,0.068,16.0,0.986,13.577,0.132,8.2,1.002,1,0,b'0000',b'AB',5,58589.24326294,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.10021,131.647617
150.5840585,45.1575832,b'10h02m20.17s',b'45d09m27.30s',0.1896,0.2346,-0.0770,14.431,0.077,14.1,1.033,13.611,0.119,9.1,0.846,1,0,b'0000',b'AB',10,56970.76564589,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.100257,232.898688
150.5840580,45.1576169,b'10h02m20.17s',b'45d09m27.42s',0.2077,0.2281,-0.0929,14.556,0.070,15.6,0.655,14.081,0.154,7.0,1.122,1,0,b'0000',b'AB',10,56780.24239118,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.101475,306.831187
150.5840564,45.1576189,b'10h02m20.17s',b'45d09m27.43s',0.2085,0.3161,0.0923,14.496,0.092,11.8,0.906,14.025,0.141,7.7,0.447,1,0,b'0000',b'AB',10,57141.67154020,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.109101,308.579111
150.5840612,45.1576252,b'10h02m20.17s',b'45d09m27.45s',0.1673,0.1923,-0.0231,14.436,0.066,16.5,0.423,13.842,0.127,8.5,0.488,1,0,b'0000',b'AB',10,57699.84709875,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.116513,321.13481
150.5840975,45.1576324,b'10h02m20.18s',b'45d09m27.48s',0.1729,0.1928,0.0668,14.333,0.070,15.5,0.763,13.593,0.135,8.1,0.586,1,0,b'0000',b'AB',10,58431.12348513,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.118203,9.270697
150.5840439,45.1576092,b'10h02m20.17s',b'45d09m27.39s',0.2081,0.2744,-0.0658,14.379,0.083,13.1,1.155,13.897,0.178,6.1,0.649,1,0,b'0000',b'AB',10,58585.38402983,1512145401351016237,14.770,0.032,14.226,0.043,11.629,0.217,8.872,0.470,257570967,16.814,0.1783,16.171,0.2115,15.297,0.1907,0.12163,285.801992
