source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'07145a161',55415.88451750,13.854,0.048,1.289,12.781,0.051,1.199,,,,,,,1.0,11,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'07146a186',55415.95073310,13.806,0.048,1.351,12.752,0.054,1.213,,,,,,,1.0,20,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'07138a186',55415.68612540,13.909,0.051,1.358,12.764,0.060,1.203,,,,,,,1.0,27,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'07142a186',55415.81842930,13.850,0.050,1.290,12.779,0.064,1.199,,,,,,,1.0,11,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'01772a091',55238.15319260,13.812,0.045,1.335,12.756,0.062,1.209,10.051,0.184,1.051,7.085,0.271,1.175,1.0,32,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'07134a186',55415.55382150,13.769,0.052,1.484,12.845,0.067,1.259,,,,,,,1.0,49,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'01764a091',55237.88858410,13.964,0.055,1.557,12.786,0.059,1.199,9.962,0.157,1.016,7.535,,1.296,1.0,101,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'01768a091',55238.02088830,13.858,0.050,1.289,12.680,0.060,1.379,10.222,0.189,1.174,7.024,0.254,1.205,1.0,60,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'01760a090',55237.75615260,13.847,0.047,1.291,12.796,0.056,1.202,9.738,0.121,1.071,7.358,0.328,1.100,1.0,106,b'0000',0.028337,261.956101
b'2344p030_ac51-058849',234.0533222,3.7127189,b'15h36m12.80s',b'03d42m45.79s',1,0,b'0000',b'01764a090',55237.88845680,13.780,0.049,1.438,12.646,0.051,1.529,9.958,0.148,1.015,7.395,0.375,1.096,1.0,102,b'0000',0.028337,261.956101
