source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11605a100',55563.36100840,14.883,0.099,1.564,14.110,0.150,0.916,,,,,,,0.5,102,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11609a100',55563.49318540,14.655,0.080,1.120,14.232,0.167,0.919,,,,,,,1.0,60,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11601a100',55563.22870400,14.678,0.091,1.133,14.202,0.171,0.913,,,,,,,1.0,88,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11602a124',55563.29479250,14.572,0.078,1.153,14.569,0.230,1.141,,,,,,,1.0,106,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11597a100',55563.09639960,14.653,0.083,1.119,14.174,0.174,0.910,,,,,,,1.0,46,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11599a075',55563.16261550,14.804,0.093,1.341,14.015,0.138,0.960,,,,,,,1.0,68,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11590a124',55562.89800680,14.520,0.071,1.248,13.997,0.158,0.973,,,,,,,1.0,-5,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11594a124',55563.03031110,14.585,0.078,1.139,13.940,0.145,1.032,,,,,,,1.0,25,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11582a124',55562.63352540,14.635,0.076,1.116,14.276,0.167,0.933,,,,,,,1.0,18,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'11586a124',55562.76582970,14.670,0.080,1.127,14.056,0.147,0.935,,,,,,,1.0,2,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06284a152',55387.40711120,14.665,0.085,1.125,14.357,0.173,0.974,10.566,0.260,0.889,7.221,,1.036,1.0,1,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06288a151',55387.53928760,14.530,0.081,1.224,14.131,0.140,0.912,10.641,0.288,0.890,7.717,,1.083,1.0,32,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06280a152',55387.27480750,14.677,0.081,1.133,14.411,0.177,1.009,10.963,0.383,0.943,7.621,0.466,1.074,1.0,2,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06284a151',55387.40698390,14.536,0.081,1.211,14.248,0.168,0.924,10.259,0.214,0.977,7.424,,1.042,1.0,2,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06273b176',55387.07628830,14.740,0.082,1.209,14.121,0.136,0.913,11.000,0.407,0.952,7.198,,1.034,1.0,34,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06276a152',55387.14250380,14.639,0.080,1.117,14.006,0.140,0.966,10.756,0.342,0.901,7.342,,1.034,1.0,19,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06269b176',55386.94398460,14.517,0.070,1.253,14.381,0.191,0.989,11.039,0.440,0.963,6.915,,1.051,1.0,75,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06272a152',55387.01020010,14.651,0.080,1.119,14.286,0.214,0.938,10.804,0.340,0.909,7.563,0.405,1.086,1.0,54,b'0000',0.181211,98.914737
b'0214m091_ac51-047155',21.7004203,-8.6633578,b'01h26m48.10s',b'-08d39m48.09s',1,0,b'0000',b'06265b176',55386.81168080,14.516,0.069,1.257,14.062,0.170,0.932,10.556,0.262,0.890,7.542,,1.062,1.0,114,b'0000',0.181211,98.914737
