ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
21.7003648,-8.6633528,b'01h26m48.09s',b'-08d39m48.07s',0.2059,0.2044,-0.1021,14.544,0.079,13.7,1.467,14.050,0.228,4.8,0.629,1,0,b'0000',b'AB',10,58834.34340372,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.021071,241.423928
21.7003590,-8.6633525,b'01h26m48.09s',b'-08d39m48.07s',0.2116,0.2002,-0.0740,14.458,0.072,15.1,0.972,14.048,0.208,5.2,0.697,1,0,b'0000',b'AB',10,57745.86431960,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.040192,257.052908
21.7003901,-8.6633545,b'01h26m48.09s',b'-08d39m48.08s',0.2145,0.1951,-0.0727,14.532,0.070,15.5,0.963,13.908,0.143,7.6,0.676,1,0,b'0000',b'AB',10,57746.12638163,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.073316,102.760224
21.7003708,-8.6633295,b'01h26m48.09s',b'-08d39m47.99s',0.1997,0.1935,-0.0688,14.503,0.068,16.0,1.146,13.842,0.120,9.1,0.760,1,0,b'0000',b'AB',10,58834.93208730,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.07383,2.209326
21.7003790,-8.6633305,b'01h26m48.09s',b'-08d39m47.99s',0.2230,0.2270,-0.0676,14.645,0.076,14.2,1.041,14.269,0.200,5.4,0.906,1,0,b'0000',b'AB',10,57386.53851312,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.077146,24.525912
21.7003784,-8.6633717,b'01h26m48.09s',b'-08d39m48.14s',0.2769,0.2435,-0.0867,14.778,0.084,12.9,0.617,14.339,0.188,5.8,0.545,1,0,b'0000',b'AB',10,57028.31106878,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.083667,159.059144
21.7003659,-8.6633246,b'01h26m48.09s',b'-08d39m47.97s',0.2689,0.3065,-0.1779,14.589,0.101,10.8,0.354,14.500,0.235,4.6,0.946,1,0,b'0000',b'AB',10,57942.15263272,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.092616,350.933432
21.7003957,-8.6633598,b'01h26m48.09s',b'-08d39m48.10s',0.2108,0.2141,-0.0456,14.673,0.074,14.7,1.181,14.018,0.186,5.9,0.765,1,0,b'0000',b'AB',10,58106.49902690,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.098018,111.092821
21.7003998,-8.6633542,b'01h26m48.10s',b'-08d39m48.08s',0.3086,0.2911,-0.1270,14.794,0.111,9.8,0.570,13.634,0.160,6.8,0.733,1,0,b'0000',b'BB',10,56849.09743296,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.107135,98.113768
21.7003714,-8.6633806,b'01h26m48.09s',b'-08d39m48.17s',0.2351,0.2317,-0.0563,14.589,0.078,13.9,1.201,14.068,0.180,6.0,0.474,1,0,b'0000',b'AB',5,56660.31418669,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.110264,177.410298
21.7003395,-8.6633622,b'01h26m48.08s',b'-08d39m48.10s',0.2107,0.1887,-0.0641,14.331,0.064,17.1,1.302,13.994,0.164,6.6,0.410,1,0,b'0000',b'AB',10,58673.46221936,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.117079,247.970929
21.7003938,-8.6633272,b'01h26m48.09s',b'-08d39m47.98s',0.2249,0.1946,-0.0624,14.543,0.069,15.7,0.848,14.046,0.155,7.0,0.523,1,0,b'0000',b'AB',10,58835.06286343,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.117963,45.900827
21.7003501,-8.6633766,b'01h26m48.08s',b'-08d39m48.16s',0.2021,0.2175,-0.0895,14.334,0.069,15.7,1.752,13.937,0.273,4.0,0.562,1,0,b'0000',b'AB',10,58470.48545142,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.119119,216.486056
21.7004018,-8.6633388,b'01h26m48.10s',b'-08d39m48.02s',0.1988,0.2032,-0.0620,14.519,0.071,15.3,0.613,13.973,0.147,7.4,0.437,1,0,b'0000',b'AB',10,58309.55073801,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.120145,70.390743
21.7004032,-8.6633580,b'01h26m48.10s',b'-08d39m48.09s',0.2498,0.2372,-0.0454,14.631,0.077,14.0,1.150,14.408,0.225,4.8,1.035,1,0,b'0000',b'AB',10,57028.17965573,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.12163,103.698443
21.7003971,-8.6633729,b'01h26m48.10s',b'-08d39m48.14s',0.2252,0.1862,-0.0622,14.408,0.066,16.5,1.293,14.168,0.192,5.6,1.295,1,0,b'0000',b'AB',10,58308.83089345,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.126876,130.522865
21.7003404,-8.6633707,b'01h26m48.08s',b'-08d39m48.13s',0.3028,0.3945,-0.2035,14.754,0.111,9.7,0.861,14.730,0.402,2.7,0.762,1,0,b'0000',b'BC',10,57211.19237051,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.129054,234.724585
21.7003949,-8.6633205,b'01h26m48.09s',b'-08d39m47.95s',0.2550,0.2352,-0.1080,14.602,0.094,11.6,0.772,13.788,0.133,8.1,0.516,1,0,b'0000',b'AB',10,57746.25728531,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.138311,39.842885
21.7003960,-8.6633802,b'01h26m48.10s',b'-08d39m48.17s',0.2914,0.2637,-0.0822,14.733,0.088,12.4,0.516,14.423,0.219,5.0,0.605,1,0,b'0000',b'AB',10,56661.17066368,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.142781,139.598752
21.7003564,-8.6633099,b'01h26m48.09s',b'-08d39m47.92s',0.1978,0.2137,-0.0964,14.477,0.072,15.1,0.568,14.122,0.182,6.0,0.604,1,0,b'0000',b'AB',10,59037.71126171,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.152259,341.464595
21.7003283,-8.6633374,b'01h26m48.08s',b'-08d39m48.01s',0.2562,0.2460,0.0413,14.692,0.081,13.4,0.830,14.408,0.349,3.1,0.384,1,0,b'0000',b'AB',10,59037.44971020,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.155178,286.995536
21.7004087,-8.6633301,b'01h26m48.10s',b'-08d39m47.99s',0.2322,0.2253,-0.0845,14.661,0.082,13.3,0.600,14.212,0.202,5.4,0.915,1,0,b'0000',b'AB',10,59037.77671330,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.155239,62.518964
21.7003703,-8.6633934,b'01h26m48.09s',b'-08d39m48.22s',0.2185,0.2334,-0.0556,14.443,0.079,13.7,1.281,13.859,0.199,5.4,0.889,1,0,b'0000',b'AB',5,58673.00431286,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.15624,179.608471
21.7003547,-8.6633913,b'01h26m48.09s',b'-08d39m48.21s',0.2128,0.2084,-0.0620,14.429,0.069,15.7,0.616,13.903,0.169,6.4,1.014,1,0,b'0000',b'AB',10,58467.34504036,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.158342,200.114409
21.7003303,-8.6633293,b'01h26m48.08s',b'-08d39m47.99s',0.2570,0.2125,-0.0690,14.613,0.074,14.7,1.227,14.227,0.190,5.7,0.867,1,0,b'0000',b'AB',10,57387.06302000,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.159738,297.808429
21.7004026,-8.6633180,b'01h26m48.10s',b'-08d39m47.94s',0.3334,0.2830,-0.0588,14.671,0.103,10.6,0.861,14.093,0.188,5.8,0.788,1,0,b'0000',b'AB',5,57577.74520252,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.163508,45.203437
21.7003229,-8.6633453,b'01h26m48.08s',b'-08d39m48.04s',0.2017,0.2032,-0.0616,14.499,0.069,15.7,1.478,14.289,0.294,3.7,0.408,1,0,b'0000',b'AB',10,58673.39689512,214009101351047155,14.630,0.031,14.159,0.045,10.597,0.093,8.226,0.249,1318990879,16.421,0.1198,15.768,0.1615,14.947,0.1219,0.168487,275.763873
