source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10657b139',55532.04892210,14.807,0.097,1.158,13.986,0.144,1.177,,,,,,,1.0,61,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10660a046',55532.11501060,14.876,0.100,1.233,13.707,0.111,1.045,,,,,,,1.0,48,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10656a113',55531.98270640,14.862,0.099,1.214,13.720,0.112,1.040,,,,,,,1.0,79,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10656a115',55531.98283380,14.667,0.097,1.193,14.107,0.153,1.338,,,,,,,1.0,78,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04898a165',55341.59766850,14.573,0.077,1.401,13.608,0.103,1.127,11.135,0.454,1.010,7.492,,0.992,1.0,51,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10653b139',55531.91661790,14.899,0.100,1.271,14.116,0.187,1.352,,,,,,,1.0,99,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10649b139',55531.78444100,14.877,0.117,1.236,13.788,0.123,1.037,,,,,,,1.0,119,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04913a140',55342.06066860,14.749,0.092,1.138,13.615,0.105,1.118,10.857,0.352,1.056,7.354,,0.950,1.0,57,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10649b138',55531.78431370,14.925,0.104,1.317,13.897,0.130,1.091,,,,,,,1.0,119,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04917a100',55342.19297240,14.652,0.079,1.214,13.743,0.117,1.035,11.389,0.541,1.004,6.799,,0.974,1.0,95,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04909a140',55341.92836460,14.765,0.087,1.140,13.593,0.114,1.147,10.702,,1.014,7.331,,0.952,1.0,31,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10642a063',55531.51983250,14.696,0.086,1.161,14.052,0.164,1.259,,,,,,,1.0,43,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10645b139',55531.65213680,15.091,0.152,1.730,13.819,0.123,1.045,,,,,,,1.0,77,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10652a114',55531.85052950,14.669,0.080,1.190,13.957,0.134,1.145,,,,,,,1.0,119,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04921a140',55342.32527630,14.627,0.076,1.260,13.865,0.137,1.068,10.930,,1.048,7.360,,0.953,1.0,124,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04890a165',55341.33306060,14.651,0.081,1.216,13.730,0.149,1.037,10.703,0.308,1.109,7.120,,0.952,1.0,122,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04895a101',55341.46536460,14.580,0.076,1.380,13.547,0.094,1.226,10.786,,1.027,7.562,0.442,1.000,1.0,82,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04906a165',55341.86227630,14.798,0.094,1.152,13.488,0.095,1.364,11.081,0.507,1.015,7.484,0.392,1.018,1.0,27,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04887a095',55341.20075670,14.744,0.087,1.139,13.633,0.100,1.097,10.768,0.397,1.083,7.409,,1.022,1.0,97,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04902a165',55341.72997240,14.844,0.101,1.193,13.375,0.090,1.775,10.764,,1.017,7.779,,1.006,1.0,35,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04905a140',55341.79606070,14.400,0.071,2.344,13.638,0.116,1.092,10.780,,1.019,7.500,0.379,1.014,1.0,26,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10672a068',55532.51180020,14.844,0.093,1.192,13.753,0.115,1.034,,,,,,,1.0,41,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'04901a140',55341.66375670,14.738,0.080,1.140,13.749,0.110,1.035,10.833,,1.025,7.579,,0.987,1.0,44,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10664a114',55532.24731490,14.878,0.095,1.237,13.800,0.135,1.039,,,,,,,1.0,31,b'0000',0.270441,358.675798
b'1627p151_ac51-042950',163.0147882,15.3249051,b'10h52m03.55s',b'15d19m29.66s',1,0,b'0000',b'10668a114',55532.37961910,14.924,0.104,1.314,14.012,0.141,1.209,,,,,,,1.0,23,b'0000',0.270441,358.675798
