ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
234.3919640,46.2330417,b'15h37m34.07s',b'46d13m58.95s',0.2228,0.2374,-0.0649,14.614,0.072,15.0,1.473,15.128,0.445,2.4,0.269,1,0,b'0000',b'AC',10,57773.92117774,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.0115,58.433251
234.3919676,46.2330405,b'15h37m34.07s',b'46d13m58.95s',0.2742,0.3395,-0.0418,14.890,0.122,8.9,0.661,14.333,0.201,5.4,0.350,1,0,b'0000',b'BB',10,57215.89151013,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.018947,84.566993
234.3919583,46.2330467,b'15h37m34.07s',b'46d13m58.97s',0.1983,0.2273,-0.0804,14.582,0.070,15.6,0.767,13.923,0.160,6.8,0.420,1,0,b'0000',b'AB',10,56858.08568458,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.024396,350.045251
234.3919578,46.2330331,b'15h37m34.07s',b'46d13m58.92s',0.2326,0.2485,-0.0654,14.692,0.075,14.5,0.878,14.495,0.215,5.1,0.585,1,0,b'0000',b'AB',10,58138.59778747,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.025345,192.437507
234.3919570,46.2330478,b'15h37m34.07s',b'46d13m58.97s',0.2165,0.2428,-0.0592,14.828,0.080,13.5,1.722,14.137,0.139,7.8,0.902,1,0,b'0000',b'AB',5,57406.69058870,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.028996,345.101641
234.3919569,46.2330490,b'15h37m34.07s',b'46d13m58.98s',0.2584,0.2706,-0.0733,14.781,0.088,12.4,1.271,14.287,0.171,6.3,0.553,1,0,b'0000',b'AB',5,57936.30158745,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.033246,346.598491
234.3919578,46.2330505,b'15h37m34.07s',b'46d13m58.98s',0.3009,0.3152,-0.1171,14.970,0.097,11.2,0.936,14.477,0.262,4.1,0.570,1,0,b'0000',b'AB',10,58137.87781676,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.038142,351.75336
234.3919541,46.2330498,b'15h37m34.07s',b'46d13m58.98s',0.2751,0.3296,-0.0965,15.067,0.109,10.0,0.586,14.331,0.181,6.0,0.813,1,0,b'0000',b'AB',10,58868.83939933,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.038266,337.390825
234.3919773,46.2330407,b'15h37m34.07s',b'46d13m58.95s',0.2497,0.2693,0.0773,14.976,0.095,11.5,0.820,14.425,0.205,5.3,0.799,1,0,b'0000',b'AB',10,58869.68976334,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.04314,86.652303
234.3919653,46.2330531,b'15h37m34.07s',b'46d13m58.99s',0.2243,0.2691,0.1064,14.911,0.092,11.8,0.905,13.993,0.153,7.1,0.530,1,0,b'0000',b'AB',5,57575.42790935,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.048985,15.634749
234.3919458,46.2330286,b'15h37m34.07s',b'46d13m58.90s',0.1936,0.2973,0.0881,14.718,0.080,13.5,1.022,14.103,0.163,6.7,0.486,1,0,b'0000',b'AB',5,57217.07231300,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.054203,220.749007
234.3919678,46.2330258,b'15h37m34.07s',b'46d13m58.89s',0.2701,0.3136,-0.1125,14.974,0.098,11.1,0.607,14.390,0.193,5.6,0.705,1,0,b'0000',b'AB',5,58299.18696932,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.054724,159.195074
234.3919527,46.2330556,b'15h37m34.07s',b'46d13m59.00s',0.1870,0.2246,0.0496,14.656,0.073,14.9,0.600,14.084,0.170,6.4,0.280,1,0,b'0000',b'AB',10,57407.21509049,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.059042,342.063617
234.3919849,46.2330397,b'15h37m34.08s',b'46d13m58.94s',0.2093,0.2408,-0.0516,14.807,0.077,14.0,0.897,14.056,0.132,8.2,0.610,1,0,b'0000',b'AB',5,57217.33475590,2334146901351000102,14.885,0.028,14.280,0.035,11.013,0.072,8.873,0.259,258364531,16.755,0.1441,15.894,0.1543,15.423,0.2177,0.062007,90.997843
