source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09320a073',55487.80050300,16.540,,1.067,15.517,,0.932,,,,,,,1.0,120,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09320a074',55487.80063030,16.612,0.326,1.046,15.569,,1.083,,,,,,,1.0,120,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09313b098',55487.60211060,16.554,,1.067,15.184,,0.981,,,,,,,1.0,81,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09316a074',55487.66832630,16.561,,1.072,15.584,,0.932,,,,,,,1.0,93,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09309b099',55487.46993400,17.143,0.514,1.034,15.882,,1.040,,,,,,,1.0,64,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09312a074',55487.53602230,16.484,0.318,1.080,15.810,,0.936,,,,,,,1.0,72,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09305b099',55487.33763010,16.714,,1.133,15.372,,0.938,,,,,,,1.0,61,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09308a073',55487.40371840,16.965,,1.227,15.686,,0.938,,,,,,,1.0,62,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09301b098',55487.20532610,16.796,0.391,1.024,15.412,,0.940,,,,,,,1.0,74,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09304a074',55487.27154170,16.489,0.294,1.078,15.448,,0.937,,,,,,,1.0,65,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09298a021',55487.07302220,17.031,0.475,1.026,15.841,,1.045,,,,,,,1.0,91,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09298a022',55487.07314950,16.854,,1.167,15.786,,0.933,,,,,,,1.0,90,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09324a074',55487.93280700,16.734,0.368,1.029,15.835,,1.006,,,,,,,1.0,114,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09293b099',55486.94084550,17.032,0.484,1.026,15.601,,0.935,,,,,,,1.0,113,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03533a127',55296.41943250,16.320,,1.029,15.741,,1.099,11.495,,0.980,7.969,,1.017,1.0,105,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03518a204',55295.95630450,16.175,0.276,1.266,14.912,,1.068,11.173,0.427,1.260,7.898,,1.045,1.0,70,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03506a205',55295.55939210,16.703,,1.162,15.345,,0.943,11.435,,0.979,7.758,,0.993,1.0,86,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03514a204',55295.82400030,16.410,,1.042,15.206,,0.972,10.833,,1.071,7.801,0.482,1.132,1.0,63,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03517a181',55295.89021610,16.386,0.292,1.120,15.386,,0.931,11.308,,0.981,7.328,,0.995,1.0,64,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03510a204',55295.69169620,16.647,0.376,1.040,15.217,,0.953,11.365,,1.079,7.251,,1.036,1.0,68,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03513a181',55295.75791190,16.162,0.248,1.279,15.563,,0.932,11.284,,0.986,7.852,,1.006,1.0,63,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03503a133',55295.42708800,16.990,0.483,1.024,15.617,,0.941,11.253,,0.982,7.888,,1.004,1.0,104,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03521a181',55296.02252020,16.728,0.405,1.029,15.113,,0.968,11.454,,1.007,7.539,,0.992,1.0,79,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03529a181',55296.28712830,16.530,0.334,1.065,15.601,0.519,1.100,11.457,,1.005,7.872,,1.046,1.0,127,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03498a205',55295.29478380,16.398,0.269,1.114,15.478,,0.937,11.284,,1.066,7.501,,1.009,1.0,128,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03522a205',55296.08873590,16.807,0.412,1.024,15.769,,0.939,11.535,,0.983,7.633,,0.995,1.0,91,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03525a139',55296.15482420,16.400,,1.043,15.507,,0.931,11.439,,0.980,7.578,,0.998,1.0,103,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'09289b099',55486.80854150,16.661,0.353,1.037,15.807,,0.943,,,,,,,1.0,121,b'0000',7.883679,40.378846
b'1276p545_ac51-042958',127.1807078,54.7442482,b'08h28m43.37s',b'54d44m39.29s',1,0,b'0000',b'03522a204',55296.08860850,16.386,,1.041,15.136,,0.969,11.539,,0.979,7.615,,0.994,1.0,90,b'0000',7.883679,40.378846
