source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'09385b113',55489.98460210,12.675,0.033,7.515,12.296,0.039,2.046,,,,,,,1.0,98,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'09388a051',55490.05069040,12.619,0.027,7.751,12.304,0.041,2.054,,,,,,,1.0,86,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'09381b112',55489.85229800,12.673,0.027,7.517,12.206,0.040,2.235,,,,,,,1.0,130,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'09384a087',55489.91838640,12.587,0.034,8.063,12.258,0.040,2.059,,,,,,,1.0,114,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'03595a115',55298.46868180,12.775,0.037,7.940,12.276,0.041,2.042,9.237,0.078,1.272,7.179,0.324,1.006,1.0,93,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'09377b112',55489.71999410,12.607,0.031,7.845,12.266,0.039,2.049,,,,,,,1.0,104,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'03597a167',55298.53489760,12.726,0.032,7.611,12.286,0.047,2.041,9.349,0.084,1.515,7.056,0.248,1.013,1.0,82,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'03595a116',55298.46880920,12.678,0.034,7.513,12.349,0.051,2.168,9.052,0.066,1.238,7.691,0.466,1.084,1.0,93,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'03601a167',55298.66720160,12.739,0.030,7.677,12.356,0.048,2.196,9.041,0.070,1.255,6.845,0.215,1.076,1.0,66,b'0000',0.390805,241.49928
b'1278p454_ac51-042499',127.1781133,45.7425282,b'08h28m42.75s',b'45d44m33.10s',1,0,b'0000',b'03598a192',55298.60111330,12.626,0.035,7.694,12.246,0.043,2.083,9.069,0.067,1.217,6.954,0.291,1.034,1.0,75,b'0000',0.390805,241.49928
