ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
147.1600862,40.5121041,b'09h48m38.42s',b'40d30m43.57s',0.0590,0.0594,-0.0120,11.860,0.026,42.2,16.460,11.520,0.032,34.1,4.034,1,0,b'0000',b'AA',10,58952.14559169,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.128209,99.53519
147.1600632,40.5121438,b'09h48m38.42s',b'40d30m43.72s',0.0463,0.0544,-0.0149,12.022,0.021,50.9,28.350,11.558,0.030,36.0,8.954,1,0,b'0000',b'AA',5,57140.88293426,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.137249,27.557396
147.1600857,40.5121309,b'09h48m38.42s',b'40d30m43.67s',0.0478,0.0487,0.0143,11.883,0.024,45.1,19.240,11.403,0.026,41.4,4.177,1,0,b'0000',b'AA',10,57141.07992705,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.145955,58.971479
147.1600939,40.5121250,b'09h48m38.42s',b'40d30m43.65s',0.0436,0.0528,0.0114,11.786,0.024,44.8,18.170,11.351,0.026,41.1,2.980,1,0,b'0000',b'AA',10,56779.05687382,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.157084,69.895042
147.1600907,40.5121386,b'09h48m38.42s',b'40d30m43.70s',0.0462,0.0558,-0.0147,11.908,0.022,48.6,20.110,11.514,0.028,38.9,4.106,1,0,b'0000',b'AA',10,57861.06716482,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.172778,53.425379
147.1600984,40.5121299,b'09h48m38.42s',b'40d30m43.67s',0.0506,0.0526,-0.0201,11.933,0.021,52.1,17.810,11.580,0.031,35.5,3.573,1,0,b'0000',b'AA',10,57860.60887484,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.175167,65.857992
147.1600903,40.5121409,b'09h48m38.42s',b'40d30m43.71s',0.0484,0.0546,-0.0170,11.843,0.024,45.6,17.470,11.476,0.028,38.9,5.740,1,0,b'0000',b'AA',10,58584.72887581,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.176992,51.06099
147.1601009,40.5121391,b'09h48m38.42s',b'40d30m43.70s',0.0436,0.0438,-0.0124,11.814,0.019,58.5,16.590,11.357,0.040,27.4,1.743,1,0,b'0000',b'AA',10,56779.32008161,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.196877,57.850416
147.1600943,40.5121511,b'09h48m38.42s',b'40d30m43.74s',0.0501,0.0492,-0.0165,11.898,0.024,45.8,14.500,11.555,0.031,34.9,4.334,1,0,b'0000',b'AA',10,57860.54342311,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.209703,45.126961
147.1600507,40.5121682,b'09h48m38.41s',b'40d30m43.81s',0.0451,0.0514,-0.0159,11.929,0.022,48.4,18.780,11.648,0.029,38.0,4.013,1,0,b'0000',b'AA',10,58221.63626343,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.211564,7.95693
147.1600723,40.5121634,b'09h48m38.42s',b'40d30m43.79s',0.0444,0.0482,-0.0096,11.896,0.022,49.7,19.110,11.561,0.033,33.4,6.504,1,0,b'0000',b'AA',10,57499.41813498,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.211587,24.695927
147.1601032,40.5121443,b'09h48m38.42s',b'40d30m43.72s',0.0489,0.0504,-0.0212,11.971,0.020,54.2,20.190,11.628,0.029,37.2,3.108,1,0,b'0000',b'AA',10,58221.17771854,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.212522,54.478643
147.1600943,40.5121528,b'09h48m38.42s',b'40d30m43.75s',0.0560,0.0641,-0.0200,12.502,0.025,43.0,27.150,12.015,0.036,30.2,9.132,2,0,b'0000',b'AA',0,56779.71495697,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.214073,43.966088
147.1601127,40.5121335,b'09h48m38.43s',b'40d30m43.68s',0.0401,0.0429,0.0016,11.801,0.020,53.6,16.910,11.341,0.031,35.4,3.875,1,0,b'0000',b'AA',10,56778.59616469,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.216224,66.966054
147.1600998,40.5121495,b'09h48m38.42s',b'40d30m43.74s',0.0644,0.0610,-0.0210,11.934,0.029,36.9,16.780,11.586,0.031,34.8,6.348,1,0,b'0000',b'AA',10,58430.33971654,1463140801351024210,11.795,0.025,11.332,0.023,8.072,0.023,5.727,0.061,211275366,13.909,0.0410,13.168,0.0458,12.592,0.0339,0.216813,49.015273
