source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07517a181',55428.19199320,11.396,0.026,3.203,11.092,0.027,2.833,,,,,,,1.0,97,b'0011',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02017b079',55246.28740430,11.304,0.025,3.181,11.035,0.028,3.210,7.410,0.024,1.647,4.160,0.025,0.902,1.0,34,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07495a148',55427.46437190,11.382,0.026,3.193,11.160,0.029,2.919,,,,,,,1.0,84,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07498a225',55427.59668760,11.360,0.025,3.182,11.164,0.027,2.942,,,,,,,1.0,55,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02013b079',55246.15510020,11.274,0.024,3.199,11.082,0.026,2.865,7.409,0.029,1.647,4.137,0.037,0.899,1.0,52,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07490a224',55427.33206790,11.380,0.023,3.192,11.107,0.025,2.804,,,,,,,1.0,123,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07493a201',55427.39828360,11.366,0.023,3.184,11.110,0.036,2.802,,,,,,,1.0,103,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07487a148',55427.19976380,11.345,0.026,3.177,11.157,0.030,2.905,,,,,,,1.0,99,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07489a201',55427.26597950,11.313,0.025,3.178,11.164,0.029,2.939,,,,,,,1.0,120,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07482a224',55427.06745980,11.349,0.035,3.178,11.099,0.041,2.816,,,,,,,1.0,63,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07482a225',55427.06758710,11.264,0.028,3.209,11.150,0.032,2.873,,,,,,,1.0,63,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02013b078',55246.15497290,11.324,0.025,3.177,11.103,0.029,2.809,7.414,0.028,1.634,4.134,0.028,0.902,1.0,53,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07478a225',55426.93528300,11.372,0.025,3.187,11.137,0.029,2.830,,,,,,,1.0,37,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02009b078',55246.02266870,11.319,0.023,3.177,11.058,0.025,3.005,7.439,0.026,1.618,4.177,0.040,0.929,1.0,75,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02012a054',55246.08888450,11.333,0.024,3.176,11.048,0.025,3.085,7.429,0.028,1.614,4.192,0.050,0.966,1.0,61,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02001b079',55245.75806050,11.286,0.024,3.191,11.018,0.025,3.409,7.440,0.026,1.619,4.135,0.049,0.901,1.0,112,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02005b079',55245.89036460,11.377,0.021,3.190,11.056,0.027,3.016,7.468,0.022,1.706,4.167,0.041,0.910,1.0,112,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07474a225',55426.80297890,11.328,0.028,3.176,11.152,0.035,2.881,,,,,,,1.0,31,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'01997b079',55245.62575640,11.296,0.022,3.185,11.034,0.030,3.215,,,,,,,1.0,73,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07414a222',55424.81854530,11.336,0.022,3.176,11.145,0.026,2.855,,,,,,,1.0,31,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07417a198',55424.88476110,11.290,0.025,3.188,11.125,0.027,2.807,,,,,,,1.0,32,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07410a222',55424.68624120,11.352,0.023,3.179,11.141,0.026,2.840,,,,,,,1.0,46,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07413a198',55424.75245690,11.347,0.022,3.178,11.099,0.036,2.815,,,,,,,1.0,36,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07406a222',55424.55393710,11.351,0.026,3.179,11.145,0.029,2.853,,,,,,,1.0,62,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07409a198',55424.62015280,11.326,0.024,3.176,11.149,0.032,2.869,,,,,,,1.0,53,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07398a223',55424.28945630,11.253,0.024,3.220,11.153,0.031,2.884,,,,,,,1.0,128,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07402a222',55424.42163310,11.331,0.027,3.176,11.162,0.030,2.931,,,,,,,1.0,96,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07395a150',55424.15715220,11.332,0.028,3.176,11.117,0.035,2.801,,,,,,,1.0,87,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07398a222',55424.28932900,11.305,0.024,3.181,11.166,0.035,2.953,,,,,,,1.0,128,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02032a054',55246.75053240,11.334,0.022,3.176,11.080,0.028,2.875,7.416,0.024,1.630,4.142,0.030,0.897,1.0,109,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02036a054',55246.88283660,11.315,0.023,3.178,11.110,0.023,2.802,7.436,0.023,1.615,4.134,0.027,0.902,1.0,114,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07513a201',55428.05968890,11.397,0.024,3.204,11.138,0.034,2.832,,,,,,,1.0,61,b'0011',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02016a054',55246.22118860,11.371,0.022,3.186,11.060,0.027,2.991,7.453,0.024,1.647,4.101,0.039,0.977,1.0,44,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02026a041',55246.55201260,11.286,0.023,3.191,11.144,0.023,2.849,7.407,0.023,1.656,4.117,0.044,0.930,1.0,56,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02028a054',55246.61822830,11.295,0.024,3.185,11.145,0.028,2.855,,,,,,,1.0,71,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07505a200',55427.79508030,11.436,0.030,3.244,11.132,0.030,2.818,,,,,,,1.0,31,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07509a200',55427.92738460,11.312,0.020,3.179,11.185,0.028,3.077,,,,,,,0.5,36,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02020a054',55246.35349280,11.401,0.028,3.207,11.047,0.027,3.092,7.430,0.026,1.614,4.123,0.035,0.917,1.0,32,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'02024a023',55246.48592420,11.194,0.024,3.319,10.992,0.029,3.802,7.435,0.028,1.615,4.231,0.048,1.137,1.0,42,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07501a200',55427.66277600,11.219,0.039,3.270,11.144,0.029,2.851,,,,,,,1.0,48,b'0000',0.361156,238.24325
b'2477p242_ac51-036767',247.4702663,24.4439472,b'16h29m52.86s',b'24d26m38.21s',1,0,b'0000',b'07502a225',55427.72899190,11.319,0.025,3.177,11.189,0.030,3.110,,,,,,,0.5,39,b'0000',0.361156,238.24325
