ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
247.4703405,24.4440067,b'16h29m52.88s',b'24d26m38.42s',0.0433,0.0442,0.0153,11.375,0.024,44.7,15.860,10.994,0.022,50.3,5.149,1,0,b'0000',b'AA',10,58532.60608071,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.068314,290.677478
247.4703352,24.4439921,b'16h29m52.88s',b'24d26m38.37s',0.0454,0.0437,0.0124,11.372,0.023,47.9,18.980,10.932,0.025,43.5,4.737,1,0,b'0000',b'AA',5,57801.56191726,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.086115,250.714432
247.4703602,24.4439694,b'16h29m52.89s',b'24d26m38.29s',0.0442,0.0432,-0.0141,11.639,0.018,58.9,53.370,11.297,0.025,43.0,11.470,1,0,b'0000',b'AA',0,58899.19106168,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.110178,179.659088
247.4703610,24.4439644,b'16h29m52.89s',b'24d26m38.27s',0.0353,0.0393,-0.0092,11.273,0.018,58.8,18.870,10.855,0.020,55.0,5.932,1,0,b'0000',b'AA',10,58330.59330860,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.128209,178.535146
247.4703344,24.4439692,b'16h29m52.88s',b'24d26m38.29s',0.0483,0.0407,-0.0132,11.360,0.021,51.7,12.500,10.880,0.023,48.0,2.367,1,0,b'0000',b'AA',10,57970.80069769,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.139061,217.113635
247.4703385,24.4439643,b'16h29m52.88s',b'24d26m38.27s',0.0408,0.0447,-0.0119,11.427,0.022,48.7,11.140,11.061,0.024,44.5,5.796,1,0,b'0000',b'AA',10,56889.46108743,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.146568,208.734192
247.4703891,24.4439660,b'16h29m52.89s',b'24d26m38.28s',0.0444,0.0438,-0.0060,11.688,0.020,54.4,82.090,11.436,0.026,41.1,17.330,1,0,b'0000',b'AA',0,56708.23466909,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.155178,142.075469
247.4703133,24.4439895,b'16h29m52.88s',b'24d26m38.36s',0.0402,0.0420,-0.0070,11.386,0.021,51.8,14.820,11.000,0.023,48.2,2.680,1,0,b'0000',b'AA',10,58695.34851920,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.157654,256.126905
247.4703193,24.4439756,b'16h29m52.88s',b'24d26m38.31s',0.0372,0.0396,-0.0104,11.250,0.019,57.8,19.890,10.832,0.025,43.4,4.573,1,0,b'0000',b'AA',5,58330.72421183,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.159708,236.633681
247.4703195,24.4439744,b'16h29m52.88s',b'24d26m38.31s',0.0418,0.0444,-0.0110,11.579,0.021,51.1,20.300,11.137,0.024,45.4,3.096,1,0,b'0000',b'AA',10,58899.45274144,2477124201351036767,11.331,0.066,11.115,0.021,7.431,0.018,4.147,0.027,1027714247,13.333,0.0313,12.589,0.0356,12.223,0.0332,0.16159,235.226424
