source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'01369b112',55224.85286920,11.649,0.027,18.690,11.082,0.028,7.841,8.446,0.050,2.016,6.144,0.122,0.999,1.0,117,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'01373b112',55224.98517350,11.689,0.025,18.180,11.149,0.024,6.355,8.505,0.045,2.122,6.249,0.140,1.007,1.0,76,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'01365b111',55224.72043750,11.632,0.030,18.980,11.131,0.028,6.691,8.474,0.049,2.049,6.409,0.138,1.108,1.0,97,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'01369b111',55224.85274190,11.684,0.032,18.240,11.191,0.027,5.779,8.426,0.041,2.015,6.258,0.120,1.010,1.0,117,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'06825a171',55405.30173870,11.747,0.028,17.890,11.218,0.028,5.547,8.400,0.042,2.041,6.101,0.127,1.014,1.0,126,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'06829a113',55405.43404300,11.714,0.025,18.000,11.279,0.028,5.337,8.445,0.043,2.016,6.299,0.134,1.029,1.0,88,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'06831a151',55405.50013120,11.749,0.022,17.880,11.235,0.027,5.443,8.411,0.038,2.026,6.019,0.132,1.076,1.0,68,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12476a085',55592.15891000,11.805,0.032,18.030,11.505,0.034,7.614,,,,,,,0.5,38,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12480a084',55592.29108690,11.875,0.034,18.700,11.543,0.044,8.333,,,,,,,0.5,21,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12484a031',55592.42339110,11.883,0.035,18.810,11.558,0.050,8.645,,,,,,,1.0,22,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'06826a194',55405.36782690,11.740,0.024,17.900,11.256,0.027,5.365,8.411,0.040,2.025,5.968,0.107,1.143,1.0,109,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12472a084',55592.02660570,11.929,0.030,19.540,11.496,0.038,7.458,,,,,,,1.0,63,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12473b109',55592.09269420,11.862,0.029,18.550,11.525,0.032,7.991,,,,,,,0.5,48,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'06822a194',55405.23552310,11.740,0.024,17.900,11.247,0.027,5.391,8.383,0.041,2.078,6.148,0.144,0.998,1.0,105,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12465b109',55591.82821300,11.978,0.034,20.500,11.565,0.039,8.783,,,,,,,0.5,124,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12468a084',55591.89430140,11.883,0.028,18.810,11.460,0.041,6.855,,,,,,,1.0,103,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12461b108',55591.69590870,11.915,0.033,19.310,11.470,0.037,7.021,,,,,,,0.5,89,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12464a084',55591.76212450,11.862,0.035,18.540,11.457,0.034,6.809,,,,,,,0.5,111,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12454a063',55591.43142750,11.886,0.025,18.860,11.522,0.034,7.931,,,,,,,0.5,23,b'0000',0.137489,240.51009
b'2261p106_ac51-013017',225.4116362,10.4203912,b'15h01m38.79s',b'10d25m13.41s',1,0,b'0000',b'12457b109',55591.56373180,11.899,0.030,19.040,11.509,0.040,7.689,,,,,,,0.5,50,b'0000',0.137489,240.51009
