ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
103.0513167,74.4270296,b'06h52m12.32s',b'74d25m37.31s',0.0317,0.0253,-0.0103,8.252,0.020,54.8,22.830,7.339,0.014,80.0,28.770,1,0,b'0000',b'AA',5,58024.89267627,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.295959,119.433679
103.0512440,74.4270063,b'06h52m12.30s',b'74d25m37.22s',0.0271,0.0224,-0.0105,8.023,0.015,73.9,3.347,7.354,0.012,87.9,10.860,1,0,b'0000',b'AA',10,57299.80355023,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.296215,140.729858
103.0513306,74.4270245,b'06h52m12.32s',b'74d25m37.29s',0.0247,0.0251,-0.0106,8.195,0.014,75.7,18.650,7.387,0.013,81.9,13.450,1,0,b'0000',b'AA',10,58025.35096627,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.316818,121.131778
103.0513032,74.4270019,b'06h52m12.31s',b'74d25m37.21s',0.0271,0.0258,-0.0108,9.057,0.014,79.5,5.653,8.158,0.015,74.2,1.130,1,0,b'0000',b'AA',10,58755.87268374,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.346389,135.052335
103.0513477,74.4270142,b'06h52m12.32s',b'74d25m37.25s',0.0256,0.0271,-0.0086,8.234,0.019,58.0,4.869,7.410,0.013,82.3,1.681,1,0,b'0000',b'AA',10,58024.89280363,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.350901,124.921829
103.0511799,74.4271635,b'06h52m12.28s',b'74d25m37.79s',0.0256,0.0262,-0.0116,8.724,0.013,80.8,132.200,7.862,0.013,83.3,102.800,1,0,b'0000',b'AA',0,58024.10712836,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.359255,20.454359
103.0513202,74.4269980,b'06h52m12.32s',b'74d25m37.19s',0.0285,0.0265,-0.0124,8.239,0.016,68.3,3.163,7.408,0.013,83.1,2.680,1,0,b'0000',b'AA',10,58024.69632109,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.367945,134.786077
103.0512935,74.4269874,b'06h52m12.31s',b'74d25m37.15s',0.0264,0.0235,-0.0086,8.224,0.016,69.6,4.019,7.392,0.013,82.1,2.467,1,0,b'0000',b'AA',10,58024.36906251,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.379224,141.641069
103.0513139,74.4269916,b'06h52m12.32s',b'74d25m37.17s',0.0299,0.0271,-0.0101,8.198,0.017,65.6,3.271,7.394,0.014,75.7,1.207,1,0,b'0000',b'AA',10,58024.76177279,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.380405,137.896581
103.0513283,74.4269947,b'06h52m12.32s',b'74d25m37.18s',0.0277,0.0244,-0.0080,9.739,0.015,72.5,16.670,8.759,0.014,79.3,5.213,1,0,b'0000',b'AA',10,59120.02924593,1005174201351048428,8.409,0.023,7.622,0.020,5.207,0.015,2.818,0.025,567843885,11.995,0.0353,10.959,0.0301,10.042,0.0228,0.38188,135.223713
