ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
214.4980825,25.1368121,b'14h17m59.54s',b'25d08m12.52s',0.0233,0.0263,-0.0026,9.128,0.014,75.3,260.200,8.338,0.014,76.9,105.600,1,0,b'0000',b'AA',0,56671.47817851,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.108188,42.666189
214.4980992,25.1368159,b'14h17m59.54s',b'25d08m12.54s',0.0257,0.0262,-0.0098,8.859,0.013,81.3,8.128,8.048,0.014,79.6,3.490,1,0,b'0000',b'AA',10,56850.84450523,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.158163,53.876819
214.4980763,25.1368374,b'14h17m59.54s',b'25d08m12.61s',0.0269,0.0253,-0.0102,9.009,0.016,66.3,9.749,8.110,0.013,81.6,1.571,1,0,b'0000',b'AA',10,57209.78541579,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.178718,17.29214
214.4981044,25.1368198,b'14h17m59.55s',b'25d08m12.55s',0.0240,0.0273,-0.0121,8.947,0.014,75.9,7.776,8.133,0.013,86.1,4.431,1,0,b'0000',b'AA',10,58656.68687223,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.180139,53.447381
214.4980905,25.1368338,b'14h17m59.54s',b'25d08m12.60s',0.0310,0.0267,-0.0073,8.779,0.018,60.0,4.774,7.980,0.014,79.4,10.370,1,0,b'0000',b'AA',10,57037.93299676,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.186402,32.227334
214.4980913,25.1368350,b'14h17m59.54s',b'25d08m12.61s',0.0244,0.0242,-0.0098,9.020,0.013,82.1,8.807,8.136,0.012,88.8,2.508,1,0,b'0000',b'AA',5,57210.17901672,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.191453,32.197946
214.4981015,25.1368285,b'14h17m59.54s',b'25d08m12.58s',0.0261,0.0269,-0.0115,9.089,0.014,75.5,14.460,8.213,0.013,85.2,7.985,1,0,b'0000',b'AA',5,58292.57317568,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.19366,44.29939
214.4981136,25.1368168,b'14h17m59.55s',b'25d08m12.54s',0.0251,0.0258,-0.0104,9.036,0.013,82.1,10.280,8.140,0.013,82.1,1.259,1,0,b'0000',b'AA',10,57210.04785884,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.19957,61.087878
214.4981070,25.1368263,b'14h17m59.55s',b'25d08m12.57s',0.0265,0.0231,-0.0047,9.065,0.019,57.1,21.460,8.167,0.012,93.2,11.490,1,0,b'0000',b'AA',5,58292.83498235,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.201337,49.531311
214.4981069,25.1368267,b'14h17m59.55s',b'25d08m12.58s',0.0273,0.0263,0.0043,8.975,0.018,60.0,8.880,8.136,0.013,83.3,2.945,1,0,b'0000',b'AA',10,58656.62142064,2150125701351007453,9.172,0.023,8.366,0.020,5.563,0.014,3.018,0.017,612944935,11.777,0.0246,10.872,0.0252,10.135,0.0228,0.20204,49.16065
