ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
146.4248450,-14.3262711,b'09h45m41.96s',b'-14d19m34.58s',0.0284,0.0223,-0.0056,8.391,0.018,59.0,78.040,7.667,0.012,92.9,66.770,1,0,b'0000',b'AA',0,58973.19365553,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.332132,287.115239
146.4248296,-14.3263284,b'09h45m41.96s',b'-14d19m34.78s',0.0244,0.0246,-0.0087,8.561,0.012,87.1,55.260,8.043,0.015,72.9,11.580,1,0,b'0000',b'AA',10,56800.10567979,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.339794,277.969587
146.4248256,-14.3263043,b'09h45m41.96s',b'-14d19m34.70s',0.0266,0.0269,-0.0129,8.268,0.015,74.7,49.770,7.613,0.013,80.9,14.080,1,0,b'0000',b'AA',5,58605.65305477,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.368218,281.488875
146.4248238,-14.3262573,b'09h45m41.96s',b'-14d19m34.53s',0.0256,0.0242,-0.0077,8.565,0.015,73.7,72.650,8.122,0.014,79.4,24.620,1,0,b'0000',b'AA',10,56799.64509934,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.417656,288.154697
146.4248076,-14.3263120,b'09h45m41.95s',b'-14d19m34.72s',0.0243,0.0228,-0.0107,8.776,0.014,76.3,75.520,8.269,0.011,98.2,30.020,1,0,b'0000',b'AA',10,57158.26596316,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.424778,279.893385
146.4248179,-14.3262666,b'09h45m41.96s',b'-14d19m34.56s',0.0261,0.0277,-0.0075,8.774,0.015,70.8,72.860,8.298,0.013,82.0,35.590,1,0,b'0000',b'AA',10,57158.13467785,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.427292,286.620025
146.4248079,-14.3262996,b'09h45m41.95s',b'-14d19m34.68s',0.0253,0.0267,-0.0115,8.570,0.014,75.5,36.730,7.932,0.012,87.4,11.350,1,0,b'0000',b'AA',10,57881.22426738,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.432099,281.660269
146.4248059,-14.3262842,b'09h45m41.95s',b'-14d19m34.62s',0.0256,0.0233,-0.0083,8.815,0.015,72.6,61.490,8.235,0.013,85.0,29.350,1,0,b'0000',b'AA',10,57158.52853382,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.4511,283.748901
146.4247988,-14.3263161,b'09h45m41.95s',b'-14d19m34.74s',0.0247,0.0263,-0.0106,8.275,0.018,61.2,26.540,7.649,0.012,91.5,13.000,1,0,b'0000',b'AA',10,58972.34341995,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.452616,279.111818
146.4248113,-14.3262615,b'09h45m41.95s',b'-14d19m34.54s',0.0227,0.0219,-0.0044,8.125,0.014,78.4,93.820,7.602,0.013,83.4,10.110,2,0,b'0h00',b'AA',10,58447.42746017,1458013701351000005,9.022,0.023,8.607,0.019,5.013,0.015,2.357,0.020,1214869917,12.095,0.0930,11.209,0.1130,10.412,0.0540,1.454644,287.053628
