source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05846a245',55372.96155880,11.918,0.027,12.020,11.315,0.029,3.089,8.012,0.032,1.135,5.553,0.065,0.885,1.0,71,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05849a221',55373.02764700,11.883,0.032,12.040,11.349,0.029,3.011,8.031,0.030,1.107,5.603,0.067,0.897,1.0,80,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05842a245',55372.82925490,11.842,0.024,12.280,11.316,0.027,3.085,8.017,0.032,1.124,5.633,0.074,0.923,1.0,63,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05845a221',55372.89534320,11.862,0.025,12.130,11.294,0.026,3.202,7.981,0.029,1.254,5.563,0.071,0.884,1.0,64,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11545b058',55561.40242000,11.971,0.026,12.250,11.466,0.034,3.638,,,,,,,1.0,62,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05838a245',55372.69695120,11.849,0.024,12.220,11.353,0.029,3.011,8.007,0.034,1.147,5.517,0.062,0.903,1.0,68,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05831a170',55372.43234370,11.916,0.025,12.020,11.348,0.025,3.011,8.053,0.031,1.112,5.531,0.078,0.894,1.0,103,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05834a245',55372.56464740,11.921,0.027,12.020,11.301,0.028,3.157,,,,,,,1.0,85,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11533b058',55561.00563410,11.920,0.026,12.020,11.355,0.034,3.011,,,,,,,0.5,100,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11541b058',55561.27011560,12.005,0.028,12.560,11.345,0.031,3.014,,,,,,,1.0,65,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05881a157',55374.08607760,11.858,0.027,12.160,11.343,0.028,3.016,8.070,0.035,1.142,5.687,0.091,1.002,1.0,90,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05885a221',55374.21838130,11.887,0.027,12.030,11.293,0.032,3.211,8.033,0.028,1.106,5.499,0.075,0.922,1.0,116,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05873a221',55373.82147000,11.852,0.025,12.200,11.328,0.030,3.043,8.087,0.038,1.195,5.581,0.072,0.887,1.0,63,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05877a221',55373.95377380,11.856,0.027,12.170,11.304,0.028,3.139,8.027,0.035,1.110,5.593,0.083,0.891,1.0,70,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05870a244',55373.75525390,11.815,0.034,12.560,11.266,0.027,3.447,8.061,0.033,1.124,5.529,0.073,0.895,1.0,62,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05870a246',55373.75538120,11.908,0.026,12.010,11.290,0.031,3.231,8.088,0.046,1.200,5.651,0.079,0.945,1.0,63,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11556a033',55561.73298990,11.826,0.036,12.430,11.391,0.031,3.090,,,,,,,0.5,107,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05866a245',55373.62307740,11.861,0.026,12.140,11.216,0.028,4.150,8.043,0.036,1.105,5.503,0.072,0.917,1.0,78,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05869a221',55373.68916570,11.886,0.026,12.040,11.306,0.028,3.131,8.014,0.035,1.130,5.568,0.068,0.884,1.0,68,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11576a033',55562.39438440,11.977,0.029,12.290,11.414,0.032,3.208,,,,,,,1.0,61,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'11572a033',55562.26208010,11.940,0.032,12.080,11.494,0.040,3.968,,,,,,,0.5,66,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05863a183',55373.49077360,11.883,0.032,12.040,11.324,0.030,3.055,8.041,0.034,1.104,5.460,0.065,0.986,1.0,94,b'0000',0.201384,150.113826
b'2182p484_ac51-048755',218.7185722,48.6618715,b'14h34m52.46s',b'48d39m42.74s',1,0,b'0000',b'05865a221',55373.55686190,11.892,0.026,12.020,11.312,0.029,3.100,,,,,,,1.0,86,b'0000',0.201384,150.113826
