source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06105a204',55381.49648310,10.161,0.028,1.758,9.236,0.027,2.381,6.932,0.018,1.311,4.990,0.041,0.970,1.0,97,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06106a256',55381.56269860,10.189,0.023,1.792,9.315,0.021,2.122,,,,,,,1.0,89,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06149a235',55382.95169640,10.184,0.032,1.777,9.298,0.023,2.053,6.927,0.024,1.331,5.000,0.043,0.960,1.0,75,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11761b041',55568.54265560,10.123,0.019,1.924,9.249,0.021,2.237,,,,,,,1.0,76,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06101a238',55381.36417950,10.186,0.029,1.783,9.307,0.029,2.083,6.970,0.019,1.346,4.998,0.040,0.962,1.0,115,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06103a175',55381.43039490,10.193,0.023,1.807,9.265,0.022,2.112,6.938,0.018,1.297,5.021,0.048,0.954,1.0,105,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11828a017',55570.72497770,10.112,0.020,2.019,9.243,0.016,2.297,,,,,,,1.0,103,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06145a235',55382.81939270,10.127,0.030,1.893,9.306,0.023,2.079,6.965,0.024,1.326,5.050,0.046,0.974,1.0,69,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06097a237',55381.23187580,10.199,0.029,1.832,9.264,0.021,2.117,6.981,0.018,1.412,4.998,0.042,0.962,1.0,117,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06098a262',55381.29809130,10.228,0.025,2.038,9.335,0.022,2.281,6.948,0.022,1.290,5.084,0.045,1.038,1.0,122,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11820a004',55570.46049630,10.127,0.024,1.894,9.360,0.026,2.595,,,,,,,0.5,69,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11824a016',55570.59267330,10.113,0.027,2.009,9.220,0.020,2.626,,,,,,,1.0,83,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06093a175',55381.09957210,10.196,0.026,1.820,9.273,0.026,2.074,6.945,0.022,1.290,4.954,0.040,1.041,1.0,96,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06095a176',55381.16578760,10.169,0.025,1.755,9.215,0.020,2.722,6.949,0.021,1.290,5.010,0.047,0.955,1.0,107,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11816a017',55570.32819190,10.121,0.021,1.940,9.295,0.021,2.048,,,,,,,1.0,68,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11817b041',55570.39428040,10.134,0.021,1.852,9.234,0.019,2.413,,,,,,,1.0,69,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06114a258',55381.82730600,10.213,0.029,1.919,9.304,0.024,2.068,6.943,0.019,1.290,5.026,0.053,0.955,1.0,70,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06090a262',55381.03348390,10.212,0.022,1.907,9.271,0.020,2.079,6.941,0.021,1.293,5.068,0.045,1.002,1.0,86,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11808a017',55570.06371050,10.105,0.022,2.100,9.364,0.021,2.666,,,,,,,1.0,97,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11813b042',55570.26210340,10.123,0.028,1.927,9.316,0.030,2.129,,,,,,,1.0,72,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'00840a017',55207.31017660,10.198,0.024,1.827,9.329,0.021,2.223,6.949,0.020,1.290,4.979,0.046,0.985,1.0,68,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'00841b042',55207.37639270,10.209,0.026,1.887,9.290,0.020,2.043,6.932,0.021,1.312,5.014,0.047,0.954,1.0,67,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11804a017',55569.93140600,10.160,0.021,1.760,9.303,0.024,2.067,,,,,,,1.0,117,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11805b041',55569.99749460,10.141,0.026,1.813,9.251,0.020,2.220,,,,,,,1.0,107,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'00872a016',55208.36886910,10.219,0.026,1.959,9.304,0.016,2.070,6.923,0.019,1.347,5.011,0.046,0.954,1.0,67,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'00713b039',55203.14146050,10.220,0.028,1.971,9.308,0.023,2.087,6.945,0.023,1.290,5.131,0.053,1.189,1.0,89,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11800a016',55569.79910160,10.105,0.022,2.096,9.272,0.019,2.076,,,,,,,1.0,115,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'11801b042',55569.86531750,10.105,0.030,2.100,9.237,0.019,2.369,,,,,,,1.0,123,b'0000',0.304471,81.637402
b'2348p545_ac51-033138',234.1599843,54.5592323,b'15h36m38.40s',b'54d33m33.24s',1,0,b'0000',b'06078a262',55380.63657280,10.212,0.025,1.910,9.284,0.016,2.046,6.935,0.020,1.302,5.024,0.047,0.954,1.0,78,b'0000',0.304471,81.637402
