ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
234.1598609,54.5592202,b'15h36m38.37s',b'54d33m33.19s',0.0257,0.0236,-0.0088,9.748,0.016,66.2,1.828,8.963,0.013,85.2,2.941,1,0,b'0000',b'AA',10,58285.70890013,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.043684,89.054532
234.1598853,54.5592101,b'15h36m38.37s',b'54d33m33.16s',0.0265,0.0256,-0.0057,9.751,0.018,62.0,1.351,8.947,0.013,80.7,1.703,1,0,b'0000',b'AA',5,57565.14334505,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.101055,110.650831
234.1598916,54.5592452,b'15h36m38.37s',b'54d33m33.28s',0.0343,0.0296,-0.0098,9.669,0.018,58.8,5.375,8.907,0.017,65.5,6.406,1,0,b'0000',b'AA',10,58856.73693718,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.140816,49.895136
234.1599088,54.5592167,b'15h36m38.38s',b'54d33m33.18s',0.0244,0.0246,-0.0090,9.834,0.014,76.2,6.031,9.007,0.013,82.9,4.225,1,0,b'0000',b'AA',10,57925.30393150,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.144098,94.728614
234.1599029,54.5592368,b'15h36m38.38s',b'54d33m33.25s',0.0268,0.0250,-0.0081,9.835,0.018,60.6,5.790,9.011,0.013,86.7,3.634,1,0,b'0000',b'AA',10,57205.92058799,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.144557,65.268638
234.1598705,54.5591798,b'15h36m38.37s',b'54d33m33.05s',0.0249,0.0306,-0.0059,9.872,0.015,74.0,29.650,8.991,0.014,79.5,17.840,1,0,b'0000',b'AA',0,57925.43483472,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.158103,156.25315
234.1599206,54.5592324,b'15h36m38.38s',b'54d33m33.24s',0.0274,0.0294,-0.0093,9.676,0.019,58.3,1.467,8.903,0.014,75.2,1.704,1,0,b'0000',b'AA',10,58652.89896145,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.174085,75.140849
234.1599240,54.5592217,b'15h36m38.38s',b'54d33m33.20s',0.0241,0.0306,-0.0097,9.890,0.015,70.1,0.785,9.082,0.013,80.6,1.316,1,0,b'0000',b'AA',10,56847.29802478,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.175464,88.001062
234.1599029,54.5592548,b'15h36m38.38s',b'54d33m33.32s',0.0262,0.0266,-0.0072,9.648,0.016,68.4,5.523,8.863,0.014,75.0,5.171,1,0,b'0000',b'AA',5,59016.63240914,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.181472,46.344837
234.1599269,54.5592279,b'15h36m38.38s',b'54d33m33.22s',0.0257,0.0263,-0.0119,9.702,0.015,74.6,4.245,8.829,0.013,80.4,2.813,1,0,b'0000',b'AA',10,58855.69047289,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.183619,81.089813
234.1599189,54.5592467,b'15h36m38.38s',b'54d33m33.29s',0.0276,0.0308,-0.0089,9.794,0.019,57.1,4.713,8.998,0.014,75.8,6.421,1,0,b'0000',b'AA',5,57206.51105291,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.190711,59.732415
234.1599233,54.5592430,b'15h36m38.38s',b'54d33m33.27s',0.0279,0.0276,-0.0057,9.828,0.019,58.5,5.676,8.937,0.013,81.1,2.965,1,0,b'0000',b'AA',10,58285.25073853,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.192584,64.537737
234.1599302,54.5592372,b'15h36m38.38s',b'54d33m33.25s',0.0252,0.0290,-0.0085,9.688,0.017,64.0,2.565,8.888,0.014,78.1,1.564,1,0,b'0000',b'AA',10,58652.89883409,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.198216,71.796509
234.1599360,54.5592121,b'15h36m38.38s',b'54d33m33.16s',0.0253,0.0261,-0.0072,9.678,0.014,75.2,2.613,8.895,0.014,76.2,1.591,1,0,b'0000',b'AA',10,58653.09518903,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.202414,98.077219
234.1599399,54.5592241,b'15h36m38.39s',b'54d33m33.21s',0.0272,0.0279,-0.0069,9.857,0.018,61.0,4.246,9.011,0.015,73.2,2.344,1,0,b'0000',b'AA',10,57924.78019108,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.209072,85.951467
234.1599424,54.5592253,b'15h36m38.39s',b'54d33m33.21s',0.0261,0.0283,-0.0065,9.751,0.014,77.5,15.030,8.942,0.015,74.7,7.328,1,0,b'0000',b'AA',5,58285.44709351,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.214601,84.899313
234.1599410,54.5592318,b'15h36m38.39s',b'54d33m33.23s',0.0269,0.0300,0.0057,9.795,0.016,68.0,4.529,8.932,0.016,69.2,1.430,1,0,b'0000',b'AA',5,57564.88115597,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.215085,78.608393
234.1599423,54.5592122,b'15h36m38.39s',b'54d33m33.16s',0.0311,0.0262,-0.0078,9.891,0.018,61.5,4.252,9.096,0.015,73.7,2.650,1,0,b'0000',b'AA',5,56847.36385833,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.215392,97.490843
234.1599419,54.5592306,b'15h36m38.39s',b'54d33m33.23s',0.0251,0.0296,-0.0090,9.751,0.015,72.4,1.881,8.942,0.013,82.5,1.833,1,0,b'0000',b'AA',10,58286.16642515,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.216115,79.829625
234.1599443,54.5592233,b'15h36m38.39s',b'54d33m33.20s',0.0253,0.0267,-0.0100,9.706,0.015,72.3,1.443,8.884,0.014,79.6,1.738,1,0,b'0000',b'AA',10,58652.63728226,2348154501351033138,10.168,0.023,9.289,0.019,6.946,0.016,5.022,0.022,671152717,13.531,0.0293,12.588,0.0273,11.636,0.0221,0.218051,86.876772
