ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.3305523,46.1471423,b'08h13m19.33s',b'46d08m49.71s',0.0620,0.0726,-0.0214,12.658,0.032,33.6,6.408,12.235,0.037,29.0,1.561,1,0,b'0000',b'AA',10,58566.67247081,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.010194,34.714555
123.3305408,46.1471421,b'08h13m19.33s',b'46d08m49.71s',0.0736,0.0799,-0.0296,12.877,0.031,34.8,8.477,12.814,0.072,15.0,1.022,1,0,b'0000',b'AA',10,57838.60748230,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.024201,288.235592
123.3305411,46.1471444,b'08h13m19.33s',b'46d08m49.72s',0.0700,0.0736,-0.0276,12.813,0.027,40.6,7.204,12.613,0.050,21.5,0.687,1,0,b'0000',b'AA',10,58200.16998425,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.027319,305.511313
123.3305509,46.1471322,b'08h13m19.33s',b'46d08m49.68s',0.0649,0.0688,-0.0119,12.575,0.029,38.0,5.612,12.215,0.045,24.2,1.451,1,0,b'0000',b'AA',10,58773.60447542,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.02817,175.429524
123.3305452,46.1471476,b'08h13m19.33s',b'46d08m49.73s',0.0715,0.0733,-0.0341,12.392,0.030,35.8,8.500,12.091,0.044,24.7,1.700,1,0,b'0000',b'AA',10,58930.49864337,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.0298,336.367575
123.3305358,46.1471457,b'08h13m19.33s',b'46d08m49.72s',0.0830,0.0858,-0.0111,12.838,0.031,34.8,7.033,12.721,0.076,14.3,1.187,1,0,b'0000',b'AA',10,57678.23140174,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.040891,300.087703
123.3305672,46.1471400,b'08h13m19.34s',b'46d08m49.70s',0.0737,0.0767,-0.0310,12.832,0.027,40.6,9.631,12.619,0.050,21.5,1.234,1,0,b'0000',b'AA',10,58044.79903947,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.04292,89.999994
123.3305376,46.1471485,b'08h13m19.33s',b'46d08m49.73s',0.0539,0.0649,-0.0204,12.431,0.029,37.5,4.986,12.053,0.035,30.8,1.600,1,0,b'0000',b'AA',10,58931.08783664,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.043467,314.695513
123.3305675,46.1471412,b'08h13m19.34s',b'46d08m49.71s',0.0621,0.0676,-0.0246,12.641,0.025,42.7,6.661,12.299,0.040,27.0,1.892,1,0,b'0000',b'AA',10,59140.56794307,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.0439,84.347497
123.3305672,46.1471340,b'08h13m19.34s',b'46d08m49.68s',0.0657,0.0745,0.0169,12.540,0.030,36.0,11.790,12.117,0.037,29.3,3.138,1,0,b'0000',b'AA',10,58930.62992872,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.048011,116.725775
123.3305591,46.1471520,b'08h13m19.33s',b'46d08m49.75s',0.0660,0.0673,-0.0268,12.486,0.027,39.9,8.529,12.148,0.044,24.9,2.035,1,0,b'0000',b'AA',5,58409.20302291,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.048792,27.716531
123.3305649,46.1471309,b'08h13m19.34s',b'46d08m49.67s',0.0624,0.0670,-0.0066,12.446,0.028,38.4,6.033,12.137,0.045,24.4,1.695,1,0,b'0000',b'AA',10,58409.59573294,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.04956,131.397441
123.3305508,46.1471252,b'08h13m19.33s',b'46d08m49.65s',0.0776,0.0882,-0.0279,12.871,0.030,35.6,4.409,12.649,0.063,17.2,1.034,1,0,b'0000',b'AA',10,58045.51913578,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.053325,177.855325
123.3305394,46.1471534,b'08h13m19.33s',b'46d08m49.75s',0.0569,0.0611,-0.0236,12.448,0.023,47.3,6.739,12.011,0.037,29.2,0.989,1,0,b'0000',b'AA',10,58930.89160824,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.054982,331.275382
123.3305356,46.1471525,b'08h13m19.33s',b'46d08m49.75s',0.0674,0.0723,-0.0284,12.807,0.026,41.3,7.313,12.553,0.048,22.5,1.075,1,0,b'0000',b'AA',10,57479.16877584,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.057584,321.406092
123.3305565,46.1471555,b'08h13m19.33s',b'46d08m49.76s',0.0775,0.0769,0.0106,12.865,0.033,33.3,5.307,12.594,0.052,20.9,0.730,1,0,b'0000',b'AA',10,57119.61438700,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.058074,16.200305
123.3305525,46.1471564,b'08h13m19.33s',b'46d08m49.76s',0.0903,0.0984,-0.0482,12.942,0.036,30.4,6.085,12.662,0.082,13.3,1.303,1,0,b'0000',b'AA',10,58045.19187713,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.059361,6.02872
123.3305244,46.1471428,b'08h13m19.33s',b'46d08m49.71s',0.0516,0.0616,-0.0134,12.451,0.024,44.4,9.600,12.001,0.036,30.0,1.222,1,0,b'0000',b'AA',10,58930.82615649,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.064618,278.971357
123.3305298,46.1471517,b'08h13m19.33s',b'46d08m49.75s',0.0721,0.0829,0.0099,12.854,0.030,36.8,6.952,12.621,0.062,17.6,0.875,1,0,b'0000',b'AA',10,58203.50765075,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.065634,309.896597
123.3305327,46.1471248,b'08h13m19.33s',b'46d08m49.65s',0.0721,0.0742,-0.0266,12.594,0.029,37.7,6.371,12.172,0.051,21.1,0.654,1,0,b'0000',b'AA',10,58566.73779521,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.069683,218.256699
123.3305613,46.1471222,b'08h13m19.33s',b'46d08m49.64s',0.0695,0.0764,-0.0063,12.870,0.031,35.1,11.670,12.599,0.051,21.3,2.125,1,0,b'0000',b'AA',5,57838.73851365,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.070021,156.259293
123.3305327,46.1471243,b'08h13m19.33s',b'46d08m49.65s',0.0753,0.0959,-0.0318,12.811,0.032,34.2,9.302,12.635,0.056,19.3,0.986,1,0,b'0000',b'AA',10,58199.31961844,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.071092,217.358612
123.3305250,46.1471515,b'08h13m19.33s',b'46d08m49.75s',0.0749,0.0775,-0.0229,12.940,0.029,37.6,7.747,12.683,0.056,19.3,0.400,1,0,b'0000',b'AA',10,57677.83843523,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.074847,303.582736
123.3305773,46.1471491,b'08h13m19.34s',b'46d08m49.74s',0.0799,0.0771,-0.0281,12.813,0.029,37.4,5.406,12.496,0.056,19.4,1.101,1,0,b'0000',b'AA',10,57478.77555505,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.075538,64.306234
123.3305733,46.1471535,b'08h13m19.34s',b'46d08m49.75s',0.0757,0.0771,-0.0264,12.826,0.031,35.0,7.349,12.713,0.062,17.4,1.186,1,0,b'0000',b'AA',10,58045.78106999,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.075787,50.094094
123.3305615,46.1471595,b'08h13m19.33s',b'46d08m49.77s',0.0640,0.0702,-0.0219,12.667,0.028,38.9,7.723,12.248,0.044,24.8,1.422,1,0,b'0000',b'AA',10,59140.24093963,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.07585,22.223912
123.3305427,46.1471611,b'08h13m19.33s',b'46d08m49.78s',0.0577,0.0673,-0.0159,12.533,0.026,42.3,6.256,12.183,0.041,26.7,1.232,1,0,b'0000',b'AA',10,58773.86615461,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.07812,346.520952
123.3305425,46.1471625,b'08h13m19.33s',b'46d08m49.79s',0.0618,0.0713,-0.0182,12.633,0.027,40.1,8.168,12.373,0.054,19.9,1.145,1,0,b'0000',b'AA',5,59140.76417057,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.083157,346.996303
123.3305718,46.1471225,b'08h13m19.34s',b'46d08m49.64s',0.0612,0.0737,0.0056,12.620,0.028,38.9,8.081,12.281,0.045,24.1,3.435,1,0,b'0000',b'AA',5,58773.80083028,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.083214,139.204423
123.3305241,46.1471547,b'08h13m19.33s',b'46d08m49.76s',0.0717,0.0757,-0.0253,12.815,0.027,39.7,7.215,12.551,0.056,19.3,0.930,1,0,b'0000',b'AA',10,57119.54868059,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.083497,309.325269
123.3305724,46.1471226,b'08h13m19.34s',b'46d08m49.64s',0.0741,0.0819,-0.0275,12.826,0.030,36.6,5.266,12.541,0.066,16.5,0.853,1,0,b'0000',b'AA',10,57839.19680587,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.083949,138.27048
123.3305677,46.1471606,b'08h13m19.34s',b'46d08m49.78s',0.0671,0.0703,-0.0080,12.829,0.028,39.1,5.382,12.547,0.045,24.3,2.186,1,0,b'0000',b'AA',10,56952.42235303,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.08628,30.764373
123.3305694,46.1471607,b'08h13m19.34s',b'46d08m49.78s',0.0706,0.0621,-0.0191,12.428,0.027,40.3,4.215,12.045,0.040,27.4,1.693,1,0,b'0000',b'AA',10,58931.21861267,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.088869,32.995613
123.3305652,46.1471629,b'08h13m19.34s',b'46d08m49.79s',0.0753,0.0889,-0.0280,12.930,0.029,37.0,11.990,12.758,0.062,17.6,2.185,1,0,b'0000',b'AA',0,57838.86941777,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.090762,24.695591
123.3305838,46.1471511,b'08h13m19.34s',b'46d08m49.74s',0.0620,0.0724,-0.0069,12.508,0.025,43.0,6.941,12.115,0.061,17.8,1.042,1,0,b'0000',b'AA',10,58409.33443554,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.093277,64.63829
123.3305377,46.1471153,b'08h13m19.33s',b'46d08m49.62s',0.0711,0.0811,-0.0083,12.876,0.029,36.8,10.590,12.551,0.065,16.7,1.402,1,0,b'0000',b'AA',5,57119.74567256,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.094084,199.034542
123.3305381,46.1471649,b'08h13m19.33s',b'46d08m49.79s',0.0586,0.0690,0.0115,12.613,0.029,38.1,5.637,12.195,0.036,30.5,1.264,1,0,b'0000',b'AA',10,58566.67234345,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.094435,341.68023
123.3305693,46.1471168,b'08h13m19.34s',b'46d08m49.62s',0.0664,0.0694,-0.0224,12.864,0.027,39.7,9.179,12.587,0.046,23.4,1.443,1,0,b'0000',b'AA',10,57478.71010310,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.096415,150.043195
123.3305493,46.1471668,b'08h13m19.33s',b'46d08m49.80s',0.0585,0.0636,-0.0154,12.433,0.026,42.2,9.828,12.146,0.046,23.5,0.904,1,0,b'0000',b'AA',10,58409.46533897,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.096513,358.963304
123.3305118,46.1471453,b'08h13m19.32s',b'46d08m49.72s',0.0644,0.0679,-0.0014,12.648,0.027,40.2,6.142,12.203,0.052,20.9,0.656,1,0,b'0000',b'AA',10,58566.86869865,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.097147,281.324395
123.3305893,46.1471400,b'08h13m19.34s',b'46d08m49.70s',0.0806,0.0791,0.0161,12.804,0.033,32.9,7.944,12.641,0.051,21.4,1.496,1,0,b'0000',b'AA',10,57314.43470313,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.098018,89.999986
123.3305820,46.1471581,b'08h13m19.34s',b'46d08m49.77s',0.0610,0.0671,-0.0080,12.526,0.027,40.5,8.788,12.189,0.052,21.0,2.020,1,0,b'0000',b'AA',10,58777.72627249,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.103045,50.770993
123.3305879,46.1471514,b'08h13m19.34s',b'46d08m49.75s',0.0675,0.0722,-0.0284,12.818,0.026,41.4,6.645,12.568,0.046,23.5,0.481,1,0,b'0000',b'AA',10,57313.91006992,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.103045,66.531308
123.3305197,46.1471599,b'08h13m19.32s',b'46d08m49.78s',0.0649,0.0753,-0.0254,12.655,0.029,37.5,5.518,12.293,0.041,26.3,1.330,1,0,b'0000',b'AA',10,59140.69871891,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.10414,313.470181
123.3305250,46.1471168,b'08h13m19.33s',b'46d08m49.62s',0.0609,0.0670,-0.0170,12.643,0.025,42.6,6.958,12.228,0.046,23.6,2.189,1,0,b'0000',b'AA',10,59140.50210947,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.10423,216.743605
123.3305090,46.1471320,b'08h13m19.32s',b'46d08m49.68s',0.0668,0.0727,-0.0244,12.819,0.027,39.7,8.022,12.462,0.049,22.2,2.594,1,0,b'0000',b'AA',10,57314.10680740,1235145401351057742,12.588,0.025,12.209,0.023,9.662,0.046,7.341,0.113,390482439,14.589,0.0481,13.770,0.0501,13.500,0.0494,0.10625,254.270727
