source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'04909a204',55341.93575020,13.397,0.037,1.713,12.743,0.057,1.195,10.546,0.251,1.071,7.939,,1.028,1.0,70,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'04910a229',55342.00196590,13.359,0.038,1.918,12.712,0.048,1.274,10.692,0.258,1.022,7.763,,1.013,1.0,79,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'10676a050',55532.63671880,13.568,0.052,2.013,12.888,0.066,1.282,,,,,,,1.0,87,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'04906a229',55341.86966200,13.465,0.041,1.616,12.749,0.056,1.185,11.110,0.379,1.024,7.490,,1.002,1.0,67,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'10668a049',55532.37210610,13.533,0.045,1.815,12.879,0.064,1.257,,,,,,,1.0,63,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'10668a051',55532.37223350,13.567,0.047,2.007,12.926,0.058,1.406,,,,,,,1.0,62,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'10664a050',55532.23992920,13.559,0.045,1.958,13.007,0.068,1.779,,,,,,,1.0,69,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'10657b075',55532.04153650,13.540,0.044,1.847,12.963,0.061,1.560,,,,,,,1.0,95,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'04902a229',55341.73735800,13.364,0.039,1.887,12.708,0.048,1.288,10.701,,1.103,7.930,,1.037,1.0,67,b'0000',0.086607,291.451355
b'1859p514_ac51-021351',186.4595743,51.1462288,b'12h25m50.30s',b'51d08m46.42s',1,0,b'0000',b'04897a204',55341.53883790,13.409,0.039,1.673,12.732,0.054,1.219,10.553,0.231,1.068,7.462,,1.004,1.0,90,b'0000',0.086607,291.451355
