ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
120.0874298,26.6135322,b'08h00m20.98s',b'26d36m48.72s',0.0380,0.0368,-0.0095,10.055,0.017,64.9,23.440,9.380,0.029,37.1,8.146,1,0,b'0000',b'AA',5,58568.56598689,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.008132,355.353377
120.0874265,26.6135325,b'08h00m20.98s',b'26d36m48.72s',0.0320,0.0318,-0.0115,10.246,0.018,61.7,28.070,9.524,0.017,65.2,6.780,1,0,b'0000',b'AA',10,58775.76679887,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.014416,308.622547
120.0874252,26.6135303,b'08h00m20.98s',b'26d36m48.71s',0.0294,0.0278,-0.0129,9.744,0.015,73.4,15.390,8.957,0.015,73.3,3.374,1,0,b'0000',b'AA',10,58046.50473181,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.015368,273.998856
120.0874317,26.6135346,b'08h00m20.98s',b'26d36m48.72s',0.0274,0.0282,-0.0069,10.289,0.016,66.9,26.760,9.470,0.015,73.0,5.655,1,0,b'0000',b'AA',10,58775.17811578,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.017387,18.284031
120.0874244,26.6135307,b'08h00m20.98s',b'26d36m48.71s',0.0283,0.0292,0.0057,9.735,0.017,63.4,8.151,8.988,0.015,70.7,3.090,1,0,b'0000',b'AA',10,58047.02847296,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.018184,277.959128
120.0874339,26.6135343,b'08h00m20.98s',b'26d36m48.72s',0.0305,0.0300,-0.0089,10.589,0.017,64.9,44.730,9.858,0.016,67.0,11.360,1,0,b'0000',b'AA',10,59142.33717499,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.019919,39.037944
120.0874322,26.6135356,b'08h00m20.98s',b'26d36m48.73s',0.0273,0.0286,-0.0118,10.051,0.015,74.5,19.240,9.332,0.014,77.4,4.539,1,0,b'0000',b'AA',10,57679.74163596,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.021294,19.352974
120.0874225,26.6135314,b'08h00m20.98s',b'26d36m48.71s',0.0286,0.0267,-0.0109,10.013,0.014,76.8,22.100,9.190,0.015,74.5,4.745,1,0,b'0000',b'AA',10,58411.10430561,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.024589,281.79326
120.0874380,26.6135341,b'08h00m20.99s',b'26d36m48.72s',0.0282,0.0282,-0.0129,10.058,0.014,76.5,20.130,9.330,0.014,76.1,6.416,1,0,b'0000',b'AA',10,57679.41412146,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.029641,60.177148
120.0874238,26.6135230,b'08h00m20.98s',b'26d36m48.68s',0.0305,0.0291,-0.0085,10.040,0.017,65.8,19.560,9.271,0.017,65.6,5.757,1,0,b'0000',b'AA',5,58568.23898294,1200127201351005190,10.133,0.022,9.451,0.020,6.544,0.016,3.948,0.027,194862617,12.889,0.0470,12.231,0.0520,11.689,0.0430,0.032089,218.374702
