source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05152a115',55349.96273050,15.374,0.148,1.059,,,,,,,,,,1.0,74,b'0111',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05156a115',55350.09503430,15.209,0.125,1.140,,,,,,,,,,1.0,35,b'0111',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05145b141',55349.76433840,15.454,0.157,1.072,15.047,,1.386,10.958,,0.995,7.311,,1.093,1.0,106,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05148a115',55349.83042670,15.352,0.142,1.061,14.797,0.327,1.099,,,,7.618,,1.065,1.0,116,b'0011',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05141b140',55349.63203460,15.438,0.151,1.067,14.562,0.289,1.183,,,,,,,1.0,64,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05144a115',55349.69812280,15.669,0.252,1.215,14.531,0.271,1.201,10.593,,1.019,7.870,,1.080,1.0,86,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05137b140',55349.49973080,15.266,0.120,1.092,14.442,,1.110,10.801,,0.988,7.247,,1.096,1.0,26,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05140a115',55349.56581900,15.326,0.133,1.066,14.800,0.381,1.098,11.237,,1.023,7.797,,1.103,1.0,43,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10609a139',55530.43147380,15.661,0.225,1.207,15.035,0.354,1.083,,,,,,,1.0,84,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05133b140',55349.36742700,15.445,0.148,1.069,14.797,0.316,1.099,11.316,,1.050,7.849,,1.094,1.0,5,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10617a138',55530.69595500,15.700,0.214,1.244,15.260,0.442,1.102,,,,,,,1.0,20,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05125b140',55349.10281880,15.234,0.137,1.116,14.761,,1.208,11.141,0.454,1.064,7.097,,1.183,1.0,33,b'0011',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10621a139',55530.82825920,15.295,0.130,1.077,15.095,0.358,1.085,,,,,,,1.0,4,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10617a139',55530.69608230,15.604,0.165,1.158,14.834,0.268,1.093,,,,,,,1.0,21,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10613a139',55530.56377800,15.560,0.156,1.126,14.973,,1.223,,,,,,,0.5,43,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10606a163',55530.36538530,15.289,0.124,1.079,14.906,0.296,1.085,,,,,,,1.0,105,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05129b140',55349.23512320,15.323,0.134,1.067,14.590,0.293,1.168,10.778,,0.991,7.302,,1.102,1.0,16,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10602b163',55530.23308100,15.655,0.237,1.202,14.695,0.253,1.124,,,,,,,1.0,96,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10605a138',55530.29916950,15.333,0.134,1.064,15.383,0.460,1.120,,,,,,,1.0,116,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10594a163',55529.96859990,15.394,0.140,1.059,15.003,0.328,1.082,,,,,,,0.5,19,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10598a162',55530.10077680,15.074,0.137,1.354,14.846,0.281,1.091,,,,,,,1.0,53,b'0000',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'05160a115',55350.22733820,15.095,0.114,1.309,,,,,,,7.754,,1.202,1.0,17,b'0111',0.186504,59.622136
b'3418p000_ac51-057403',341.2030647,0.7297962,b'22h44m48.74s',b'00d43m47.27s',1,0,b'0000',b'10590a163',55529.83629570,15.454,0.146,1.072,15.094,0.367,1.085,,,,,,,1.0,4,b'0000',0.186504,59.622136
