ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
353.3224568,-0.3843104,b'23h33m17.39s',b'-00d23m03.52s',0.2481,0.2870,-0.1424,14.544,0.096,11.3,0.669,13.436,0.206,5.3,0.953,1,0,b'0000',b'AB',5,59178.40194949,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.03912,197.102367
353.3224490,-0.3843042,b'23h33m17.39s',b'-00d23m03.50s',0.3595,0.3038,-0.1133,14.994,0.110,9.9,0.926,14.326,0.226,4.8,0.850,1,0,b'0000',b'BB',5,58811.77974252,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.042366,249.101805
353.3224668,-0.3843178,b'23h33m17.39s',b'-00d23m03.54s',0.2255,0.2275,-0.0440,14.771,0.087,12.5,1.049,13.589,0.107,10.1,1.041,1,0,b'0000',b'AA',10,57553.56668465,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.06859,159.092449
353.3224724,-0.3843165,b'23h33m17.39s',b'-00d23m03.54s',0.1994,0.2148,-0.0906,14.568,0.077,14.1,0.708,13.744,0.138,7.9,0.514,1,0,b'0000',b'AB',10,56824.42233377,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.074277,143.075202
353.3224825,-0.3843049,b'23h33m17.40s',b'-00d23m03.50s',0.2306,0.2207,-0.0332,14.601,0.088,12.4,1.528,13.615,0.124,8.8,0.901,1,0,b'0000',b'AB',10,57004.59177038,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.082873,102.286184
353.3224606,-0.3842752,b'23h33m17.39s',b'-00d23m03.39s',0.2295,0.2298,-0.0616,14.749,0.078,13.9,1.605,13.715,,1.9,0.614,1,0,b'0000',b'AU',10,58811.38728711,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.089293,1.385887
353.3224317,-0.3843148,b'23h33m17.38s',b'-00d23m03.53s',0.2208,0.2319,-0.1160,14.786,0.091,12.0,1.238,13.613,0.105,10.4,1.013,1,0,b'0000',b'AA',5,57364.05168493,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.114962,242.391334
353.3224249,-0.3842995,b'23h33m17.38s',b'-00d23m03.48s',0.2505,0.2240,-0.0675,14.714,0.078,13.9,1.259,14.156,0.168,6.5,0.696,1,0,b'0000',b'AB',10,58447.52118118,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.126354,270.816142
353.3224956,-0.3843010,b'23h33m17.40s',b'-00d23m03.48s',0.2853,0.2398,-0.0742,14.668,0.081,13.3,0.765,14.017,0.241,4.5,1.018,1,0,b'0000',b'AB',10,59015.93268775,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.128209,91.609045
353.3224221,-0.3842915,b'23h33m17.38s',b'-00d23m03.45s',0.3093,0.2759,-0.0812,14.795,0.099,10.9,0.954,13.964,0.171,6.4,0.645,1,0,b'0000',b'AB',10,57917.99091964,3539100001351011979,14.414,0.029,13.514,0.034,11.554,0.245,8.557,,,,,,,,,0.13984,282.641082
