ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
74.7891674,4.9750051,b'04h59m09.40s',b'04d58m30.02s',0.0378,0.0338,-0.0042,10.891,0.018,59.1,84.380,10.697,0.020,53.1,17.300,1,0,b'0000',b'AA',10,57077.05521785,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.135377,82.205828
74.7891554,4.9750279,b'04h59m09.40s',b'04d58m30.10s',0.0360,0.0330,-0.0091,10.834,0.017,62.5,85.390,10.746,0.020,53.6,21.050,1,0,b'0000',b'AA',10,56717.82294862,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.135587,42.20691
74.7891130,4.9750339,b'04h59m09.39s',b'04d58m30.12s',0.0353,0.0324,-0.0091,10.890,0.015,71.8,71.540,10.738,0.020,55.5,21.400,1,0,b'0000',b'AA',10,56908.43279971,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.13642,333.453944
74.7891553,4.9750299,b'04h59m09.40s',b'04d58m30.11s',0.0345,0.0339,-0.0133,10.917,0.017,65.4,94.080,10.751,0.019,56.1,31.070,1,0,b'0000',b'AA',5,57076.20128840,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.140782,40.129751
74.7891015,4.9750282,b'04h59m09.38s',b'04d58m30.10s',0.0400,0.0425,-0.0136,10.782,0.021,52.2,66.710,10.685,0.022,49.1,15.360,1,0,b'0000',b'AA',10,57637.75496922,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.144066,314.804979
74.7891348,4.9750441,b'04h59m09.39s',b'04d58m30.16s',0.0381,0.0371,0.0093,10.599,0.020,55.5,52.750,10.290,0.019,58.1,14.880,1,0,b'0000',b'AA',10,58733.38228626,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.159679,6.188601
74.7891058,4.9750398,b'04h59m09.39s',b'04d58m30.14s',0.0406,0.0391,0.0102,10.866,0.020,54.9,64.140,10.686,0.026,42.2,16.690,1,0,b'0000',b'AA',5,57802.90966755,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.167503,328.794638
74.7891612,4.9750471,b'04h59m09.40s',b'04d58m30.17s',0.0362,0.0373,-0.0061,10.906,0.019,57.9,83.240,10.738,0.022,50.4,21.370,1,0,b'0000',b'AA',10,57273.77551640,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.203159,33.421808
74.7891592,4.9750532,b'04h59m09.40s',b'04d58m30.19s',0.0349,0.0319,-0.0075,10.790,0.017,63.3,62.530,10.540,0.019,57.6,21.460,1,0,b'0000',b'AA',5,58160.36937476,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.218289,28.670029
74.7891249,4.9750612,b'04h59m09.39s',b'04d58m30.22s',0.0406,0.0343,-0.0169,10.858,0.017,64.2,57.870,10.617,0.019,55.8,18.990,1,0,b'0000',b'AA',10,58524.40066115,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.221085,355.254223
74.7891364,4.9750616,b'04h59m09.39s',b'04d58m30.22s',0.0344,0.0364,-0.0091,10.847,0.019,58.1,68.670,10.573,0.021,51.2,24.420,1,0,b'0000',b'AA',5,58523.74639743,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.222936,5.909339
74.7891599,4.9750551,b'04h59m09.40s',b'04d58m30.20s',0.0374,0.0314,0.0054,10.938,0.017,65.5,86.600,10.697,0.019,57.0,23.680,1,0,b'0000',b'AA',5,56718.08641068,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.225485,28.395891
74.7891027,4.9750602,b'04h59m09.38s',b'04d58m30.22s',0.0372,0.0362,-0.0134,10.942,0.018,61.0,62.800,10.602,0.021,51.6,20.880,1,0,b'0000',b'AA',10,58524.00807749,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.237801,335.687505
74.7891328,4.9750665,b'04h59m09.39s',b'04d58m30.24s',0.0461,0.0419,0.0133,10.917,0.022,49.6,51.700,10.703,0.021,52.6,25.090,1,0,b'0000',b'AA',10,56908.82742015,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.239602,2.401957
74.7891903,4.9750287,b'04h59m09.41s',b'04d58m30.10s',0.0478,0.0469,-0.0107,10.821,0.023,47.6,43.470,10.716,0.024,44.7,20.730,1,0,b'0000',b'AA',10,57638.21351441,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.239681,64.463698
74.7891157,4.9750656,b'04h59m09.39s',b'04d58m30.24s',0.0381,0.0394,-0.0136,10.780,0.019,57.5,65.660,10.756,0.023,48.2,20.430,1,0,b'0000',b'AA',0,56717.09839581,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.241663,347.747524
74.7891094,4.9750656,b'04h59m09.39s',b'04d58m30.24s',0.0481,0.0415,0.0097,10.854,0.022,49.5,62.960,10.659,0.021,52.3,18.180,1,0,b'0000',b'AA',10,58523.87717382,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.247438,342.628161
74.7891714,4.9750573,b'04h59m09.40s',b'04d58m30.21s',0.0380,0.0363,-0.0072,10.636,0.020,53.9,57.580,10.405,0.022,49.7,17.860,1,0,b'0000',b'AA',10,58891.18366500,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.254162,35.746001
74.7891800,4.9750505,b'04h59m09.40s',b'04d58m30.18s',0.0347,0.0351,-0.0094,10.692,0.019,57.1,39.090,10.242,0.017,62.2,13.700,1,0,b'0000',b'AA',10,58733.12009780,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.255367,44.606822
74.7891329,4.9750710,b'04h59m09.39s',b'04d58m30.26s',0.0376,0.0354,-0.0098,10.745,0.020,54.8,62.580,10.658,0.022,50.1,18.130,1,0,b'0000',b'AA',10,57438.19767413,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.25581,2.330148
74.7891623,4.9750648,b'04h59m09.40s',b'04d58m30.23s',0.0347,0.0300,-0.0014,10.791,0.017,64.6,72.260,10.514,0.018,60.7,21.240,1,0,b'0000',b'AA',10,58160.04211414,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.260458,26.408023
74.7891593,4.9750674,b'04h59m09.40s',b'04d58m30.24s',0.0404,0.0359,-0.0150,10.726,0.021,52.9,45.560,10.497,0.022,49.7,15.600,1,0,b'0000',b'AA',10,58369.16341138,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.264418,23.416486
74.7891817,4.9750546,b'04h59m09.40s',b'04d58m30.20s',0.0363,0.0350,0.0045,10.859,0.017,62.2,81.230,10.833,0.021,52.8,24.880,1,0,b'0000',b'AA',10,56717.23019050,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.270213,43.329323
74.7891650,4.9750686,b'04h59m09.40s',b'04d58m30.25s',0.0363,0.0362,-0.0064,10.909,0.018,61.3,85.530,10.689,0.020,54.4,33.110,1,0,b'0000',b'AA',5,57438.78750549,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.277032,26.943406
74.7891332,4.9750769,b'04h59m09.39s',b'04d58m30.28s',0.0339,0.0311,-0.0081,10.645,0.016,68.5,52.480,10.268,0.018,61.5,13.490,1,0,b'0000',b'AA',10,58732.79360378,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.277083,2.373878
74.7891532,4.9750745,b'04h59m09.40s',b'04d58m30.27s',0.0356,0.0342,-0.0065,10.731,0.018,60.3,61.820,10.578,0.019,55.7,18.580,1,0,b'0000',b'AA',10,58159.64940130,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.280809,17.23578
74.7891641,4.9750708,b'04h59m09.40s',b'04d58m30.25s',0.0347,0.0297,0.0077,10.665,0.017,64.8,68.310,10.385,0.018,59.0,19.220,1,0,b'0000',b'AA',10,58891.70689705,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.282703,25.632803
74.7891339,4.9750787,b'04h59m09.39s',b'04d58m30.28s',0.0387,0.0354,-0.0115,10.896,0.021,52.0,64.770,10.656,0.020,54.7,26.620,1,0,b'0000',b'AA',10,57802.84421557,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.28367,2.826316
74.7891954,4.9750444,b'04h59m09.41s',b'04d58m30.16s',0.0390,0.0359,-0.0139,10.782,0.020,53.5,62.400,10.551,0.022,49.4,16.760,1,0,b'0000',b'AA',10,58159.84575772,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.283837,55.72688
74.7892020,4.9750371,b'04h59m09.41s',b'04d58m30.13s',0.0327,0.0329,-0.0083,10.678,0.016,66.9,72.090,10.411,0.018,61.8,16.540,1,0,b'0000',b'AA',10,58891.57599356,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.290726,62.650799
74.7892032,4.9750364,b'04h59m09.41s',b'04d58m30.13s',0.0411,0.0426,0.0091,10.797,0.023,47.3,58.640,10.715,0.019,55.9,23.370,1,0,b'0000',b'AA',10,57803.04057147,744104501351045827,10.814,0.023,10.582,0.021,7.151,0.017,4.277,0.026,776038860,13.305,0.0793,12.583,0.0827,11.852,0.0562,0.293411,63.474
