ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
165.2404201,-0.8845633,b'11h00m57.70s',b'-00d53m04.43s',0.1408,0.1196,-0.0297,13.521,0.052,20.8,0.544,12.563,0.069,15.8,0.564,1,0,b'0000',b'AA',10,58825.94202338,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.011904,178.264502
165.2404193,-0.8845656,b'11h00m57.70s',b'-00d53m04.44s',0.1021,0.1050,0.0128,13.647,0.041,26.3,1.378,12.580,0.058,18.9,0.772,1,0,b'0000',b'AA',10,58984.70690653,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.020388,187.124176
165.2404138,-0.8845588,b'11h00m57.70s',b'-00d53m04.41s',0.0943,0.1042,-0.0126,13.565,0.040,27.0,1.160,12.557,0.055,19.8,1.013,1,0,b'0000',b'AA',10,59193.01754571,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.022794,280.955337
165.2404257,-0.8845641,b'11h00m57.70s',b'-00d53m04.43s',0.1200,0.1123,-0.0357,13.566,0.042,25.6,0.783,12.487,0.074,14.7,0.475,1,0,b'0000',b'AA',10,58620.04745351,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.025345,125.730635
165.2404269,-0.8845575,b'11h00m57.70s',b'-00d53m04.41s',0.0905,0.1013,-0.0332,13.419,0.038,28.9,1.131,12.454,0.049,22.0,0.689,1,0,b'0000',b'AA',10,58094.49130338,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.02644,70.081407
165.2404203,-0.8845523,b'11h00m57.70s',b'-00d53m04.39s',0.0922,0.1012,-0.0375,13.483,0.038,28.7,0.954,12.543,0.049,22.1,0.697,1,0,b'0000',b'AA',10,57532.89503961,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.027662,2.230909
165.2404127,-0.8845673,b'11h00m57.70s',b'-00d53m04.44s',0.0892,0.1019,-0.0182,13.502,0.042,25.7,1.018,12.466,0.052,21.1,1.390,1,0,b'0000',b'AA',10,58462.14684432,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.037138,224.996586
165.2404267,-0.8845679,b'11h00m57.70s',b'-00d53m04.44s',0.0951,0.1080,-0.0167,13.523,0.039,28.1,1.244,12.476,0.069,15.7,0.610,1,0,b'0000',b'AA',5,57532.30533782,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.037265,139.702049
165.2404286,-0.8845533,b'11h00m57.70s',b'-00d53m04.39s',0.0987,0.1304,-0.0341,13.600,0.052,21.0,0.761,12.739,0.058,18.6,0.308,1,0,b'0000',b'AA',10,57366.38032235,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.039241,52.075611
165.2404295,-0.8845542,b'11h00m57.70s',b'-00d53m04.40s',0.1007,0.1076,-0.0398,13.484,0.038,28.8,1.108,12.614,0.069,15.7,0.558,1,0,b'0000',b'AA',10,58826.00747569,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.040075,58.591799
165.2404194,-0.8845482,b'11h00m57.70s',b'-00d53m04.37s',0.1225,0.1479,0.0526,13.670,0.054,20.0,0.558,12.731,0.115,9.4,0.537,1,0,b'0000',b'AB',10,56814.97999448,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.042589,357.089509
165.2404228,-0.8845482,b'11h00m57.70s',b'-00d53m04.37s',0.1159,0.1231,-0.0251,13.608,0.044,24.5,1.120,12.703,0.095,11.4,1.325,1,0,b'0000',b'AA',10,59189.94386216,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.043684,13.347193
165.2404303,-0.8845672,b'11h00m57.70s',b'-00d53m04.44s',0.1146,0.1284,-0.0377,13.517,0.042,25.7,1.245,12.638,0.084,12.9,0.804,1,0,b'0000',b'AA',5,59190.13996260,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.045277,124.957876
165.2404235,-0.8845731,b'11h00m57.70s',b'-00d53m04.46s',0.1112,0.1107,0.0256,13.519,0.044,24.9,1.327,12.600,0.054,20.0,0.760,1,0,b'0000',b'AA',10,58253.30356889,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.048792,165.043067
165.2404330,-0.8845643,b'11h00m57.70s',b'-00d53m04.43s',0.0977,0.1031,-0.0108,13.602,0.039,27.6,0.808,12.570,0.064,16.9,0.624,1,0,b'0000',b'AA',10,58984.38003035,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.049273,108.304662
165.2404336,-0.8845633,b'11h00m57.70s',b'-00d53m04.43s',0.1106,0.1202,-0.0508,13.695,0.043,25.0,0.914,12.692,0.057,19.1,0.741,1,0,b'0000',b'AA',10,57001.33916734,1648001601351055959,13.336,0.024,12.328,0.023,9.758,0.048,7.612,0.171,230426372,16.267,0.0959,15.538,0.1154,14.481,0.0855,0.050411,103.640617
