ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
178.1144796,32.1664883,b'11h52m27.48s',b'32d09m59.36s',0.1865,0.2066,-0.0595,13.986,0.064,16.9,2.051,13.086,0.128,8.5,0.789,1,0,b'0000',b'AB',10,58618.22231920,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.088922,42.196673
178.1144492,32.1664950,b'11h52m27.47s',b'32d09m59.38s',0.1383,0.1596,-0.0349,13.958,0.069,15.8,2.747,13.435,0.081,13.4,1.420,1,0,b'0000',b'AA',10,58251.08521091,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.095825,339.913039
178.1144715,32.1664346,b'11h52m27.47s',b'32d09m59.16s',0.1409,0.2016,-0.0462,14.195,0.063,17.3,0.976,13.369,0.085,12.8,0.532,1,0,b'0000',b'AA',10,56809.13022873,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.132164,164.624035
178.1144901,32.1664987,b'11h52m27.48s',b'32d09m59.40s',0.1272,0.1434,-0.0427,13.917,0.049,22.2,1.222,13.109,0.095,11.4,0.846,1,0,b'0000',b'AA',10,58459.06539168,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.138175,41.598585
178.1145256,32.1664688,b'11h52m27.49s',b'32d09m59.29s',0.1563,0.1657,-0.0151,14.138,0.063,17.2,3.193,13.197,0.071,15.2,0.909,1,0,b'0000',b'AA',10,56809.59080895,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.199948,91.237932
178.1144509,32.1665296,b'11h52m27.47s',b'32d09m59.51s',0.1156,0.1433,0.0103,13.913,0.048,22.4,2.680,13.318,0.095,11.5,0.996,1,0,b'0000',b'AA',10,58614.82125083,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.216355,352.635454
178.1145267,32.1665051,b'11h52m27.49s',b'32d09m59.42s',0.1625,0.1613,-0.0605,13.932,0.074,14.6,2.428,13.336,0.100,10.9,0.530,1,0,b'0000',b'AA',10,58092.78293575,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.239345,58.132479000000004
178.1144897,32.1665333,b'11h52m27.48s',b'32d09m59.52s',0.1469,0.1440,0.0257,14.046,0.058,18.8,1.003,13.297,0.082,13.3,1.035,1,0,b'0000',b'AA',10,56999.42679750,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.245194,21.661737
178.1144790,32.1665508,b'11h52m27.47s',b'32d09m59.58s',0.1379,0.2049,0.0406,14.145,0.069,15.8,3.071,13.451,0.088,12.4,1.255,1,0,b'0000',b'AA',5,57890.92435867,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.296581,11.257816
178.1144718,32.1665528,b'11h52m27.47s',b'32d09m59.59s',0.1248,0.1464,0.0560,14.102,0.052,20.9,4.562,13.269,0.087,12.5,0.865,1,0,b'0000',b'AA',5,58982.48957664,1782131801351045527,13.972,0.028,12.962,0.027,10.022,0.056,7.493,0.186,180691531,16.474,0.1337,15.824,0.1905,15.036,0.1405,0.300238,6.878753
