source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05529a154',55362.44347350,14.782,0.082,1.287,13.915,0.119,1.038,10.728,0.250,0.915,8.060,,1.308,1.0,102,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05513a214',55361.91425830,14.917,0.093,1.407,13.903,0.118,1.043,10.909,0.301,0.904,7.512,0.341,1.146,1.0,68,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05514a238',55361.98047390,14.793,0.087,1.286,13.945,0.121,1.031,10.474,0.206,1.007,7.512,0.363,1.146,1.0,75,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05509a215',55361.78208180,15.107,0.116,1.935,14.214,0.141,1.196,10.911,0.352,0.904,7.373,,1.114,1.0,65,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05510a238',55361.84817010,14.799,0.087,1.286,13.926,0.121,1.035,11.372,0.490,0.971,7.698,0.416,1.113,1.0,66,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05506a238',55361.71586620,14.759,0.081,1.296,13.931,0.135,1.033,10.726,0.269,0.915,7.135,,1.099,1.0,67,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05509a214',55361.78195450,14.814,0.090,1.290,13.877,0.108,1.058,10.776,0.275,0.909,7.223,,1.103,1.0,64,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05505a214',55361.64965060,14.811,0.082,1.289,13.826,0.108,1.104,10.910,0.338,0.904,7.902,0.506,1.099,1.0,75,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05505a215',55361.64977790,14.731,0.077,1.321,13.904,0.115,1.043,10.781,0.280,0.908,7.206,,1.098,1.0,75,b'0000',0.086988,56.314974
b'2090p499_ac51-021468',209.7326110,49.5705734,b'13h58m55.83s',b'49d34m14.06s',1,0,b'0000',b'05501a179',55361.51747420,14.850,0.084,1.313,13.906,0.116,1.042,10.719,0.331,0.917,7.234,0.278,1.257,1.0,92,b'0000',0.086988,56.314974
