source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01697a085',55235.67124730,13.141,0.034,1.856,12.462,0.050,1.067,9.739,0.114,0.961,7.294,0.301,0.872,1.0,16,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01701a085',55235.80355150,13.123,0.043,1.849,12.566,0.053,1.081,9.760,0.117,0.958,7.421,0.459,0.869,1.0,-1,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01689a085',55235.40663900,13.067,0.036,1.838,12.611,0.059,1.214,9.844,0.155,0.969,7.298,,1.072,1.0,90,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01693a085',55235.53894320,13.071,0.033,1.838,12.518,0.048,1.019,9.884,0.151,0.986,7.414,0.403,0.869,1.0,47,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01685a086',55235.27433480,13.106,0.040,1.844,12.532,0.051,1.027,9.794,0.123,0.958,7.215,0.287,0.882,1.0,104,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01686a109',55235.34042320,13.083,0.034,1.840,12.512,0.054,1.017,9.742,0.115,0.960,7.389,0.347,0.869,1.0,110,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01682b109',55235.20811910,13.097,0.033,1.842,12.565,0.053,1.079,9.786,0.124,0.957,7.558,0.395,0.878,1.0,84,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01685a085',55235.27420750,13.138,0.040,1.855,12.561,0.051,1.071,9.962,0.186,1.037,7.780,0.466,0.908,1.0,104,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01678a110',55235.07581490,13.094,0.040,1.841,12.524,0.049,1.021,9.604,0.107,1.051,6.959,0.227,0.971,1.0,41,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01681a085',55235.14190330,13.108,0.038,1.845,12.620,0.049,1.251,9.870,0.125,0.980,7.362,0.313,0.869,1.0,63,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01670a109',55234.81107920,13.150,0.040,1.860,12.630,0.053,1.292,9.730,0.125,0.963,7.603,0.398,0.882,1.0,-2,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'01674a109',55234.94338330,13.085,0.037,1.840,12.548,0.050,1.047,9.714,0.129,0.968,7.052,0.244,0.926,1.0,6,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07433b195',55425.44339210,12.964,0.033,1.863,12.349,0.042,1.644,,,,,,,1.0,10,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07452a170',55426.03869670,12.868,0.035,1.955,12.378,0.051,1.429,,,,,,,1.0,47,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07444a169',55425.77408850,12.915,0.032,1.901,12.413,0.045,1.232,,,,,,,1.0,108,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07432a171',55425.37717630,12.339,0.166,4.700,12.469,0.048,1.053,,,,,,,1.0,1,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07448a169',55425.90639260,13.036,0.034,1.839,12.483,0.047,1.032,,,,,,,1.0,89,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07425b194',55425.17878390,12.956,0.033,1.868,12.509,0.050,1.017,,,,,,,1.0,18,b'0000',0.10962,155.922698
b'0577m061_ac51-021252',58.2542625,-6.3906378,b'03h53m01.02s',b'-06d23m26.30s',1,0,b'0000',b'07429b196',55425.31108800,13.048,0.044,1.838,12.450,0.048,1.095,,,,,,,0.5,0,b'0000',0.10962,155.922698
