ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
167.6060016,-0.0594808,b'11h10m25.44s',b'-00d03m34.13s',0.1995,0.2236,-0.0593,14.549,0.071,15.4,0.638,14.191,0.201,5.4,0.801,1,0,b'0000',b'AB',10,57894.97752517,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.039361,171.573035
167.6059945,-0.0594601,b'11h10m25.44s',b'-00d03m34.06s',0.1801,0.2052,0.0363,14.301,0.065,16.7,1.284,13.701,0.157,6.9,0.980,1,0,b'0000',b'AB',10,58099.33511522,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.040776,330.945409
167.6060056,-0.0594587,b'11h10m25.44s',b'-00d03m34.05s',0.2055,0.2177,0.0506,14.435,0.087,12.4,0.991,13.548,0.123,8.8,0.713,1,0,b'0000',b'AB',10,57894.38820478,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.045381,26.361863
167.6059864,-0.0594697,b'11h10m25.44s',b'-00d03m34.09s',0.1569,0.1639,-0.0273,14.261,0.059,18.3,1.290,13.519,0.121,9.0,0.741,1,0,b'0000',b'AB',10,58621.61778483,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.048985,271.263673
167.6059956,-0.0594849,b'11h10m25.44s',b'-00d03m34.15s',0.1444,0.1647,-0.0594,14.139,0.055,19.8,0.959,13.544,0.099,11.0,0.927,1,0,b'0000',b'AA',10,57175.46267662,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.055919,196.451968
167.6060158,-0.0594686,b'11h10m25.44s',b'-00d03m34.09s',0.1739,0.1885,-0.0681,14.311,0.060,18.2,0.719,13.740,0.143,7.6,0.567,1,0,b'0000',b'AB',10,58986.66905523,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.057089,84.93638
167.6059873,-0.0594813,b'11h10m25.44s',b'-00d03m34.13s',0.2073,0.2326,0.0694,14.491,0.082,13.2,0.518,13.723,0.132,8.2,0.798,1,0,b'0000',b'AB',10,58827.96949936,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.061164,228.338455
167.6060017,-0.0594521,b'11h10m25.44s',b'-00d03m34.03s',0.1731,0.1960,-0.0615,14.360,0.065,16.6,1.207,13.499,0.116,9.4,0.477,1,0,b'0000',b'AB',10,58827.11913626,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.064764,5.425224
167.6060152,-0.0594798,b'11h10m25.44s',b'-00d03m34.13s',0.1693,0.1982,-0.0429,14.298,0.072,15.1,1.068,13.361,0.106,10.3,0.670,1,0,b'0000',b'AA',5,58099.07330832,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.065128,122.811381
167.6059883,-0.0594557,b'11h10m25.44s',b'-00d03m34.04s',0.1951,0.2122,0.0330,14.502,0.072,15.1,0.602,14.092,0.166,6.5,0.526,1,0,b'0000',b'AB',10,57894.12639813,1678100001351033527,14.667,0.032,14.060,0.043,11.582,0.204,8.677,0.367,1298387297,16.686,0.1425,16.016,0.1513,15.318,0.1817,0.066492,320.710608
