source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'04846a193',55339.88102790,16.235,0.265,1.281,15.399,0.411,1.066,,,,7.044,,0.926,1.0,45,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'04850a192',55340.01320450,16.174,,1.735,15.073,0.365,1.041,10.793,0.312,1.237,7.356,,0.899,1.0,62,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10544a088',55528.27602250,15.618,0.160,1.244,14.467,0.237,1.310,,,,,,,1.0,45,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10533b114',55527.94545280,16.013,0.239,1.180,15.024,0.388,1.043,,,,,,,1.0,101,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'04846a192',55339.88090060,15.657,0.158,1.215,15.388,0.444,1.064,10.955,,1.009,7.601,0.405,0.991,1.0,45,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10548a088',55528.40832680,16.003,0.231,1.177,14.393,0.217,1.402,,,,,,,1.0,42,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10545b114',55528.34223830,15.452,0.166,1.456,14.716,0.276,1.118,,,,,,,1.0,41,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10552a018',55528.54063100,15.434,0.139,1.489,14.703,,1.081,,,,,,,1.0,59,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10550a069',55528.47441520,15.584,0.158,1.276,15.278,0.482,1.051,,,,,,,1.0,49,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10610a018',55530.45846970,15.915,0.208,1.158,14.754,0.279,1.101,,,,,,,1.0,46,b'0000',0.077574,28.156553
b'1694p318_ac51-046320',169.6235920,32.0666890,b'11h18m29.66s',b'32d04m00.08s',1,0,b'0000',b'10605b110',55530.32616540,15.873,0.212,1.154,14.921,0.314,1.055,,,,,,,1.0,41,b'0000',0.077574,28.156553
