ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
238.2427924,27.6245835,b'15h52m58.27s',b'27d37m28.50s',0.1022,0.1083,-0.0085,13.492,0.039,27.9,1.416,12.907,0.068,16.1,0.914,1,0,b'0000',b'AA',10,56696.57586674,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.01474,31.280609
238.2427803,27.6245802,b'15h52m58.27s',b'27d37m28.49s',0.1146,0.1366,-0.0502,13.516,0.047,23.2,1.088,12.858,0.087,12.4,0.776,1,0,b'0000',b'AA',5,57426.16381146,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.030889,271.333114
238.2427794,27.6245757,b'15h52m58.27s',b'27d37m28.47s',0.1111,0.1289,-0.0288,13.811,0.045,24.0,1.622,13.193,0.076,14.3,0.449,1,0,b'0000',b'AA',10,58157.58230832,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.037138,245.399162
238.2427812,27.6245872,b'15h52m58.27s',b'27d37m28.51s',0.1453,0.1347,0.0483,13.615,0.056,19.3,2.489,13.556,0.155,7.0,0.557,1,0,b'0000',b'AB',5,59047.62424859,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.038266,312.720958
238.2427788,27.6245720,b'15h52m58.27s',b'27d37m28.46s',0.1459,0.1991,-0.0357,13.747,0.060,18.1,1.894,13.615,0.133,8.1,0.691,1,0,b'0000',b'AB',5,58682.98491791,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.045898,231.124687
238.2427818,27.6245912,b'15h52m58.27s',b'27d37m28.53s',0.1205,0.1148,-0.0345,13.510,0.042,25.9,1.952,13.088,0.081,13.3,0.760,1,0,b'0000',b'AA',5,56877.55485814,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.048109,327.029253
238.2427769,27.6245885,b'15h52m58.27s',b'27d37m28.52s',0.1124,0.1288,-0.0238,13.714,0.042,25.6,1.715,13.531,0.107,10.1,0.764,1,0,b'0000',b'AA',5,59047.82034865,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.051797,306.21674
238.2428056,27.6245937,b'15h52m58.27s',b'27d37m28.54s',0.1352,0.1534,-0.0769,13.669,0.048,22.5,2.155,13.186,0.122,8.9,0.706,1,0,b'0000',b'AB',5,58885.91314168,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.070089,45.253299
238.2428103,27.6245895,b'15h52m58.27s',b'27d37m28.52s',0.1055,0.1188,-0.0341,13.475,0.041,26.8,1.667,12.993,0.065,16.7,0.695,1,0,b'0000',b'AA',10,57594.81699468,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.073252,62.157355
238.2428130,27.6245809,b'15h52m58.28s',b'27d37m28.49s',0.1322,0.1498,-0.0229,13.534,0.052,21.0,1.026,13.011,0.071,15.3,0.959,1,0,b'0000',b'AA',5,57425.83604219,2383127201351044897,13.764,0.024,13.389,0.029,11.191,0.087,9.120,,1012927106,15.782,0.0912,14.903,0.1036,14.390,0.0840,0.073445,87.471168
