Source_Name,DataRelease,RAJ2000,DEJ2000,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Redshift,SED_class,HE_EPeak,Unc_HE_EPeak,HE_nuFnuPeak,Unc_HE_nuFnuPeak,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy,pearson_coeff_neo,sigma_m_w1_neo,mean_m_w1_neo,sigma_m_w2_neo,mean_m_w2_neo,len_neo,W1-W2
4FGL J0006.3-0620,1,1.5992,-6.3493,93.64702,-66.62518,5.253405,1.2675634e-10,2.7863328e-11,1.4257431e-12,3.1776128e-13,PowerLaw,2.1502833,0.15317643,2238.374,2.1237488,0.21172261,0.12460078,0.1514494,0,bll,PKS 0003-066,0.9901411,0.9994688,cgrabs,1.55788704167,-6.39314870278,6.799999852091787e-08,RFC J0006-0623,0.347,LSP,1362.2916,1436.0742,1.6100594e-07,4.4068674e-08,8317638000000.0,8.180352e-12,23.379368,0.4856095,0.33241215,-inf,0.7808191665334628,0.38274794102813203,13.612702127659572,0.214054410442964,13.303723404255319,47.0,0.30897872340425525
4FGL J0040.3+4050,1,10.0989,40.8362,120.67978,-21.987257,9.292199,1.8710554e-10,3.6993034e-11,2.1476165e-12,3.7227166e-13,PowerLaw,1.9184054,0.14543115,5582.694,1.987719,0.09332645,-0.07213549,0.033323612,0,bll,B3 0037+405,0.9963499,0.87867224,bllac,10.0575411875,40.8346463778,1.203626197820995e-06,RFC J0040+4050,-inf,LSP,,,-inf,-inf,19054608000000.0,5.794887e-13,18.322449,0.4897092,0.2766042,118.511,-0.19049343442531153,0.355675174617796,14.982876543209874,0.541551432610441,14.451444444444444,81.0,0.531432098765432
4FGL J0132.8-4413,1,23.2077,-44.2239,279.65857,-70.986404,13.929928,2.7863448e-10,2.946903e-11,3.119171e-12,3.2323414e-13,PowerLaw,2.1314054,0.08328839,1823.9336,2.114639,0.09801666,0.015082857,0.046530828,0,bll,SUMSS J013306-441422,0.9905101,0.0,bzcat,23.2765218583,-44.2392775694,7.972524258548219e-07,RFC J0133-4414,-inf,ISP,40.79018,551.465,3.722313e-07,3.1700156e-07,463446940000000.0,1.1277738e-12,9.41406,0.0,10.0,77.1281,-0.5580569593879718,0.447860828787329,15.026616438356164,4.625831967621772,14.256712328767124,73.0,0.7699041095890411
4FGL J0331.8-7040,2,52.969,-70.6697,286.52756,-40.964478,6.792906,2.450411e-11,7.535786e-12,9.641018e-13,3.2529461e-13,LogParabola,1.6244115,0.18318704,19173.797,0.9360819,0.4729535,0.90198624,0.49730685,4,bll,SUMSS J033202-703952,0.9983899,0.0,whsp2,53.00979232788086,-70.66358184814453,0.0045000000000000005,,0.277,HSP,34581.15,11945.054,3.4938924e-07,1.29309e-07,7328245500000000.0,1.6545847e-12,14.705848,0.0,10.0,48.3118,-0.18041336809971126,0.36765854300432194,15.520129629629627,0.0,15.131851851851852,54.0,0.3882777777777779
4FGL J0333.7+7851,1,53.445,78.8501,130.55371,18.462017,24.606585,6.216532e-10,3.866165e-11,6.9148224e-12,4.2916677e-13,PowerLaw,2.0911906,0.048676062,2225.205,2.048314,0.0640897,0.042676214,0.03297094,0,bll,WN B0326.7+7840,0.99928796,0.9544994,rfc,53.435713725,78.8412639639,1.2000000424450263e-06,RFC J0333+7850,0.4,ISP,1263.387,1319.555,6.83993e-07,4.9600278e-08,179887090000000.0,1.941999e-12,12.299726,0.06921569,0.16765289,49.0903,-0.05448319894334415,0.1817705514436013,16.1126,0.0,15.106166666666669,30.0,1.0064333333333333
4FGL J0437.4-6155,1,69.3535,-61.9321,272.46332,-39.310204,10.663158,2.0368615e-10,2.5556213e-11,2.3652553e-12,3.0044213e-13,PowerLaw,2.2293797,0.09903111,1775.0594,2.1509075,0.14201394,0.084210075,0.08078976,0,bll,PMN J0437-6157,0.0,0.83195156,sumss,69.3324203491211,-61.94858169555664,0.0044999998062849045,,-inf,,724.5645,1072.3021,2.6159523e-07,4.7423878e-08,0.0,0.0,7.114842,0.0,10.0,44.3445,0.0842644308786147,0.9282930961267337,13.166698795180725,2.161249542983807,12.729946643717728,581.0,0.4367521514629948
4FGL J0509.9-6417,1,77.4876,-64.2891,274.27008,-35.189407,17.74607,3.505114e-10,3.2585074e-11,4.0416117e-12,3.8012638e-13,PowerLaw,1.9086615,0.06707854,3402.1594,1.9140403,0.07490033,-0.0050926576,0.031340946,0,bll,RBS 0625,0.99913657,0.97694767,rfc,77.4887124667,-64.2949334528,1.4999999621068127e-05,RFC J0509-6417,0.271,HSP,,,-inf,-inf,1.1481536e+17,4.159834e-12,26.126818,0.3680643,0.1386659,293.246,0.4072621522540043,0.5468461291477305,13.644894736842108,0.6202056838227133,12.905184210526315,76.0,0.7397105263157896
4FGL J0626.4-1712,1,96.6175,-17.2017,225.73744,-13.137516,6.8819056,2.3961427e-10,4.0658414e-11,2.8734812e-12,5.5062655e-13,PowerLaw,2.2830894,0.14152469,2057.6306,2.3010237,0.12364592,-0.030255567,0.04772065,4,bll,2MASS J06262650-1710467,0.9984562,0.9628597,whsp2,96.6094970703125,-17.179611206054688,0.008999999612569809,,0.7,HSP,,,-inf,-inf,1.566751e+16,4.6825885e-12,8.810808,0.0,10.0,39.3363,-0.5617129673607745,0.7663758617577815,15.330806451612903,3.998836366757473,14.586709677419357,31.0,0.7440967741935485
4FGL J0747.5-4927,1,116.8817,-49.4608,262.80573,-11.909673,13.540917,4.3236342e-10,4.5333962e-11,4.9059663e-12,5.5312975e-13,PowerLaw,2.1773398,0.08302747,2679.5845,2.1674807,0.091660455,0.017204542,0.040437113,2,bll,2MASS J07472476-4926332,0.9989904,0.89514273,whsp2,116.85308074951172,-49.442527770996094,0.008999999612569809,,-inf,ISP,20.616245,255.29251,6.6104684e-07,7.3305e-07,272270120000000.0,7.0616955e-13,14.189205,0.13936873,0.21845369,44.5308,-0.053876641898492256,0.29761322616515,15.212333333333335,0.0,15.047977777777785,45.0,0.16435555555555562
4FGL J0806.5+5930,1,121.6497,59.5142,157.67772,32.57346,14.356709,2.6434085e-10,2.9112098e-11,2.9539838e-12,3.2050664e-13,PowerLaw,2.0004911,0.083655424,3262.9358,2.0293174,0.07887525,-0.03043073,0.031477448,0,bll,SBS 0802+596,0.9976161,0.9558067,bzcat,121.608119242,59.5185860167,3.199999980552093e-07,RFC J0806+5931,0.3,HSP,,,-inf,-inf,1.0715193e+16,2.1036816e-12,23.021349,0.3931544,0.16684209,146.122,-0.4715867616778421,0.31138048455905615,15.614594594594594,0.0,15.135108108108106,37.0,0.47948648648648656
