,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,FUV (GALEX) AB       ,21.86,+/- 0.13   , mag                 ,1950000000000000.0,6.55e-06,+/- 7.84E-07 ,Jy                   ,"Broad-band
",                                        ,2009AJ....137.3761B,1
1,2,FUV (GALEX) AB       ,21.4863,+/- 0.314771 ,mag                  ,1950000000000000.0,9.24e-06,+/- 2.68E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,2
2,3,FUV (GALEX) AB       ,22.0326,+/- 0.440546 ,mag                  ,1950000000000000.0,5.58e-06,+/- 2.27E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,3
3,4,FUV (GALEX) AB       ,21.5978,+/- 0.0855556 ,mag                  ,1950000000000000.0,8.34e-06,+/- 6.57E-07 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,4
4,5,FUV (GALEX) AB       ,21.9277,+/- 0.0960901 ,mag                  ,1950000000000000.0,6.15e-06,+/- 5.44E-07 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,5
5,6,NUV (GALEX) AB       ,21.9536,+/- 0.289882 ,mag                  ,1290000000000000.0,6.01e-06,+/- 1.60E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,6
6,7,NUV (GALEX) AB       ,22.1764,+/- 0.266170 ,mag                  ,1290000000000000.0,4.89e-06,+/- 1.20E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,7
7,8,NUV (GALEX) AB       ,21.4587,+/- 0.0675139 ,mag                  ,1290000000000000.0,9.47e-06,+/- 5.89E-07 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,8
8,9,NUV (GALEX) AB       ,21.8219,+/- 0.0588158 ,mag                  ,1290000000000000.0,6.78e-06,+/- 3.67E-07 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,9
9,10,NUV (GALEX) AB       ,21.8,+/- 0.12   , mag                 ,1290000000000000.0,6.92e-06,+/- 7.65E-07 ,Jy                   ,"Broad-band
",                                        ,2009AJ....137.3761B,10
10,11,u (SDSS CModel) AB   ,20.395,           ...,asinh mag            ,836000000000000.0,2.52e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,11
11,12,u (SDSS Petrosian)AB ,20.05,+/- 0.133  ,asinh mag            ,836000000000000.0,3.6e-05,+/- 4.41E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    2.92"".         
",2004SDSS2.C...0000:,12
12,13,u (SDSS PSF) AB      ,20.813000000000002,+/- 0.072  ,asinh mag            ,836000000000000.0,1.7800000000000002e-05,+/- 1.18E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,13
13,14,u (SDSS CModel) AB   ,20.395,           ...,asinh mag            ,836000000000000.0,2.62e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,14
14,15,u (SDSS Model) AB    ,20.265,+/- 0.076  ,asinh mag            ,836000000000000.0,2.95e-05,+/- 2.07E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,15
15,16,u (SDSS PSF) AB      ,20.813000000000002,+/- 0.072  ,asinh mag            ,836000000000000.0,1.7800000000000002e-05,+/- 1.19E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,16
16,17,u (SDSS Model) AB    ,20.265,+/- 0.076  ,asinh mag            ,836000000000000.0,2.95e-05,+/- 2.08E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,17
17,18,b_J                  ,20.29,+/- 0.17   ,mag                  ,641000000000000.0,3.02e-05,+/- 5.13E-06 ,Jy                   ,"Broad-band
",                                        ,1990MNRAS.243..692M,18
18,19,g (SDSS CModel) AB   ,19.996,           ...,asinh mag            ,617000000000000.0,3.64e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,19
19,20,g (SDSS PSF) AB      ,20.439,+/- 0.030  ,asinh mag            ,617000000000000.0,2.42e-05,+/- 6.70E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,20
20,21,g (SDSS CModel) AB   ,19.996,           ...,asinh mag            ,617000000000000.0,3.64e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,21
21,22,g (SDSS Model) AB    ,19.855,+/- 0.020  ,asinh mag            ,617000000000000.0,4.15e-05,+/- 7.64E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,22
22,23,g (SDSS Petrosian)AB ,19.955,+/- 0.040  ,asinh mag            ,617000000000000.0,3.78e-05,+/- 1.39E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.82"".         
",2004SDSS2.C...0000:,23
23,24,g (SDSS PSF) AB      ,20.439,+/- 0.030  ,asinh mag            ,617000000000000.0,2.42e-05,+/- 6.61E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,24
24,25,g (SDSS Model) AB    ,19.855,+/- 0.020  ,asinh mag            ,617000000000000.0,4.15e-05,+/- 7.65E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,25
25,26,r (SDSS CModel) AB   ,19.141,           ...,asinh mag            ,477000000000000.0,8.01e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,26
26,27,r (SDSS CModel) AB   ,19.141,           ...,asinh mag            ,477000000000000.0,8.01e-05,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,27
27,28,r (SDSS Petrosian)AB ,19.2,+/- 0.032  ,asinh mag            ,477000000000000.0,7.59e-05,+/- 2.24E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    0.92"".         
",2004SDSS2.C...0000:,28
28,29,r (SDSS Model) AB    ,19.141,+/- 0.017  ,asinh mag            ,477000000000000.0,8.01e-05,+/- 1.25E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,29
29,30,r (SDSS PSF) AB      ,19.858,+/- 0.020  ,asinh mag            ,477000000000000.0,4.14e-05,+/- 7.62E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,30
30,31,r (SDSS PSF) AB      ,19.858,+/- 0.020  ,asinh mag            ,477000000000000.0,4.14e-05,+/- 7.64E-07 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,31
31,32,r (SDSS Model) AB    ,19.141,+/- 0.017  ,asinh mag            ,477000000000000.0,8.01e-05,+/- 1.23E-06 ,Jy                   ,"Broad-band
","SDSS Effective Radius =   0.26"" x   0.20"".
",2004SDSS2.C...0000:,32
32,33,i (SDSS Model) AB    ,18.714000000000002,+/- 0.018  ,asinh mag            ,389000000000000.0,0.00011899999999999999,+/- 1.97E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,33
33,34,i (SDSS Petrosian)AB ,18.686,+/- 0.035  ,asinh mag            ,389000000000000.0,0.000229,+/- 7.39E-06 ,Jy                   ,"Broad-band
","SDSS Petrosian Radius =    1.04"".         
",2004SDSS2.C...0000:,34
34,35,i (SDSS Model) AB    ,18.714000000000002,+/- 0.018  ,asinh mag            ,389000000000000.0,0.00011899999999999999,+/- 1.97E-06 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2004SDSS2.C...0000:,35
