,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,5-10 keV (XMM)       , 6.1E-13                       ,           ...,erg cm^-2^ s^-1^     ,1.81e+18,3.3700000000000004e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2005A&A...444..119G,1
1,2,2-10 keV (XMM)       , 1.21E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+18,8.339999999999999e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2005A&A...444..119G,2
2,3,0.5-2 keV (XMM)      , 0.48E-12                      ,           ...,erg cm^-2^ s^-1^     ,3.02e+17,1.59e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2005A&A...444..119G,3
3,4,FUV (GALEX) AB       , 17.7623                       ,+/- 0.0654616 ,mag                  ,1950000000000000.0,0.000285,+/- 1.72E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,4
4,5,FUV (GALEX) AB       , 21.0330                       ,+/- 0.295581 ,mag                  ,1950000000000000.0,1.4000000000000001e-05,+/- 3.82E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,5
5,6,NUV (GALEX) AB       , 17.2604                       ,+/- 0.0312924 ,mag                  ,1290000000000000.0,0.000453,+/- 1.30E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,6
6,7,NUV (GALEX) AB       , 19.9958                       ,+/- 0.102810 ,mag                  ,1290000000000000.0,3.65e-05,+/- 3.45E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,7
7,8,U (U_T)              , 14.64                         ,+/- 0.11   ,mag                  ,819000000000000.0,0.00252,+/- 2.63E-04 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,8
8,9,U (U_T^0)            , 13.56                         ,           ...,mag                  ,819000000000000.0,0.0068200000000000005,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,9
9,10,B (B_T^0)            , 13.45                         ,           ...,mag                  ,681000000000000.0,0.0178,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,10
10,11,m_p                  , 14.0                          ,+/- 0.4    ,mag                  ,681000000000000.0,0.0107,+/- 4.77E-03 ,Jy                   ,"Broad-band
",                                        ,1968CGCG6.C...0000Z,11
11,12,B (m_B)              , 13.86                         ,+/- 0.18   ,mag                  ,681000000000000.0,0.0122,+/- 2.20E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,12
12,13,B (B_T)              , 14.39                         ,+/- 0.10   ,mag                  ,681000000000000.0,0.00747,+/- 7.21E-04 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,13
13,14,J_pg                 , 14.                           ,+/- 0.3    , mag                 ,641000000000000.0,0.00992,+/- 2.74E-03 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,14
14,15,[O III] (CAHA)       , 4.84E-14                      ,           ...,erg/s/cm^2^          ,599000000000000.0,4840000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2007A&A...464..541R,15
15,16,V (Johnson)          , 13.85                         ,           ...,mag                  ,542000000000000.0,0.0105,    ...      ,Jy                   ,"Broad-band
","38.7"" aperture                          ",1988VIrPh.C...0000d,16
16,17,V (Johnson)          , 14.12                         ,           ...,mag                  ,542000000000000.0,0.008190000000000001,    ...      ,Jy                   ,"Broad-band
","25"" aperture                            ",1988VIrPh.C...0000d,17
17,18,V (Johnson)          , 13.43                         ,           ...,mag                  ,542000000000000.0,0.0155,    ...      ,Jy                   ,"Broad-band
","82.8"" aperture                          ",1988VIrPh.C...0000d,18
18,19,V (Johnson)          , 14.12                         ,           ...,mag                  ,542000000000000.0,0.008190000000000001,    ...      ,Jy                   ,"Broad-band
","25"" aperture                            ",1988VIrPh.C...0000d,19
19,20,V (V_T^0)            , 12.67                         ,           ...,mag                  ,542000000000000.0,0.0311,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,20
20,21,V (Cousins)          , 12.84                         ,+/- 0.05   ,mag                  ,542000000000000.0,0.0266,+/- 1.25E-03 ,Jy                   ,"Broad-band
",Flux within I=23.5 mag/arcsec^2 isophote,1992ApJS...81...35H,21
21,22,V (V_T)              , 13.40                         ,+/- 0.10   ,mag                  ,542000000000000.0,0.0159,+/- 1.56E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,22
22,23,F_pg                 , 12.9                          ,+/- 0.3    , mag                 ,468000000000000.0,0.0213,+/- 5.89E-03 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,23
23,24,H{alpha} (CAHA)      , 1.04E-13                      ,           ...,erg/s/cm^2^          ,457000000000000.0,10400000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2007A&A...464..541R,24
24,25,R (Johnson)          , 13.17                         ,           ...,mag                  ,428000000000000.0,0.015,    ...      ,Jy                   ,"Broad-band
","25"" aperture                            ",1988VIrPh.C...0000d,25
25,26,R (Johnson)          , 13.17                         ,           ...,mag                  ,428000000000000.0,0.015,    ...      ,Jy                   ,"Broad-band
","25"" aperture                            ",1988VIrPh.C...0000d,26
26,27,R (Johnson)          , 12.72                         ,           ...,mag                  ,428000000000000.0,0.0227,    ...      ,Jy                   ,"Broad-band
","38.7"" aperture                          ",1988VIrPh.C...0000d,27
27,28,R (Johnson)          , 12.57                         ,           ...,mag                  ,428000000000000.0,0.0261,    ...      ,Jy                   ,"Broad-band
","82.8"" aperture                          ",1988VIrPh.C...0000d,28
28,29,I_t_                 , 12.10                         ,           ...,mag                  ,380000000000000.0,0.0344,    ...      ,Jy                   ,"Broad-band
",                                        ,1997AJ....113...22G,29
29,30,I_corr_              , 11.80                         ,+/- 0.12   ,mag                  ,380000000000000.0,0.0454,+/- 1.96E-02 ,Jy                   ,"Broad-band
",                                        ,1997AJ....113...22G,30
30,31,I (Cousins) (I_23.5) , 11.75                         ,+/- 0.05   ,mag                  ,380000000000000.0,0.0509,+/- 2.40E-03 ,Jy                   ,"Broad-band
",                                        ,1992ApJS...81...35H,31
31,32,I (Cousins) (I_T)    , 11.68                         ,+/- 0.05   ,mag                  ,380000000000000.0,0.0543,+/- 2.56E-03 ,Jy                   ,"Broad-band
",                                        ,1992ApJS...81...35H,32
32,33,I                    , 12.12                         ,+/- 0.02   , mag                 ,379000000000000.0,0.0362,+/- 6.67E-04 ,Jy                   ,"Broad-band
",Observed magnitude                      ,2007ApJS..172..599S,33
33,34,I                    , 11.43                         ,           ..., mag                 ,379000000000000.0,0.0683,    ...      ,Jy                   ,"Broad-band
",                                        ,2007ApJS..172..599S,34
34,35,J (2MASS/FLWO)       , 12.629                        ,+/- 0.043  ,mag                  ,243000000000000.0,0.0142,+/- 5.61E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,35
35,36,J (2MASS/FLWO)       , 12.302                        ,+/- 0.004  ,mag                  ,243000000000000.0,0.0191,+/- 7.05E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,36
36,37,J_14arcsec (2MASS)   , 11.821                        ,+/- 0.005  ,mag                  ,240000000000000.0,0.0298,+/- 1.37E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,37
37,38,J                    , 11.108                        ,+/- 0.014  ,mag                  ,240000000000000.0,0.0574,+/- 7.45E-04 ,Jy                   ,"Broad-band
",  68.4 x   26.0 arcsec integration area.,20032MASX.C.......:,38
38,39,J                    , 10.992                        ,+/- 0.016  ,mag                  ,240000000000000.0,0.0638,+/- 9.48E-04 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,39
39,40,[Fe II] 1.257 line   , 5.05E-15                      ,+/- 0.30E-15 ,erg cm^-2^ s^-1^     ,238000000000000.0,505000000.0,+/- 3.00E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,40
40,41,Pa{beta} line        , 14.90E-15                     ,+/- 2.66E-15 ,erg cm^-2^ s^-1^     ,234000000000000.0,1490000000.0,+/- 2.66E+08 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,41
41,42,H                    , 10.376                        ,+/- 0.020  ,mag                  ,182000000000000.0,0.0724,+/- 1.35E-03 ,Jy                   ,"Broad-band
",  68.4 x   26.0 arcsec integration area.,20032MASX.C.......:,42
42,43,H_14arcsec (2MASS)   , 11.083                        ,+/- 0.006  ,mag                  ,182000000000000.0,0.0378,+/- 2.09E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,43
43,44,H                    , 10.289                        ,+/- 0.019  ,mag                  ,182000000000000.0,0.0785,+/- 1.39E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,44
44,45,H (2MASS/FLWO)       , 11.561                        ,+/- 0.015  ,mag                  ,180000000000000.0,0.0243,+/- 3.36E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,45
45,46,H (2MASS/FLWO)       , 11.957                        ,+/- 0.054  ,mag                  ,180000000000000.0,0.0169,+/- 8.40E-04 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,46
46,47,H_2_ (1-0) S(3) line , 1.63E-15                      ,+/- 0.10E-15 ,erg cm^-2^ s^-1^     ,153000000000000.0,163000000.0,+/- 1.00E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,47
47,48,H_2_ (1-0) S(2) line , 0.92E-15                      ,+/- 0.12E-15 ,erg cm^-2^ s^-1^     ,147000000000000.0,92000000.0,+/- 1.20E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,48
48,49,H_2_ (1-0) S(1) line , 0.08E-15                      ,           ...,erg cm^-2^ s^-1^     ,141000000000000.0,8000000.0,    ...      ,Jy-Hz                ,"Line
",Nuclear H_2_ gas                        ,2005MNRAS.364.1041R,49
